algo,inst,run,t_fin,v90,v_fin
ga,ft10,1,60.000,960.500,960.500
ga,ft10,2,60.000,960.500,960.500
ga,ft10,3,60.000,960.500,960.500
ga,ft10,4,60.000,946.000,946.000
ga,ft10,5,60.000,946.000,946.000
ga,ft10,6,60.000,946.000,946.000
ga,ft10,7,60.000,960.500,960.500
ga,ft10,8,60.000,960.500,960.500
ga,ft10,9,60.000,946.000,946.000
ga,ft10,10,60.000,960.500,960.500
ga,ft10,11,60.000,946.000,946.000
ga,ft10,12,60.000,957.000,957.000
ga,ft10,13,60.000,946.000,946.000
ga,ft10,14,60.000,960.500,960.500
ga,ft10,15,60.000,946.000,946.000
ga,ft10,16,60.000,960.500,960.500
ga,ft10,17,60.000,960.500,960.500
ga,ft10,18,60.000,960.500,960.500
ga,ft10,19,60.000,946.000,946.000
ga,ft10,20,60.000,960.500,960.500
ga,ft10,21,60.000,960.500,960.500
ga,ft10,22,60.000,960.500,960.500
ga,ft10,23,60.000,960.500,960.500
ga,ft10,24,60.000,946.000,946.000
ga,ft10,25,60.000,946.000,946.000
ga,ft10,26,60.000,963.000,963.000
ga,ft10,27,60.000,960.500,960.500
ga,ft10,28,60.000,960.500,960.500
ga,ft10,29,60.000,946.000,946.000
ga,ft10,30,60.000,960.500,960.500
ga,tai15_15_01,1,60.000,1323.000,1323.000
ga,tai15_15_01,2,60.000,1319.500,1319.500
ga,tai15_15_01,3,60.000,1318.000,1318.000
ga,tai15_15_01,4,60.000,1330.000,1330.000
ga,tai15_15_01,5,60.000,1319.500,1319.500
ga,tai15_15_01,6,60.000,1313.500,1313.500
ga,tai15_15_01,7,60.000,1366.000,1366.000
ga,tai15_15_01,8,60.000,1366.500,1366.500
ga,tai15_15_01,9,60.000,1323.000,1323.000
ga,tai15_15_01,10,60.000,1319.500,1319.500
ga,tai15_15_01,11,60.000,1319.500,1317.000
ga,tai15_15_01,12,60.000,1318.000,1318.000
ga,tai15_15_01,13,60.000,1308.000,1308.000
ga,tai15_15_01,14,60.000,1319.500,1319.500
ga,tai15_15_01,15,60.000,1313.500,1313.500
ga,tai15_15_01,16,60.000,1320.500,1320.500
ga,tai15_15_01,17,60.000,1293.000,1293.000
ga,tai15_15_01,18,60.000,1318.000,1318.000
ga,tai15_15_01,19,60.000,1319.500,1319.500
ga,tai15_15_01,20,60.000,1319.000,1319.000
ga,tai15_15_01,21,60.000,1282.000,1282.000
ga,tai15_15_01,22,60.000,1319.500,1319.500
ga,tai15_15_01,23,60.000,1316.000,1316.000
ga,tai15_15_01,24,60.000,1323.000,1323.000
ga,tai15_15_01,25,60.000,1299.000,1299.000
ga,tai15_15_01,26,60.000,1366.000,1366.000
ga,tai15_15_01,27,60.000,1319.500,1319.000
ga,tai15_15_01,28,60.000,1319.000,1319.000
ga,tai15_15_01,29,60.000,1323.000,1323.000
ga,tai15_15_01,30,60.000,1319.500,1319.500
ga,tai15_15_02,1,60.000,1305.000,1305.000
ga,tai15_15_02,2,60.000,1305.000,1305.000
ga,tai15_15_02,3,60.000,1305.000,1305.000
ga,tai15_15_02,4,60.000,1305.000,1305.000
ga,tai15_15_02,5,60.000,1304.000,1304.000
ga,tai15_15_02,6,60.000,1305.000,1305.000
ga,tai15_15_02,7,60.000,1305.000,1305.000
ga,tai15_15_02,8,60.000,1292.500,1292.500
ga,tai15_15_02,9,60.000,1305.000,1305.000
ga,tai15_15_02,10,60.000,1306.000,1306.000
ga,tai15_15_02,11,60.000,1301.000,1301.000
ga,tai15_15_02,12,60.000,1305.000,1305.000
ga,tai15_15_02,13,60.000,1305.000,1305.000
ga,tai15_15_02,14,60.000,1305.000,1305.000
ga,tai15_15_02,15,60.000,1304.500,1289.500
ga,tai15_15_02,16,60.000,1302.500,1297.000
ga,tai15_15_02,17,60.000,1300.500,1292.500
ga,tai15_15_02,18,60.000,1305.000,1305.000
ga,tai15_15_02,19,60.000,1305.000,1305.000
ga,tai15_15_02,20,60.000,1313.500,1313.500
ga,tai15_15_02,21,60.000,1305.000,1305.000
ga,tai15_15_02,22,60.000,1305.000,1305.000
ga,tai15_15_02,23,60.000,1305.000,1305.000
ga,tai15_15_02,24,60.000,1310.500,1310.500
ga,tai15_15_02,25,60.000,1304.000,1304.000
ga,tai15_15_02,26,60.000,1305.000,1305.000
ga,tai15_15_02,27,60.000,1300.500,1299.500
ga,tai15_15_02,28,60.000,1305.000,1305.000
ga,tai15_15_02,29,60.000,1301.000,1299.500
ga,tai15_15_02,30,60.000,1313.500,1313.500
ga,tai15_15_03,1,60.000,1257.500,1257.500
ga,tai15_15_03,2,60.000,1282.000,1278.500
ga,tai15_15_03,3,60.000,1283.000,1283.000
ga,tai15_15_03,4,60.000,1279.500,1279.500
ga,tai15_15_03,5,60.000,1275.000,1275.000
ga,tai15_15_03,6,60.000,1283.000,1283.000
ga,tai15_15_03,7,60.000,1269.000,1269.000
ga,tai15_15_03,8,60.000,1264.500,1264.500
ga,tai15_15_03,9,60.000,1273.500,1268.500
ga,tai15_15_03,10,60.000,1282.000,1273.500
ga,tai15_15_03,11,60.000,1257.500,1257.500
ga,tai15_15_03,12,60.000,1273.000,1268.000
ga,tai15_15_03,13,60.000,1290.000,1290.000
ga,tai15_15_03,14,60.000,1283.000,1283.000
ga,tai15_15_03,15,60.000,1275.000,1275.000
ga,tai15_15_03,16,60.000,1257.500,1257.500
ga,tai15_15_03,17,60.000,1264.500,1264.500
ga,tai15_15_03,18,60.000,1253.500,1253.000
ga,tai15_15_03,19,60.016,1263.000,1263.000
ga,tai15_15_03,20,60.000,1268.500,1268.500
ga,tai15_15_03,21,60.000,1262.500,1262.500
ga,tai15_15_03,22,60.000,1287.500,1287.500
ga,tai15_15_03,23,60.000,1279.500,1278.500
ga,tai15_15_03,24,60.000,1282.000,1282.000
ga,tai15_15_03,25,60.000,1269.000,1269.000
ga,tai15_15_03,26,60.000,1283.000,1283.000
ga,tai15_15_03,27,60.016,1268.000,1268.000
ga,tai15_15_03,28,60.000,1275.000,1262.000
ga,tai15_15_03,29,60.000,1268.500,1268.500
ga,tai15_15_03,30,60.000,1287.500,1287.500
ga,tai15_15_04,1,60.000,1207.000,1207.000
ga,tai15_15_04,2,60.000,1229.500,1229.500
ga,tai15_15_04,3,60.000,1227.500,1227.500
ga,tai15_15_04,4,60.000,1232.000,1232.000
ga,tai15_15_04,5,60.000,1238.500,1238.500
ga,tai15_15_04,6,60.000,1237.000,1237.000
ga,tai15_15_04,7,60.000,1231.000,1227.500
ga,tai15_15_04,8,60.000,1198.500,1198.500
ga,tai15_15_04,9,60.000,1225.500,1225.500
ga,tai15_15_04,10,60.000,1238.500,1238.500
ga,tai15_15_04,11,60.000,1223.000,1215.500
ga,tai15_15_04,12,60.000,1229.000,1229.000
ga,tai15_15_04,13,60.000,1228.500,1228.500
ga,tai15_15_04,14,60.000,1200.500,1200.500
ga,tai15_15_04,15,60.000,1241.000,1241.000
ga,tai15_15_04,16,60.000,1238.500,1238.500
ga,tai15_15_04,17,60.000,1222.000,1222.000
ga,tai15_15_04,18,60.000,1213.500,1213.500
ga,tai15_15_04,19,60.000,1237.000,1237.000
ga,tai15_15_04,20,60.000,1239.500,1232.500
ga,tai15_15_04,21,60.000,1231.500,1231.500
ga,tai15_15_04,22,60.000,1224.000,1224.000
ga,tai15_15_04,23,60.000,1215.500,1213.000
ga,tai15_15_04,24,60.000,1232.000,1232.000
ga,tai15_15_04,25,60.000,1228.000,1228.000
ga,tai15_15_04,26,60.000,1240.500,1240.500
ga,tai15_15_04,27,60.000,1230.000,1228.000
ga,tai15_15_04,28,60.000,1204.500,1204.500
ga,tai15_15_04,29,60.000,1234.000,1234.000
ga,tai15_15_04,30,60.000,1228.000,1227.500
ga,tai15_15_05,1,60.000,1292.000,1292.000
ga,tai15_15_05,2,60.000,1280.000,1279.500
ga,tai15_15_05,3,60.000,1272.500,1272.500
ga,tai15_15_05,4,60.000,1286.500,1274.000
ga,tai15_15_05,5,60.000,1289.500,1289.500
ga,tai15_15_05,6,60.000,1262.500,1262.500
ga,tai15_15_05,7,60.000,1290.500,1290.500
ga,tai15_15_05,8,60.000,1293.000,1293.000
ga,tai15_15_05,9,60.000,1305.000,1305.000
ga,tai15_15_05,10,60.000,1269.000,1269.000
ga,tai15_15_05,11,60.000,1256.000,1256.000
ga,tai15_15_05,12,60.000,1272.500,1272.500
ga,tai15_15_05,13,60.000,1264.000,1264.000
ga,tai15_15_05,14,60.000,1272.500,1272.500
ga,tai15_15_05,15,60.000,1280.000,1280.000
ga,tai15_15_05,16,60.000,1283.000,1283.000
ga,tai15_15_05,17,60.000,1281.500,1278.000
ga,tai15_15_05,18,60.000,1266.000,1266.000
ga,tai15_15_05,19,60.000,1287.500,1287.500
ga,tai15_15_05,20,60.000,1265.000,1256.000
ga,tai15_15_05,21,60.000,1273.000,1273.000
ga,tai15_15_05,22,60.000,1278.500,1272.500
ga,tai15_15_05,23,60.000,1272.500,1272.500
ga,tai15_15_05,24,60.000,1279.000,1278.500
ga,tai15_15_05,25,60.000,1265.000,1265.000
ga,tai15_15_05,26,60.000,1287.500,1287.500
ga,tai15_15_05,27,60.000,1269.000,1269.000
ga,tai15_15_05,28,60.000,1287.500,1287.500
ga,tai15_15_05,29,60.000,1305.000,1305.000
ga,tai15_15_05,30,60.000,1291.500,1291.500
ga,tai15_15_06,1,60.000,1296.500,1296.500
ga,tai15_15_06,2,60.000,1280.000,1280.000
ga,tai15_15_06,3,60.000,1265.500,1265.500
ga,tai15_15_06,4,60.000,1277.500,1277.500
ga,tai15_15_06,5,60.000,1295.500,1292.000
ga,tai15_15_06,6,60.000,1304.000,1304.000
ga,tai15_15_06,7,60.000,1292.000,1292.000
ga,tai15_15_06,8,60.000,1277.000,1277.000
ga,tai15_15_06,9,60.000,1284.000,1283.500
ga,tai15_15_06,10,60.000,1296.500,1296.500
ga,tai15_15_06,11,60.000,1277.500,1277.500
ga,tai15_15_06,12,60.000,1277.500,1277.500
ga,tai15_15_06,13,60.000,1281.000,1281.000
ga,tai15_15_06,14,60.000,1283.000,1283.000
ga,tai15_15_06,15,60.000,1280.000,1263.500
ga,tai15_15_06,16,60.000,1301.500,1301.500
ga,tai15_15_06,17,60.000,1303.000,1303.000
ga,tai15_15_06,18,60.000,1263.500,1263.500
ga,tai15_15_06,19,60.000,1292.000,1290.000
ga,tai15_15_06,20,60.000,1280.500,1280.500
ga,tai15_15_06,21,60.000,1277.500,1277.500
ga,tai15_15_06,22,60.000,1292.000,1292.000
ga,tai15_15_06,23,60.000,1263.500,1263.500
ga,tai15_15_06,24,60.000,1280.500,1280.500
ga,tai15_15_06,25,60.000,1287.000,1287.000
ga,tai15_15_06,26,60.000,1296.500,1292.000
ga,tai15_15_06,27,60.000,1280.500,1280.500
ga,tai15_15_06,28,60.000,1288.500,1288.500
ga,tai15_15_06,29,60.000,1303.000,1300.500
ga,tai15_15_06,30,60.000,1292.000,1292.000
ga,tai15_15_07,1,60.000,1300.500,1300.500
ga,tai15_15_07,2,60.000,1300.500,1300.500
ga,tai15_15_07,3,60.000,1300.500,1300.500
ga,tai15_15_07,4,60.000,1300.500,1300.500
ga,tai15_15_07,5,60.000,1301.500,1301.500
ga,tai15_15_07,6,60.000,1300.500,1300.500
ga,tai15_15_07,7,60.000,1296.500,1296.500
ga,tai15_15_07,8,60.000,1284.000,1284.000
ga,tai15_15_07,9,60.000,1286.000,1286.000
ga,tai15_15_07,10,60.000,1300.500,1300.500
ga,tai15_15_07,11,60.000,1288.500,1288.500
ga,tai15_15_07,12,60.000,1279.000,1279.000
ga,tai15_15_07,13,60.000,1300.500,1300.500
ga,tai15_15_07,14,60.000,1300.500,1300.500
ga,tai15_15_07,15,60.000,1301.000,1301.000
ga,tai15_15_07,16,60.000,1284.000,1284.000
ga,tai15_15_07,17,60.000,1300.500,1300.500
ga,tai15_15_07,18,60.000,1297.500,1297.500
ga,tai15_15_07,19,60.000,1300.500,1300.500
ga,tai15_15_07,20,60.000,1300.500,1300.500
ga,tai15_15_07,21,60.000,1296.500,1296.500
ga,tai15_15_07,22,60.000,1279.500,1279.500
ga,tai15_15_07,23,60.000,1300.500,1300.500
ga,tai15_15_07,24,60.000,1287.500,1287.500
ga,tai15_15_07,25,60.000,1297.500,1297.500
ga,tai15_15_07,26,60.000,1301.000,1301.000
ga,tai15_15_07,27,60.000,1300.500,1300.500
ga,tai15_15_07,28,60.000,1301.500,1301.500
ga,tai15_15_07,29,60.000,1270.000,1270.000
ga,tai15_15_07,30,60.000,1301.500,1301.500
ga,tai15_15_08,1,60.000,1291.000,1291.000
ga,tai15_15_08,2,60.000,1297.000,1291.000
ga,tai15_15_08,3,60.000,1291.500,1291.500
ga,tai15_15_08,4,60.000,1279.000,1279.000
ga,tai15_15_08,5,60.000,1296.000,1296.000
ga,tai15_15_08,6,60.000,1250.500,1250.500
ga,tai15_15_08,7,60.000,1252.000,1252.000
ga,tai15_15_08,8,60.000,1291.500,1287.500
ga,tai15_15_08,9,60.000,1291.000,1291.000
ga,tai15_15_08,10,60.000,1291.000,1291.000
ga,tai15_15_08,11,60.000,1267.000,1266.000
ga,tai15_15_08,12,60.000,1291.000,1291.000
ga,tai15_15_08,13,60.000,1273.000,1273.000
ga,tai15_15_08,14,60.000,1286.000,1286.000
ga,tai15_15_08,15,60.000,1279.000,1279.000
ga,tai15_15_08,16,60.000,1292.000,1292.000
ga,tai15_15_08,17,60.000,1279.000,1279.000
ga,tai15_15_08,18,60.000,1244.000,1244.000
ga,tai15_15_08,19,60.000,1273.000,1273.000
ga,tai15_15_08,20,60.000,1290.000,1290.000
ga,tai15_15_08,21,60.000,1250.000,1249.000
ga,tai15_15_08,22,60.000,1250.000,1250.000
ga,tai15_15_08,23,60.000,1286.000,1254.000
ga,tai15_15_08,24,60.000,1256.500,1256.500
ga,tai15_15_08,25,60.000,1276.500,1276.500
ga,tai15_15_08,26,60.000,1291.000,1291.000
ga,tai15_15_08,27,60.000,1252.000,1252.000
ga,tai15_15_08,28,60.000,1300.000,1273.000
ga,tai15_15_08,29,60.000,1291.500,1291.000
ga,tai15_15_08,30,60.000,1291.500,1291.500
ga,tai15_15_09,1,60.000,1348.500,1348.500
ga,tai15_15_09,2,60.000,1354.500,1353.500
ga,tai15_15_09,3,60.000,1351.500,1351.500
ga,tai15_15_09,4,60.000,1362.000,1362.000
ga,tai15_15_09,5,60.000,1346.000,1346.000
ga,tai15_15_09,6,60.000,1349.000,1349.000
ga,tai15_15_09,7,60.000,1355.500,1355.500
ga,tai15_15_09,8,60.000,1358.500,1358.500
ga,tai15_15_09,9,60.000,1340.500,1340.500
ga,tai15_15_09,10,60.000,1336.000,1336.000
ga,tai15_15_09,11,60.000,1345.500,1345.500
ga,tai15_15_09,12,60.000,1344.500,1344.500
ga,tai15_15_09,13,60.000,1349.000,1349.000
ga,tai15_15_09,14,60.000,1333.000,1332.000
ga,tai15_15_09,15,60.000,1364.000,1364.000
ga,tai15_15_09,16,60.000,1360.000,1360.000
ga,tai15_15_09,17,60.000,1345.500,1345.500
ga,tai15_15_09,18,60.000,1349.000,1349.000
ga,tai15_15_09,19,60.000,1325.500,1325.500
ga,tai15_15_09,20,60.000,1337.000,1337.000
ga,tai15_15_09,21,60.000,1336.000,1336.000
ga,tai15_15_09,22,60.000,1354.500,1353.000
ga,tai15_15_09,23,60.000,1358.500,1358.500
ga,tai15_15_09,24,60.000,1349.000,1349.000
ga,tai15_15_09,25,60.000,1350.500,1349.000
ga,tai15_15_09,26,60.000,1347.000,1347.000
ga,tai15_15_09,27,60.000,1362.000,1362.000
ga,tai15_15_09,28,60.000,1342.000,1342.000
ga,tai15_15_09,29,60.000,1351.500,1351.500
ga,tai15_15_09,30,60.000,1355.500,1355.500
ga,tai15_15_10,1,60.000,1307.000,1307.000
ga,tai15_15_10,2,60.000,1329.000,1329.000
ga,tai15_15_10,3,60.000,1298.500,1298.500
ga,tai15_15_10,4,60.000,1323.500,1323.500
ga,tai15_15_10,5,60.000,1297.000,1297.000
ga,tai15_15_10,6,60.000,1323.500,1323.500
ga,tai15_15_10,7,60.000,1298.500,1298.500
ga,tai15_15_10,8,60.000,1334.000,1334.000
ga,tai15_15_10,9,60.000,1315.000,1315.000
ga,tai15_15_10,10,60.000,1323.500,1323.500
ga,tai15_15_10,11,60.000,1326.000,1326.000
ga,tai15_15_10,12,60.000,1326.000,1326.000
ga,tai15_15_10,13,60.000,1295.500,1295.500
ga,tai15_15_10,14,60.000,1326.000,1326.000
ga,tai15_15_10,15,60.000,1333.000,1333.000
ga,tai15_15_10,16,60.000,1329.000,1329.000
ga,tai15_15_10,17,60.000,1307.000,1307.000
ga,tai15_15_10,18,60.000,1327.000,1304.000
ga,tai15_15_10,19,60.000,1326.000,1326.000
ga,tai15_15_10,20,60.000,1326.000,1326.000
ga,tai15_15_10,21,60.000,1310.000,1310.000
ga,tai15_15_10,22,60.000,1323.500,1323.500
ga,tai15_15_10,23,60.000,1323.500,1323.500
ga,tai15_15_10,24,60.000,1326.000,1326.000
ga,tai15_15_10,25,60.000,1308.000,1308.000
ga,tai15_15_10,26,60.000,1296.500,1296.500
ga,tai15_15_10,27,60.000,1305.000,1305.000
ga,tai15_15_10,28,60.000,1312.500,1312.500
ga,tai15_15_10,29,60.000,1323.500,1323.500
ga,tai15_15_10,30,60.000,1323.500,1323.500
ga,tai20_20_01,1,60.016,1791.000,1778.500
ga,tai20_20_01,2,60.016,1778.500,1778.500
ga,tai20_20_01,3,60.000,1795.000,1795.000
ga,tai20_20_01,4,60.016,1775.000,1771.000
ga,tai20_20_01,5,60.016,1780.000,1774.500
ga,tai20_20_01,6,60.000,1763.500,1763.500
ga,tai20_20_01,7,60.016,1758.500,1758.500
ga,tai20_20_01,8,60.000,1774.000,1770.500
ga,tai20_20_01,9,60.000,1756.000,1756.000
ga,tai20_20_01,10,60.016,1773.000,1762.000
ga,tai20_20_01,11,60.000,1744.500,1744.500
ga,tai20_20_01,12,60.000,1778.500,1778.500
ga,tai20_20_01,13,60.000,1780.500,1780.500
ga,tai20_20_01,14,60.000,1776.500,1776.000
ga,tai20_20_01,15,60.000,1757.000,1757.000
ga,tai20_20_01,16,60.000,1779.000,1779.000
ga,tai20_20_01,17,60.016,1765.000,1765.000
ga,tai20_20_01,18,60.000,1755.500,1755.000
ga,tai20_20_01,19,60.000,1786.500,1772.000
ga,tai20_20_01,20,60.016,1753.000,1743.000
ga,tai20_20_01,21,60.000,1791.000,1791.000
ga,tai20_20_01,22,60.000,1772.000,1772.000
ga,tai20_20_01,23,60.000,1778.000,1777.500
ga,tai20_20_01,24,60.000,1783.500,1782.000
ga,tai20_20_01,25,60.000,1772.000,1772.000
ga,tai20_20_01,26,60.000,1791.500,1791.500
ga,tai20_20_01,27,60.000,1765.000,1765.000
ga,tai20_20_01,28,60.016,1774.000,1757.000
ga,tai20_20_01,29,60.000,1786.000,1786.000
ga,tai20_20_01,30,60.016,1785.500,1776.000
ga,tai20_20_02,1,60.000,1739.500,1739.500
ga,tai20_20_02,2,60.000,1701.500,1701.500
ga,tai20_20_02,3,60.016,1737.500,1737.500
ga,tai20_20_02,4,60.000,1729.500,1729.500
ga,tai20_20_02,5,60.000,1729.500,1729.500
ga,tai20_20_02,6,60.000,1711.500,1702.000
ga,tai20_20_02,7,60.000,1702.000,1702.000
ga,tai20_20_02,8,60.000,1714.500,1714.500
ga,tai20_20_02,9,60.000,1723.500,1719.500
ga,tai20_20_02,10,60.016,1726.000,1726.000
ga,tai20_20_02,11,60.000,1705.000,1705.000
ga,tai20_20_02,12,60.016,1737.000,1737.000
ga,tai20_20_02,13,60.000,1726.500,1726.500
ga,tai20_20_02,14,60.000,1705.000,1705.000
ga,tai20_20_02,15,60.016,1723.500,1723.500
ga,tai20_20_02,16,60.000,1736.500,1736.500
ga,tai20_20_02,17,60.016,1737.500,1737.500
ga,tai20_20_02,18,60.000,1721.000,1721.000
ga,tai20_20_02,19,60.016,1705.000,1705.000
ga,tai20_20_02,20,60.016,1723.500,1723.500
ga,tai20_20_02,21,60.000,1728.000,1728.000
ga,tai20_20_02,22,60.000,1711.500,1711.500
ga,tai20_20_02,23,60.000,1717.000,1717.000
ga,tai20_20_02,24,60.000,1723.500,1723.000
ga,tai20_20_02,25,60.000,1738.500,1738.500
ga,tai20_20_02,26,60.000,1737.000,1729.500
ga,tai20_20_02,27,60.016,1729.500,1729.500
ga,tai20_20_02,28,60.000,1715.000,1715.000
ga,tai20_20_02,29,60.000,1739.500,1739.500
ga,tai20_20_02,30,60.000,1750.000,1750.000
ga,tai20_20_03,1,60.000,1672.500,1672.500
ga,tai20_20_03,2,60.000,1682.000,1682.000
ga,tai20_20_03,3,60.016,1681.000,1681.000
ga,tai20_20_03,4,60.000,1667.500,1667.000
ga,tai20_20_03,5,60.000,1707.000,1706.500
ga,tai20_20_03,6,60.000,1668.000,1666.000
ga,tai20_20_03,7,60.000,1674.000,1674.000
ga,tai20_20_03,8,60.016,1665.000,1665.000
ga,tai20_20_03,9,60.016,1677.000,1677.000
ga,tai20_20_03,10,60.000,1669.500,1669.500
ga,tai20_20_03,11,60.000,1684.000,1682.500
ga,tai20_20_03,12,60.016,1692.000,1680.000
ga,tai20_20_03,13,60.000,1655.500,1655.500
ga,tai20_20_03,14,60.000,1682.500,1682.500
ga,tai20_20_03,15,60.000,1668.000,1668.000
