algo,inst,run,t_fin,v90,v_fin
ga,ft10,1,60.000,990.500,990.500
ga,ft10,2,60.000,1008.000,1008.000
ga,ft10,3,60.000,1014.000,1014.000
ga,ft10,4,60.000,998.000,998.000
ga,ft10,5,60.000,1012.000,1012.000
ga,ft10,6,60.000,993.000,993.000
ga,ft10,7,60.000,1010.500,1010.500
ga,ft10,8,60.000,989.500,989.500
ga,ft10,9,60.000,1012.000,1012.000
ga,ft10,10,60.000,980.000,978.000
ga,ft10,11,60.000,958.000,958.000
ga,ft10,12,60.000,999.000,999.000
ga,ft10,13,60.000,1008.000,1008.000
ga,ft10,14,60.000,990.500,990.500
ga,ft10,15,60.000,1010.500,1010.500
ga,ft10,16,60.000,1001.500,1001.500
ga,ft10,17,60.000,999.000,999.000
ga,ft10,18,60.000,990.500,990.500
ga,ft10,19,60.000,969.000,969.000
ga,ft10,20,60.000,972.500,972.500
ga,ft10,21,60.000,969.000,969.000
ga,ft10,22,60.000,980.000,980.000
ga,ft10,23,60.000,1005.000,1005.000
ga,ft10,24,60.000,969.000,969.000
ga,ft10,25,60.000,990.500,990.500
ga,ft10,26,60.000,1013.000,1013.000
ga,ft10,27,60.000,999.000,999.000
ga,ft10,28,60.000,974.500,974.500
ga,ft10,29,60.000,1014.000,1014.000
ga,ft10,30,60.000,969.000,969.000
ga,tai15_15_01,1,60.000,1320.000,1320.000
ga,tai15_15_01,2,60.000,1336.500,1336.500
ga,tai15_15_01,3,60.000,1321.500,1321.000
ga,tai15_15_01,4,60.000,1315.000,1315.000
ga,tai15_15_01,5,60.000,1320.000,1320.000
ga,tai15_15_01,6,60.000,1339.500,1339.500
ga,tai15_15_01,7,60.000,1310.500,1310.000
ga,tai15_15_01,8,60.000,1338.000,1338.000
ga,tai15_15_01,9,60.000,1315.000,1315.000
ga,tai15_15_01,10,60.000,1321.500,1321.500
ga,tai15_15_01,11,60.000,1319.000,1319.000
ga,tai15_15_01,12,60.000,1321.500,1321.500
ga,tai15_15_01,13,60.000,1345.000,1345.000
ga,tai15_15_01,14,60.000,1319.000,1319.000
ga,tai15_15_01,15,60.016,1315.000,1310.500
ga,tai15_15_01,16,60.000,1329.000,1329.000
ga,tai15_15_01,17,60.000,1311.000,1311.000
ga,tai15_15_01,18,60.000,1339.000,1339.000
ga,tai15_15_01,19,60.000,1304.000,1304.000
ga,tai15_15_01,20,60.000,1311.500,1311.500
ga,tai15_15_01,21,60.000,1298.500,1298.500
ga,tai15_15_01,22,60.000,1322.500,1322.500
ga,tai15_15_01,23,60.000,1325.000,1325.000
ga,tai15_15_01,24,60.016,1311.500,1311.500
ga,tai15_15_01,25,60.000,1338.000,1338.000
ga,tai15_15_01,26,60.000,1336.000,1336.000
