algo,inst,run,t_fin,v90,v_fin
ga,ft10,1,60.000,940.000,940.000
ga,ft10,2,60.000,940.000,940.000
ga,ft10,3,60.000,950.000,950.000
ga,ft10,4,60.000,940.000,940.000
ga,ft10,5,60.000,940.000,940.000
ga,ft10,6,60.000,940.000,940.000
ga,ft10,7,60.000,940.000,940.000
ga,ft10,8,60.000,940.000,940.000
ga,ft10,9,60.000,940.000,940.000
ga,ft10,10,60.000,940.000,940.000
ga,ft10,11,60.000,950.000,950.000
ga,ft10,12,60.000,950.000,950.000
ga,ft10,13,60.000,970.000,970.000
ga,ft10,14,60.000,970.000,969.000
ga,ft10,15,60.000,940.000,940.000
ga,ft10,16,60.000,940.000,940.000
ga,ft10,17,60.000,940.000,940.000
ga,ft10,18,60.000,940.000,940.000
ga,ft10,19,60.000,940.000,940.000
ga,ft10,20,60.000,940.000,940.000
ga,ft10,21,60.000,940.000,940.000
ga,ft10,22,60.000,950.000,950.000
ga,ft10,23,60.000,940.000,940.000
ga,ft10,24,60.000,950.000,950.000
ga,ft10,25,60.000,950.000,950.000
ga,ft10,26,60.000,940.000,940.000
ga,ft10,27,60.000,950.000,950.000
ga,ft10,28,60.000,940.000,940.000
ga,ft10,29,60.000,950.000,950.000
ga,ft10,30,60.000,940.000,940.000
ga,tai15_15_01,1,60.000,1281.500,1281.500
ga,tai15_15_01,2,60.000,1285.000,1285.000
ga,tai15_15_01,3,60.000,1292.500,1292.500
ga,tai15_15_01,4,60.000,1294.500,1294.500
ga,tai15_15_01,5,60.000,1281.000,1281.000
ga,tai15_15_01,6,60.000,1286.000,1286.000
ga,tai15_15_01,7,60.000,1280.500,1280.500
ga,tai15_15_01,8,60.000,1284.000,1284.000
ga,tai15_15_01,9,60.000,1281.000,1281.000
ga,tai15_15_01,10,60.000,1279.500,1279.500
ga,tai15_15_01,11,60.000,1269.000,1269.000
ga,tai15_15_01,12,60.000,1278.000,1278.000
ga,tai15_15_01,13,60.000,1285.500,1285.500
ga,tai15_15_01,14,60.016,1283.500,1283.500
ga,tai15_15_01,15,60.000,1282.000,1282.000
ga,tai15_15_01,16,60.000,1285.000,1285.000
ga,tai15_15_01,17,60.000,1273.500,1273.500
ga,tai15_15_01,18,60.000,1276.500,1276.500
ga,tai15_15_01,19,60.000,1276.500,1276.500
ga,tai15_15_01,20,60.000,1270.000,1270.000
ga,tai15_15_01,21,60.000,1294.000,1294.000
ga,tai15_15_01,22,60.000,1272.500,1272.500
ga,tai15_15_01,23,60.000,1278.500,1278.500
ga,tai15_15_01,24,60.000,1286.000,1286.000
ga,tai15_15_01,25,60.000,1280.000,1280.000
ga,tai15_15_01,26,60.000,1284.000,1284.000
ga,tai15_15_01,27,60.000,1290.500,1290.500
ga,tai15_15_01,28,60.000,1269.000,1269.000
ga,tai15_15_01,29,60.000,1273.000,1273.000
ga,tai15_15_01,30,60.000,1281.500,1281.500
ga,tai15_15_02,1,60.000,1289.500,1289.500
ga,tai15_15_02,2,60.000,1289.500,1289.500
ga,tai15_15_02,3,60.000,1282.000,1281.000
ga,tai15_15_02,4,60.000,1301.000,1301.000
ga,tai15_15_02,5,60.000,1293.000,1293.000
ga,tai15_15_02,6,60.000,1295.000,1295.000
ga,tai15_15_02,7,60.000,1292.000,1292.000
ga,tai15_15_02,8,60.000,1297.000,1297.000
ga,tai15_15_02,9,60.000,1287.500,1287.500
ga,tai15_15_02,10,60.000,1287.500,1287.500
ga,tai15_15_02,11,60.000,1287.500,1287.500
ga,tai15_15_02,12,60.000,1291.000,1286.500
ga,tai15_15_02,13,60.000,1293.000,1293.000
ga,tai15_15_02,14,60.000,1299.500,1299.500
ga,tai15_15_02,15,60.000,1298.000,1298.000
ga,tai15_15_02,16,60.000,1289.500,1289.500
ga,tai15_15_02,17,60.000,1307.000,1307.000
ga,tai15_15_02,18,60.000,1292.000,1282.000
ga,tai15_15_02,19,60.000,1307.000,1307.000
ga,tai15_15_02,20,60.000,1289.500,1289.500
ga,tai15_15_02,21,60.000,1293.000,1293.000
ga,tai15_15_02,22,60.000,1286.500,1286.500
ga,tai15_15_02,23,60.000,1281.000,1281.000
ga,tai15_15_02,24,60.000,1289.500,1289.500
ga,tai15_15_02,25,60.000,1300.000,1300.000
ga,tai15_15_02,26,60.000,1305.500,1305.500
ga,tai15_15_02,27,60.000,1282.000,1282.000
ga,tai15_15_02,28,60.000,1307.000,1307.000
ga,tai15_15_02,29,60.000,1307.000,1307.000
ga,tai15_15_02,30,60.000,1288.500,1288.500
ga,tai15_15_03,1,60.000,1279.000,1279.000
ga,tai15_15_03,2,60.000,1262.000,1262.000
ga,tai15_15_03,3,60.000,1279.500,1279.500
ga,tai15_15_03,4,60.000,1275.000,1275.000
ga,tai15_15_03,5,60.000,1266.500,1266.500
ga,tai15_15_03,6,60.000,1283.000,1283.000
ga,tai15_15_03,7,60.000,1281.500,1257.500
ga,tai15_15_03,8,60.000,1280.000,1280.000
ga,tai15_15_03,9,60.000,1266.500,1266.500
ga,tai15_15_03,10,60.000,1281.000,1281.000
ga,tai15_15_03,11,60.000,1266.500,1266.500
ga,tai15_15_03,12,60.000,1268.500,1266.500
ga,tai15_15_03,13,60.000,1287.500,1287.500
ga,tai15_15_03,14,60.000,1282.500,1282.500
ga,tai15_15_03,15,60.000,1282.500,1282.500
ga,tai15_15_03,16,60.000,1265.000,1265.000
ga,tai15_15_03,17,60.000,1287.500,1287.500
ga,tai15_15_03,18,60.000,1277.000,1277.000
ga,tai15_15_03,19,60.000,1287.500,1287.500
ga,tai15_15_03,20,60.000,1266.500,1266.500
ga,tai15_15_03,21,60.000,1289.500,1284.000
ga,tai15_15_03,22,60.000,1282.500,1282.500
ga,tai15_15_03,23,60.000,1282.500,1282.500
ga,tai15_15_03,24,60.000,1279.000,1279.000
ga,tai15_15_03,25,60.000,1287.500,1287.500
ga,tai15_15_03,26,60.000,1275.000,1275.000
ga,tai15_15_03,27,60.000,1289.500,1287.500
ga,tai15_15_03,28,60.000,1266.500,1266.500
ga,tai15_15_03,29,60.000,1287.500,1287.500
ga,tai15_15_03,30,60.000,1275.000,1275.000
ga,tai15_15_04,1,60.000,1216.000,1213.500
ga,tai15_15_04,2,60.000,1233.500,1233.500
ga,tai15_15_04,3,60.000,1238.000,1238.000
ga,tai15_15_04,4,60.000,1223.000,1223.000
ga,tai15_15_04,5,60.000,1223.000,1223.000
ga,tai15_15_04,6,60.000,1223.000,1223.000
ga,tai15_15_04,7,60.000,1223.000,1223.000
ga,tai15_15_04,8,60.000,1224.000,1224.000
ga,tai15_15_04,9,60.000,1223.000,1223.000
ga,tai15_15_04,10,60.000,1230.500,1230.500
ga,tai15_15_04,11,60.000,1238.000,1238.000
ga,tai15_15_04,12,60.000,1209.000,1209.000
ga,tai15_15_04,13,60.000,1218.500,1218.500
ga,tai15_15_04,14,60.000,1213.500,1213.500
ga,tai15_15_04,15,60.016,1246.000,1246.000
ga,tai15_15_04,16,60.000,1245.000,1245.000
ga,tai15_15_04,17,60.000,1230.500,1230.500
ga,tai15_15_04,18,60.000,1230.500,1230.500
ga,tai15_15_04,19,60.000,1245.000,1245.000
ga,tai15_15_04,20,60.000,1207.000,1205.000
ga,tai15_15_04,21,60.000,1223.000,1223.000
ga,tai15_15_04,22,60.000,1223.000,1223.000
ga,tai15_15_04,23,60.000,1241.500,1241.500
ga,tai15_15_04,24,60.000,1224.000,1224.000
ga,tai15_15_04,25,60.000,1213.500,1213.500
ga,tai15_15_04,26,60.000,1238.500,1238.500
ga,tai15_15_04,27,60.000,1233.500,1233.500
ga,tai15_15_04,28,60.000,1238.000,1238.000
ga,tai15_15_04,29,60.000,1219.000,1214.000
ga,tai15_15_04,30,60.000,1223.000,1223.000
ga,tai15_15_05,1,60.000,1286.500,1286.500
ga,tai15_15_05,2,60.000,1274.500,1264.000
ga,tai15_15_05,3,60.000,1264.500,1264.500
ga,tai15_15_05,4,60.000,1256.000,1256.000
ga,tai15_15_05,5,60.000,1274.000,1274.000
ga,tai15_15_05,6,60.000,1255.000,1255.000
ga,tai15_15_05,7,60.000,1274.500,1274.500
ga,tai15_15_05,8,60.000,1255.000,1255.000
ga,tai15_15_05,9,60.000,1269.000,1269.000
ga,tai15_15_05,10,60.000,1264.500,1264.500
ga,tai15_15_05,11,60.000,1269.000,1269.000
ga,tai15_15_05,12,60.000,1267.000,1267.000
ga,tai15_15_05,13,60.000,1272.000,1272.000
ga,tai15_15_05,14,60.000,1275.000,1275.000
ga,tai15_15_05,15,60.000,1282.000,1282.000
ga,tai15_15_05,16,60.000,1274.500,1274.500
ga,tai15_15_05,17,60.000,1274.500,1274.500
ga,tai15_15_05,18,60.000,1264.000,1264.000
ga,tai15_15_05,19,60.000,1263.000,1263.000
ga,tai15_15_05,20,60.000,1269.500,1269.500
ga,tai15_15_05,21,60.000,1272.500,1268.500
ga,tai15_15_05,22,60.000,1261.000,1261.000
ga,tai15_15_05,23,60.000,1285.500,1285.500
ga,tai15_15_05,24,60.000,1274.000,1274.000
ga,tai15_15_05,25,60.000,1273.500,1273.500
ga,tai15_15_05,26,60.000,1285.000,1285.000
ga,tai15_15_05,27,60.000,1268.500,1268.500
ga,tai15_15_05,28,60.000,1274.000,1274.000
ga,tai15_15_05,29,60.000,1271.500,1271.500
ga,tai15_15_05,30,60.000,1274.000,1274.000
ga,tai15_15_06,1,60.000,1275.000,1275.000
ga,tai15_15_06,2,60.000,1296.000,1296.000
ga,tai15_15_06,3,60.000,1296.000,1296.000
ga,tai15_15_06,4,60.000,1283.500,1281.000
ga,tai15_15_06,5,60.000,1275.000,1275.000
ga,tai15_15_06,6,60.000,1277.500,1277.500
ga,tai15_15_06,7,60.000,1276.000,1272.500
ga,tai15_15_06,8,60.000,1287.000,1283.500
ga,tai15_15_06,9,60.000,1275.000,1275.000
ga,tai15_15_06,10,60.000,1296.500,1296.500
