algo,inst,run,t_fin,v90,v_fin
tsn2,ft10,1,60.000,935.500,935.500
tsn2,ft10,2,60.094,940.000,940.000
tsn2,ft10,3,60.141,935.500,935.500
tsn2,ft10,4,60.156,935.500,935.500
tsn2,ft10,5,55.203,940.000,940.000
tsn2,ft10,6,55.203,935.500,935.500
tsn2,ft10,7,60.078,949.000,949.000
tsn2,ft10,8,60.250,949.000,949.000
tsn2,ft10,9,55.188,935.500,935.500
tsn2,ft10,10,55.188,935.500,935.500
tsn2,ft10,11,60.062,935.500,935.500
tsn2,ft10,12,60.109,935.500,935.500
tsn2,ft10,13,60.125,935.500,935.500
tsn2,ft10,14,60.094,935.500,935.500
tsn2,ft10,15,55.141,940.000,940.000
tsn2,ft10,16,60.078,940.000,940.000
tsn2,ft10,17,55.359,935.500,935.500
tsn2,ft10,18,55.078,935.500,935.500
tsn2,ft10,19,55.297,935.500,935.500
tsn2,ft10,20,60.219,935.500,935.500
tsn2,ft10,21,55.281,935.500,935.500
tsn2,ft10,22,55.000,935.500,935.500
tsn2,ft10,23,60.125,935.500,935.500
tsn2,ft10,24,60.016,935.500,935.500
tsn2,ft10,25,55.234,935.500,935.500
tsn2,ft10,26,60.031,940.000,940.000
tsn2,ft10,27,60.016,935.500,935.500
tsn2,ft10,28,60.234,935.500,935.500
tsn2,ft10,29,55.047,935.500,935.500
tsn2,ft10,30,60.141,935.500,935.500
tsn2,tai15_15_01,1,60.078,1248.000,1248.000
tsn2,tai15_15_01,2,56.453,1248.000,1248.000
tsn2,tai15_15_01,3,55.828,1247.000,1247.000
tsn2,tai15_15_01,4,55.922,1253.500,1253.500
tsn2,tai15_15_01,5,56.375,1248.000,1248.000
tsn2,tai15_15_01,6,60.375,1249.000,1249.000
tsn2,tai15_15_01,7,56.422,1248.000,1248.000
tsn2,tai15_15_01,8,56.391,1248.000,1248.000
tsn2,tai15_15_01,9,56.203,1248.000,1248.000
tsn2,tai15_15_01,10,60.172,1263.500,1263.500
tsn2,tai15_15_01,11,55.406,1251.500,1250.500
tsn2,tai15_15_01,12,55.234,1251.500,1251.500
tsn2,tai15_15_01,13,56.578,1248.000,1248.000
tsn2,tai15_15_01,14,56.203,1262.500,1262.500
tsn2,tai15_15_01,15,60.109,1251.000,1251.000
tsn2,tai15_15_01,16,55.984,1246.500,1246.500
tsn2,tai15_15_01,17,60.250,1247.000,1247.000
tsn2,tai15_15_01,18,55.031,1258.500,1258.500
tsn2,tai15_15_01,19,60.469,1248.000,1248.000
tsn2,tai15_15_01,20,55.797,1246.500,1246.500
tsn2,tai15_15_01,21,55.938,1248.000,1248.000
tsn2,tai15_15_01,22,55.750,1250.000,1248.000
tsn2,tai15_15_01,23,60.125,1257.000,1257.000
tsn2,tai15_15_01,24,56.234,1253.500,1253.500
tsn2,tai15_15_01,25,56.531,1248.000,1248.000
tsn2,tai15_15_01,26,56.422,1248.000,1248.000
tsn2,tai15_15_01,27,60.203,1250.500,1250.500
tsn2,tai15_15_01,28,55.438,1263.000,1263.000
tsn2,tai15_15_01,29,60.422,1258.500,1258.500
tsn2,tai15_15_01,30,60.641,1251.500,1251.500
tsn2,tai15_15_02,1,60.344,1261.500,1261.500
tsn2,tai15_15_02,2,55.172,1260.500,1255.500
tsn2,tai15_15_02,3,55.812,1257.000,1257.000
tsn2,tai15_15_02,4,55.172,1263.500,1260.500
tsn2,tai15_15_02,5,55.703,1260.000,1260.000
tsn2,tai15_15_02,6,60.578,1261.500,1261.500
tsn2,tai15_15_02,7,60.047,1254.000,1254.000
tsn2,tai15_15_02,8,60.406,1261.500,1261.500
tsn2,tai15_15_02,9,55.156,1261.500,1261.500
tsn2,tai15_15_02,10,60.188,1273.000,1273.000
tsn2,tai15_15_02,11,60.547,1254.000,1254.000
tsn2,tai15_15_02,12,55.344,1270.000,1270.000
tsn2,tai15_15_02,13,60.141,1268.000,1268.000
tsn2,tai15_15_02,14,60.328,1269.500,1269.500
tsn2,tai15_15_02,15,56.344,1247.000,1247.000
tsn2,tai15_15_02,16,60.641,1274.000,1274.000
tsn2,tai15_15_02,17,60.094,1255.000,1255.000
tsn2,tai15_15_02,18,56.062,1269.500,1269.500
tsn2,tai15_15_02,19,60.219,1269.500,1269.500
tsn2,tai15_15_02,20,60.500,1255.000,1255.000
tsn2,tai15_15_02,21,55.938,1255.500,1255.500
tsn2,tai15_15_02,22,60.297,1265.500,1265.500
tsn2,tai15_15_02,23,56.234,1269.000,1260.500
tsn2,tai15_15_02,24,60.375,1269.500,1269.500
tsn2,tai15_15_02,25,56.000,1269.500,1269.500
tsn2,tai15_15_02,26,60.484,1258.000,1258.000
tsn2,tai15_15_02,27,55.797,1255.500,1255.500
tsn2,tai15_15_02,28,60.281,1253.000,1253.000
tsn2,tai15_15_02,29,55.297,1255.500,1255.500
tsn2,tai15_15_02,30,55.812,1265.500,1265.500
tsn2,tai15_15_03,1,55.031,1237.500,1237.500
tsn2,tai15_15_03,2,55.422,1237.500,1237.500
tsn2,tai15_15_03,3,60.031,1242.500,1242.500
tsn2,tai15_15_03,4,55.172,1244.500,1239.500
tsn2,tai15_15_03,5,55.828,1243.000,1242.500
tsn2,tai15_15_03,6,55.078,1244.500,1244.500
tsn2,tai15_15_03,7,55.203,1248.500,1248.500
tsn2,tai15_15_03,8,56.516,1244.500,1244.500
tsn2,tai15_15_03,9,56.094,1255.000,1253.000
tsn2,tai15_15_03,10,56.078,1247.500,1247.500
tsn2,tai15_15_03,11,55.562,1254.500,1254.500
tsn2,tai15_15_03,12,60.281,1252.000,1252.000
tsn2,tai15_15_03,13,55.125,1238.000,1238.000
tsn2,tai15_15_03,14,56.688,1242.500,1242.500
tsn2,tai15_15_03,15,60.312,1246.000,1246.000
tsn2,tai15_15_03,16,56.062,1251.500,1247.500
tsn2,tai15_15_03,17,55.453,1243.000,1243.000
tsn2,tai15_15_03,18,60.344,1242.000,1242.000
tsn2,tai15_15_03,19,60.500,1244.500,1244.500
tsn2,tai15_15_03,20,60.828,1231.500,1231.500
tsn2,tai15_15_03,21,56.422,1242.000,1242.000
tsn2,tai15_15_03,22,55.375,1247.000,1247.000
tsn2,tai15_15_03,23,60.062,1243.000,1243.000
tsn2,tai15_15_03,24,56.531,1241.500,1241.500
tsn2,tai15_15_03,25,56.516,1244.500,1244.500
tsn2,tai15_15_03,26,55.094,1244.000,1244.000
tsn2,tai15_15_03,27,55.516,1235.000,1235.000
tsn2,tai15_15_03,28,56.094,1248.500,1248.500
tsn2,tai15_15_03,29,60.469,1247.000,1247.000
tsn2,tai15_15_03,30,55.422,1242.500,1242.500
tsn2,tai15_15_04,1,56.312,1186.000,1186.000
tsn2,tai15_15_04,2,60.594,1198.500,1198.500
tsn2,tai15_15_04,3,60.078,1197.500,1197.500
tsn2,tai15_15_04,4,60.094,1179.500,1179.500
tsn2,tai15_15_04,5,55.312,1179.500,1179.500
tsn2,tai15_15_04,6,55.891,1186.000,1186.000
tsn2,tai15_15_04,7,60.391,1186.000,1186.000
tsn2,tai15_15_04,8,60.422,1179.500,1179.500
tsn2,tai15_15_04,9,56.562,1202.500,1202.500
tsn2,tai15_15_04,10,56.031,1195.500,1195.500
tsn2,tai15_15_04,11,60.406,1186.000,1186.000
tsn2,tai15_15_04,12,60.547,1179.000,1179.000
tsn2,tai15_15_04,13,55.672,1179.500,1179.500
tsn2,tai15_15_04,14,55.375,1186.000,1186.000
tsn2,tai15_15_04,15,55.312,1186.000,1186.000
tsn2,tai15_15_04,16,60.406,1189.500,1189.500
tsn2,tai15_15_04,17,60.203,1196.000,1196.000
tsn2,tai15_15_04,18,55.078,1196.000,1196.000
tsn2,tai15_15_04,19,55.562,1186.000,1186.000
tsn2,tai15_15_04,20,55.578,1186.000,1186.000
tsn2,tai15_15_04,21,55.469,1179.500,1179.000
tsn2,tai15_15_04,22,60.078,1186.000,1186.000
tsn2,tai15_15_04,23,60.281,1179.500,1179.500
tsn2,tai15_15_04,24,55.391,1179.500,1179.500
tsn2,tai15_15_04,25,60.234,1179.500,1179.500
tsn2,tai15_15_04,26,55.672,1202.000,1202.000
tsn2,tai15_15_04,27,56.297,1198.500,1198.500
tsn2,tai15_15_04,28,56.312,1179.500,1179.500
tsn2,tai15_15_04,29,55.156,1186.000,1186.000
tsn2,tai15_15_04,30,55.297,1196.000,1196.000
tsn2,tai15_15_05,1,55.453,1253.000,1253.000
tsn2,tai15_15_05,2,55.188,1258.000,1258.000
tsn2,tai15_15_05,3,55.375,1251.000,1251.000
tsn2,tai15_15_05,4,56.094,1248.000,1241.000
tsn2,tai15_15_05,5,55.016,1251.000,1251.000
tsn2,tai15_15_05,6,60.141,1251.000,1251.000
tsn2,tai15_15_05,7,60.359,1252.000,1252.000
tsn2,tai15_15_05,8,56.094,1257.000,1257.000
tsn2,tai15_15_05,9,55.984,1251.000,1251.000
tsn2,tai15_15_05,10,60.031,1251.500,1251.500
tsn2,tai15_15_05,11,60.188,1255.000,1255.000
tsn2,tai15_15_05,12,55.750,1251.500,1251.500
tsn2,tai15_15_05,13,56.000,1241.500,1241.500
tsn2,tai15_15_05,14,56.109,1240.500,1240.500
tsn2,tai15_15_05,15,55.766,1251.000,1251.000
tsn2,tai15_15_05,16,60.125,1246.000,1246.000
tsn2,tai15_15_05,17,56.078,1242.500,1242.500
tsn2,tai15_15_05,18,60.234,1252.000,1252.000
tsn2,tai15_15_05,19,60.172,1250.000,1250.000
tsn2,tai15_15_05,20,60.375,1257.500,1257.500
tsn2,tai15_15_05,21,55.047,1248.500,1248.500
tsn2,tai15_15_05,22,56.469,1255.000,1255.000
tsn2,tai15_15_05,23,60.281,1252.000,1252.000
tsn2,tai15_15_05,24,55.625,1246.000,1246.000
tsn2,tai15_15_05,25,55.672,1255.000,1255.000
tsn2,tai15_15_05,26,55.016,1256.500,1256.500
tsn2,tai15_15_05,27,55.703,1250.500,1250.500
tsn2,tai15_15_05,28,55.109,1249.500,1249.500
tsn2,tai15_15_05,29,55.188,1251.000,1251.000
tsn2,tai15_15_05,30,55.797,1255.000,1255.000
tsn2,tai15_15_06,1,60.172,1263.000,1263.000
tsn2,tai15_15_06,2,60.094,1260.000,1260.000
tsn2,tai15_15_06,3,60.375,1260.000,1260.000
tsn2,tai15_15_06,4,60.312,1261.000,1261.000
tsn2,tai15_15_06,5,60.297,1258.000,1258.000
tsn2,tai15_15_06,6,55.734,1271.000,1271.000
tsn2,tai15_15_06,7,55.062,1263.000,1260.500
tsn2,tai15_15_06,8,56.172,1258.000,1258.000
tsn2,tai15_15_06,9,60.406,1264.000,1264.000
tsn2,tai15_15_06,10,60.375,1265.500,1265.500
tsn2,tai15_15_06,11,56.109,1268.000,1268.000
tsn2,tai15_15_06,12,60.141,1259.000,1259.000
tsn2,tai15_15_06,13,55.234,1263.500,1263.500
tsn2,tai15_15_06,14,55.781,1258.000,1258.000
tsn2,tai15_15_06,15,60.312,1266.000,1266.000
tsn2,tai15_15_06,16,60.578,1261.000,1261.000
tsn2,tai15_15_06,17,60.188,1266.000,1266.000
tsn2,tai15_15_06,18,55.234,1260.000,1260.000
tsn2,tai15_15_06,19,60.625,1264.000,1264.000
tsn2,tai15_15_06,20,55.438,1264.000,1264.000
tsn2,tai15_15_06,21,56.391,1249.500,1249.500
tsn2,tai15_15_06,22,60.359,1261.000,1261.000
tsn2,tai15_15_06,23,55.953,1261.000,1261.000
tsn2,tai15_15_06,24,60.328,1254.000,1254.000
tsn2,tai15_15_06,25,55.016,1258.000,1258.000
tsn2,tai15_15_06,26,55.203,1265.500,1265.500
tsn2,tai15_15_06,27,56.031,1260.000,1260.000
tsn2,tai15_15_06,28,55.328,1258.000,1258.000
tsn2,tai15_15_06,29,60.250,1270.000,1270.000
tsn2,tai15_15_06,30,60.156,1259.500,1259.500
tsn2,tai15_15_07,1,60.031,1234.500,1234.500
tsn2,tai15_15_07,2,55.234,1261.500,1261.500
tsn2,tai15_15_07,3,55.859,1234.500,1234.500
tsn2,tai15_15_07,4,60.312,1263.000,1263.000
tsn2,tai15_15_07,5,55.922,1263.000,1263.000
tsn2,tai15_15_07,6,55.203,1234.500,1234.500
tsn2,tai15_15_07,7,60.078,1234.500,1234.500
tsn2,tai15_15_07,8,55.672,1260.000,1260.000
tsn2,tai15_15_07,9,55.344,1234.500,1234.500
tsn2,tai15_15_07,10,56.016,1234.500,1234.500
tsn2,tai15_15_07,11,55.531,1263.000,1263.000
tsn2,tai15_15_07,12,60.547,1263.500,1263.500
tsn2,tai15_15_07,13,55.500,1248.000,1248.000
tsn2,tai15_15_07,14,55.531,1263.000,1263.000
tsn2,tai15_15_07,15,55.688,1253.000,1253.000
tsn2,tai15_15_07,16,55.500,1263.000,1263.000
tsn2,tai15_15_07,17,56.031,1260.000,1260.000
tsn2,tai15_15_07,18,60.422,1234.500,1234.500
tsn2,tai15_15_07,19,60.438,1234.500,1234.500
tsn2,tai15_15_07,20,60.562,1263.000,1263.000
tsn2,tai15_15_07,21,60.359,1234.500,1234.500
tsn2,tai15_15_07,22,60.516,1234.500,1234.500
tsn2,tai15_15_07,23,55.391,1244.000,1244.000
tsn2,tai15_15_07,24,60.375,1234.500,1234.500
tsn2,tai15_15_07,25,56.359,1251.000,1251.000
tsn2,tai15_15_07,26,60.000,1242.000,1242.000
tsn2,tai15_15_07,27,56.016,1234.500,1234.500
tsn2,tai15_15_07,28,55.547,1234.500,1234.500
tsn2,tai15_15_07,29,55.297,1234.500,1234.500
tsn2,tai15_15_07,30,60.250,1234.500,1234.500
tsn2,tai15_15_08,1,55.391,1236.500,1236.500
tsn2,tai15_15_08,2,56.172,1234.000,1234.000
tsn2,tai15_15_08,3,55.359,1238.000,1238.000
tsn2,tai15_15_08,4,56.578,1238.500,1238.500
tsn2,tai15_15_08,5,56.109,1237.500,1237.500
tsn2,tai15_15_08,6,60.562,1247.000,1247.000
tsn2,tai15_15_08,7,55.547,1237.500,1237.500
tsn2,tai15_15_08,8,60.344,1245.000,1245.000
tsn2,tai15_15_08,9,60.562,1240.500,1240.500
tsn2,tai15_15_08,10,55.844,1247.000,1247.000
tsn2,tai15_15_08,11,60.141,1265.500,1265.500
tsn2,tai15_15_08,12,60.453,1236.500,1236.500
tsn2,tai15_15_08,13,60.297,1247.000,1247.000
tsn2,tai15_15_08,14,56.016,1247.000,1247.000
tsn2,tai15_15_08,15,55.312,1238.500,1238.500
tsn2,tai15_15_08,16,56.188,1242.000,1242.000
tsn2,tai15_15_08,17,60.578,1237.500,1237.500
tsn2,tai15_15_08,18,60.234,1236.500,1234.000
tsn2,tai15_15_08,19,60.359,1242.000,1242.000
tsn2,tai15_15_08,20,56.281,1250.000,1250.000
tsn2,tai15_15_08,21,55.719,1231.000,1231.000
tsn2,tai15_15_08,22,56.234,1231.000,1231.000
tsn2,tai15_15_08,23,56.438,1247.000,1247.000
tsn2,tai15_15_08,24,60.281,1241.000,1241.000
tsn2,tai15_15_08,25,56.188,1236.500,1236.500
tsn2,tai15_15_08,26,60.047,1244.000,1244.000
tsn2,tai15_15_08,27,60.156,1247.000,1247.000
tsn2,tai15_15_08,28,60.656,1247.000,1247.000
tsn2,tai15_15_08,29,56.344,1242.000,1242.000
tsn2,tai15_15_08,30,60.250,1236.500,1236.500
tsn2,tai15_15_09,1,60.688,1305.000,1305.000
tsn2,tai15_15_09,2,55.547,1306.000,1306.000
tsn2,tai15_15_09,3,55.516,1307.500,1307.500
tsn2,tai15_15_09,4,56.250,1306.500,1305.000
tsn2,tai15_15_09,5,55.438,1307.500,1307.500
tsn2,tai15_15_09,6,60.234,1307.500,1307.500
tsn2,tai15_15_09,7,60.656,1307.500,1307.500
tsn2,tai15_15_09,8,55.719,1307.500,1307.500
tsn2,tai15_15_09,9,56.250,1307.500,1304.000
tsn2,tai15_15_09,10,60.016,1306.000,1306.000
tsn2,tai15_15_09,11,60.109,1307.500,1307.500
tsn2,tai15_15_09,12,60.359,1307.500,1307.500
tsn2,tai15_15_09,13,55.984,1307.500,1307.500
tsn2,tai15_15_09,14,56.047,1307.500,1307.500
tsn2,tai15_15_09,15,55.875,1307.500,1307.500
tsn2,tai15_15_09,16,55.609,1307.500,1307.500
tsn2,tai15_15_09,17,55.484,1307.000,1307.000
tsn2,tai15_15_09,18,56.203,1307.500,1307.500
tsn2,tai15_15_09,19,55.500,1304.000,1304.000
tsn2,tai15_15_09,20,55.000,1311.000,1311.000
tsn2,tai15_15_09,21,55.609,1307.500,1307.500
tsn2,tai15_15_09,22,60.672,1307.500,1307.500
tsn2,tai15_15_09,23,56.016,1307.500,1307.500
tsn2,tai15_15_09,24,55.141,1307.500,1307.500
tsn2,tai15_15_09,25,55.281,1307.500,1307.500
tsn2,tai15_15_09,26,56.141,1307.500,1307.500
tsn2,tai15_15_09,27,60.297,1314.500,1314.500
tsn2,tai15_15_09,28,60.188,1307.500,1307.500
tsn2,tai15_15_09,29,60.562,1307.500,1307.500
tsn2,tai15_15_09,30,60.297,1307.500,1307.500
tsn2,tai15_15_10,1,55.500,1259.000,1257.000
tsn2,tai15_15_10,2,55.172,1251.000,1244.000
tsn2,tai15_15_10,3,55.922,1274.500,1274.500
tsn2,tai15_15_10,4,55.484,1279.000,1279.000
tsn2,tai15_15_10,5,60.172,1296.000,1293.000
tsn2,tai15_15_10,6,55.344,1287.000,1287.000
tsn2,tai15_15_10,7,56.094,1279.000,1279.000
tsn2,tai15_15_10,8,55.750,1244.000,1244.000
tsn2,tai15_15_10,9,55.641,1279.000,1279.000
tsn2,tai15_15_10,10,55.141,1278.000,1278.000
tsn2,tai15_15_10,11,55.141,1244.000,1244.000
tsn2,tai15_15_10,12,60.000,1282.000,1282.000
tsn2,tai15_15_10,13,55.375,1264.500,1264.500
tsn2,tai15_15_10,14,60.500,1279.500,1279.500
tsn2,tai15_15_10,15,55.125,1295.000,1295.000
tsn2,tai15_15_10,16,55.500,1264.500,1264.500
tsn2,tai15_15_10,17,55.297,1289.000,1289.000
tsn2,tai15_15_10,18,55.656,1279.000,1279.000
tsn2,tai15_15_10,19,55.797,1264.500,1264.500
tsn2,tai15_15_10,20,55.422,1278.000,1278.000
