algo,inst,run,t_fin,v90,v_fin
tsn2,ft10,1,55.188,946.000,946.000
tsn2,ft10,2,55.328,954.000,954.000
tsn2,ft10,3,60.125,946.000,946.000
tsn2,ft10,4,55.188,946.000,946.000
tsn2,ft10,5,55.422,942.500,942.500
tsn2,ft10,6,55.250,946.000,946.000
tsn2,ft10,7,60.109,942.500,942.500
tsn2,ft10,8,60.109,946.000,946.000
tsn2,ft10,9,60.125,946.000,935.500
tsn2,ft10,10,60.016,946.000,946.000
tsn2,ft10,11,55.328,954.000,954.000
tsn2,ft10,12,55.000,946.000,946.000
tsn2,ft10,13,60.172,946.000,946.000
tsn2,ft10,14,60.047,946.000,946.000
tsn2,ft10,15,60.094,946.000,946.000
tsn2,ft10,16,55.172,946.000,946.000
tsn2,ft10,17,55.375,946.000,946.000
tsn2,ft10,18,60.172,946.000,946.000
tsn2,ft10,19,55.109,946.000,946.000
tsn2,ft10,20,60.312,946.000,946.000
tsn2,ft10,21,55.250,946.000,946.000
tsn2,ft10,22,55.344,946.000,946.000
tsn2,ft10,23,60.203,946.000,946.000
tsn2,ft10,24,60.141,946.000,946.000
tsn2,ft10,25,60.125,946.000,946.000
tsn2,ft10,26,55.266,954.000,949.500
tsn2,ft10,27,55.000,946.000,946.000
tsn2,ft10,28,55.172,946.000,946.000
tsn2,ft10,29,60.047,954.000,949.500
tsn2,ft10,30,55.328,946.000,946.000
tsn2,tai15_15_01,1,60.688,1265.500,1265.500
tsn2,tai15_15_01,2,55.938,1250.500,1250.500
tsn2,tai15_15_01,3,60.297,1265.500,1265.500
tsn2,tai15_15_01,4,60.250,1248.000,1248.000
tsn2,tai15_15_01,5,56.000,1250.500,1250.500
tsn2,tai15_15_01,6,56.469,1250.000,1250.000
tsn2,tai15_15_01,7,60.578,1261.500,1261.500
tsn2,tai15_15_01,8,56.391,1250.000,1248.000
tsn2,tai15_15_01,9,60.375,1270.000,1270.000
tsn2,tai15_15_01,10,56.109,1253.000,1253.000
tsn2,tai15_15_01,11,60.594,1250.500,1250.500
tsn2,tai15_15_01,12,56.031,1262.500,1262.500
tsn2,tai15_15_01,13,60.062,1265.500,1265.500
tsn2,tai15_15_01,14,60.422,1261.000,1261.000
tsn2,tai15_15_01,15,60.094,1265.000,1265.000
tsn2,tai15_15_01,16,60.359,1262.000,1262.000
tsn2,tai15_15_01,17,55.828,1268.500,1268.500
tsn2,tai15_15_01,18,60.016,1248.000,1248.000
tsn2,tai15_15_01,19,56.578,1253.500,1253.500
tsn2,tai15_15_01,20,55.047,1261.500,1261.500
tsn2,tai15_15_01,21,55.922,1248.000,1248.000
tsn2,tai15_15_01,22,60.734,1248.500,1248.500
tsn2,tai15_15_01,23,55.703,1250.500,1250.500
tsn2,tai15_15_01,24,60.359,1250.500,1250.500
tsn2,tai15_15_01,25,55.125,1261.500,1261.500
tsn2,tai15_15_01,26,56.078,1265.500,1265.500
tsn2,tai15_15_01,27,60.797,1262.000,1262.000
tsn2,tai15_15_01,28,60.375,1262.500,1262.500
tsn2,tai15_15_01,29,60.844,1250.500,1250.500
tsn2,tai15_15_01,30,55.156,1264.500,1264.500
tsn2,tai15_15_02,1,55.031,1277.500,1277.500
tsn2,tai15_15_02,2,55.500,1277.500,1277.500
tsn2,tai15_15_02,3,55.094,1268.000,1268.000
tsn2,tai15_15_02,4,55.266,1275.500,1275.500
tsn2,tai15_15_02,5,56.203,1277.500,1277.500
tsn2,tai15_15_02,6,60.422,1275.500,1275.500
tsn2,tai15_15_02,7,55.438,1275.000,1274.500
tsn2,tai15_15_02,8,55.688,1277.000,1277.000
tsn2,tai15_15_02,9,55.703,1271.000,1271.000
tsn2,tai15_15_02,10,60.500,1278.000,1278.000
tsn2,tai15_15_02,11,60.828,1275.500,1275.500
tsn2,tai15_15_02,12,60.469,1271.500,1271.500
tsn2,tai15_15_02,13,55.672,1277.500,1277.500
tsn2,tai15_15_02,14,56.000,1277.500,1277.500
tsn2,tai15_15_02,15,60.031,1275.500,1275.500
tsn2,tai15_15_02,16,60.375,1277.500,1277.500
tsn2,tai15_15_02,17,55.953,1275.500,1275.500
tsn2,tai15_15_02,18,55.922,1273.500,1273.500
tsn2,tai15_15_02,19,55.312,1269.500,1269.500
tsn2,tai15_15_02,20,55.609,1269.500,1269.500
tsn2,tai15_15_02,21,60.234,1277.500,1277.500
tsn2,tai15_15_02,22,55.828,1276.000,1276.000
tsn2,tai15_15_02,23,60.047,1277.500,1277.500
tsn2,tai15_15_02,24,55.000,1277.500,1277.500
tsn2,tai15_15_02,25,55.312,1269.500,1269.500
tsn2,tai15_15_02,26,60.094,1274.000,1274.000
tsn2,tai15_15_02,27,55.672,1277.500,1275.500
tsn2,tai15_15_02,28,55.312,1277.500,1277.500
tsn2,tai15_15_02,29,60.578,1277.500,1277.500
tsn2,tai15_15_02,30,55.578,1277.500,1277.500
tsn2,tai15_15_03,1,60.109,1250.500,1250.500
tsn2,tai15_15_03,2,60.047,1238.500,1238.500
tsn2,tai15_15_03,3,55.266,1244.500,1244.500
tsn2,tai15_15_03,4,60.156,1256.000,1256.000
tsn2,tai15_15_03,5,56.031,1244.500,1244.500
tsn2,tai15_15_03,6,56.359,1246.000,1246.000
tsn2,tai15_15_03,7,55.031,1244.500,1244.500
tsn2,tai15_15_03,8,60.516,1238.000,1238.000
tsn2,tai15_15_03,9,55.750,1244.500,1244.500
tsn2,tai15_15_03,10,55.312,1238.000,1238.000
tsn2,tai15_15_03,11,60.453,1249.500,1249.500
tsn2,tai15_15_03,12,60.078,1250.500,1250.500
tsn2,tai15_15_03,13,55.062,1244.500,1244.500
tsn2,tai15_15_03,14,56.375,1244.500,1244.500
tsn2,tai15_15_03,15,60.141,1250.500,1250.500
tsn2,tai15_15_03,16,60.578,1250.500,1250.500
tsn2,tai15_15_03,17,60.688,1250.500,1250.500
tsn2,tai15_15_03,18,60.359,1242.000,1242.000
tsn2,tai15_15_03,19,60.656,1237.500,1237.500
tsn2,tai15_15_03,20,60.422,1250.500,1250.500
tsn2,tai15_15_03,21,60.531,1244.500,1244.500
tsn2,tai15_15_03,22,56.281,1241.000,1241.000
tsn2,tai15_15_03,23,60.625,1244.500,1244.500
tsn2,tai15_15_03,24,55.312,1250.500,1250.500
tsn2,tai15_15_03,25,55.594,1238.500,1238.500
tsn2,tai15_15_03,26,56.281,1238.500,1238.500
tsn2,tai15_15_03,27,55.516,1252.000,1252.000
tsn2,tai15_15_03,28,55.656,1250.500,1250.500
tsn2,tai15_15_03,29,55.953,1242.000,1241.500
tsn2,tai15_15_03,30,60.344,1250.500,1250.500
tsn2,tai15_15_04,1,55.062,1200.500,1200.500
tsn2,tai15_15_04,2,56.422,1197.500,1197.500
tsn2,tai15_15_04,3,60.406,1205.000,1205.000
tsn2,tai15_15_04,4,55.812,1186.000,1186.000
tsn2,tai15_15_04,5,60.422,1207.500,1207.500
tsn2,tai15_15_04,6,56.578,1198.000,1198.000
tsn2,tai15_15_04,7,56.469,1205.000,1205.000
tsn2,tai15_15_04,8,55.453,1188.000,1188.000
tsn2,tai15_15_04,9,60.016,1205.500,1205.500
tsn2,tai15_15_04,10,55.266,1205.000,1205.000
tsn2,tai15_15_04,11,56.281,1210.000,1210.000
tsn2,tai15_15_04,12,60.109,1186.000,1186.000
tsn2,tai15_15_04,13,60.656,1200.500,1200.500
tsn2,tai15_15_04,14,55.156,1205.000,1205.000
tsn2,tai15_15_04,15,60.688,1188.000,1188.000
tsn2,tai15_15_04,16,60.484,1186.000,1186.000
tsn2,tai15_15_04,17,60.500,1188.000,1188.000
tsn2,tai15_15_04,18,55.344,1205.000,1205.000
tsn2,tai15_15_04,19,55.891,1188.500,1188.000
tsn2,tai15_15_04,20,55.031,1186.000,1186.000
tsn2,tai15_15_04,21,55.422,1190.000,1186.000
tsn2,tai15_15_04,22,60.344,1206.500,1206.500
tsn2,tai15_15_04,23,55.656,1186.000,1186.000
tsn2,tai15_15_04,24,55.250,1198.000,1198.000
tsn2,tai15_15_04,25,60.016,1205.500,1205.500
tsn2,tai15_15_04,26,55.125,1199.000,1199.000
tsn2,tai15_15_04,27,60.406,1199.500,1199.500
tsn2,tai15_15_04,28,55.078,1186.000,1186.000
tsn2,tai15_15_04,29,60.141,1186.000,1186.000
tsn2,tai15_15_04,30,60.594,1207.500,1207.500
tsn2,tai15_15_05,1,55.500,1254.500,1254.500
tsn2,tai15_15_05,2,56.281,1255.000,1255.000
tsn2,tai15_15_05,3,55.234,1249.000,1249.000
tsn2,tai15_15_05,4,55.406,1251.000,1251.000
tsn2,tai15_15_05,5,55.938,1251.000,1251.000
tsn2,tai15_15_05,6,56.359,1251.000,1251.000
tsn2,tai15_15_05,7,56.203,1251.000,1251.000
tsn2,tai15_15_05,8,60.609,1251.000,1251.000
tsn2,tai15_15_05,9,55.828,1249.000,1249.000
tsn2,tai15_15_05,10,60.812,1251.000,1251.000
tsn2,tai15_15_05,11,60.219,1247.000,1247.000
tsn2,tai15_15_05,12,55.375,1251.000,1251.000
tsn2,tai15_15_05,13,55.578,1249.500,1249.500
tsn2,tai15_15_05,14,60.062,1249.500,1249.500
tsn2,tai15_15_05,15,60.328,1247.000,1247.000
tsn2,tai15_15_05,16,60.172,1251.000,1251.000
tsn2,tai15_15_05,17,55.656,1254.500,1254.500
tsn2,tai15_15_05,18,55.969,1242.500,1242.500
tsn2,tai15_15_05,19,60.172,1249.500,1249.500
tsn2,tai15_15_05,20,60.359,1254.500,1254.500
tsn2,tai15_15_05,21,60.266,1251.000,1251.000
tsn2,tai15_15_05,22,60.625,1247.000,1247.000
tsn2,tai15_15_05,23,56.281,1251.000,1251.000
tsn2,tai15_15_05,24,55.891,1247.000,1247.000
tsn2,tai15_15_05,25,60.219,1254.500,1254.500
tsn2,tai15_15_05,26,56.453,1245.500,1245.500
tsn2,tai15_15_05,27,55.781,1251.000,1251.000
tsn2,tai15_15_05,28,60.188,1251.000,1251.000
tsn2,tai15_15_05,29,60.078,1254.500,1254.500
tsn2,tai15_15_05,30,55.547,1247.500,1247.500
tsn2,tai15_15_06,1,60.078,1262.000,1262.000
tsn2,tai15_15_06,2,60.031,1262.000,1262.000
tsn2,tai15_15_06,3,60.734,1261.500,1259.500
tsn2,tai15_15_06,4,56.156,1260.500,1260.500
tsn2,tai15_15_06,5,60.453,1265.000,1265.000
tsn2,tai15_15_06,6,60.484,1261.000,1261.000
tsn2,tai15_15_06,7,55.188,1262.000,1262.000
tsn2,tai15_15_06,8,60.125,1258.000,1258.000
tsn2,tai15_15_06,9,56.328,1262.000,1262.000
tsn2,tai15_15_06,10,55.766,1257.000,1257.000
tsn2,tai15_15_06,11,60.172,1264.000,1264.000
tsn2,tai15_15_06,12,55.500,1263.500,1263.500
tsn2,tai15_15_06,13,60.719,1261.000,1261.000
tsn2,tai15_15_06,14,60.688,1260.500,1260.500
tsn2,tai15_15_06,15,60.516,1258.000,1258.000
tsn2,tai15_15_06,16,60.562,1267.500,1267.500
tsn2,tai15_15_06,17,60.219,1260.500,1260.500
tsn2,tai15_15_06,18,60.484,1260.500,1260.500
tsn2,tai15_15_06,19,55.391,1254.000,1254.000
tsn2,tai15_15_06,20,56.547,1262.000,1262.000
tsn2,tai15_15_06,21,60.469,1259.500,1259.500
tsn2,tai15_15_06,22,55.078,1258.000,1258.000
tsn2,tai15_15_06,23,60.375,1260.500,1260.500
tsn2,tai15_15_06,24,60.219,1258.000,1258.000
tsn2,tai15_15_06,25,55.953,1262.000,1262.000
tsn2,tai15_15_06,26,55.875,1260.500,1260.500
tsn2,tai15_15_06,27,60.016,1259.500,1259.500
tsn2,tai15_15_06,28,60.562,1262.000,1262.000
tsn2,tai15_15_06,29,55.734,1258.000,1258.000
tsn2,tai15_15_06,30,55.688,1259.500,1259.500
tsn2,tai15_15_07,1,55.344,1264.000,1264.000
tsn2,tai15_15_07,2,60.156,1255.500,1255.500
tsn2,tai15_15_07,3,55.781,1234.500,1234.500
tsn2,tai15_15_07,4,55.812,1259.000,1259.000
tsn2,tai15_15_07,5,55.875,1254.000,1254.000
tsn2,tai15_15_07,6,55.219,1244.000,1244.000
tsn2,tai15_15_07,7,55.906,1234.500,1234.500
tsn2,tai15_15_07,8,60.000,1263.000,1263.000
