algo,inst,run,t_fin,v90,v_fin
tsn2,ft10,1,55.234,946.000,946.000
tsn2,ft10,2,55.062,946.000,946.000
tsn2,ft10,3,55.234,946.000,946.000
tsn2,ft10,4,55.047,946.000,946.000
tsn2,ft10,5,55.172,946.000,946.000
tsn2,ft10,6,55.234,946.000,946.000
tsn2,ft10,7,55.281,946.000,946.000
tsn2,ft10,8,55.109,946.000,946.000
tsn2,ft10,9,60.016,935.500,935.500
tsn2,ft10,10,55.438,942.500,942.500
tsn2,ft10,11,60.031,946.000,946.000
tsn2,ft10,12,60.078,946.000,946.000
tsn2,ft10,13,55.078,946.000,946.000
tsn2,ft10,14,60.109,946.000,946.000
tsn2,ft10,15,60.109,946.000,946.000
tsn2,ft10,16,60.156,946.000,946.000
tsn2,ft10,17,55.234,946.000,946.000
tsn2,ft10,18,60.062,946.000,946.000
tsn2,ft10,19,55.422,946.000,946.000
tsn2,ft10,20,55.016,946.000,946.000
tsn2,ft10,21,60.094,942.500,942.500
tsn2,ft10,22,55.188,946.000,946.000
tsn2,ft10,23,60.125,946.000,946.000
tsn2,ft10,24,55.156,946.000,946.000
tsn2,ft10,25,60.297,946.000,946.000
tsn2,ft10,26,60.188,946.000,946.000
tsn2,ft10,27,60.234,946.000,946.000
tsn2,ft10,28,60.234,942.500,942.500
tsn2,ft10,29,55.375,946.000,946.000
tsn2,ft10,30,55.016,946.000,946.000
tsn2,tai15_15_01,1,55.781,1268.500,1268.500
tsn2,tai15_15_01,2,60.969,1275.000,1251.500
tsn2,tai15_15_01,3,60.562,1253.000,1250.500
tsn2,tai15_15_01,4,56.062,1275.000,1266.000
tsn2,tai15_15_01,5,56.516,1251.500,1251.500
tsn2,tai15_15_01,6,60.641,1275.000,1268.500
tsn2,tai15_15_01,7,56.359,1248.000,1248.000
tsn2,tai15_15_01,8,60.719,1275.000,1275.000
tsn2,tai15_15_01,9,60.266,1250.500,1250.500
tsn2,tai15_15_01,10,55.438,1248.000,1248.000
tsn2,tai15_15_01,11,60.219,1268.500,1268.500
tsn2,tai15_15_01,12,60.078,1268.500,1268.500
tsn2,tai15_15_01,13,60.391,1275.000,1275.000
tsn2,tai15_15_01,14,60.406,1275.000,1256.000
tsn2,tai15_15_01,15,60.344,1275.000,1275.000
tsn2,tai15_15_01,16,55.328,1275.000,1275.000
tsn2,tai15_15_01,17,55.734,1251.500,1251.500
tsn2,tai15_15_01,18,60.281,1250.500,1250.500
tsn2,tai15_15_01,19,60.625,1250.000,1250.000
tsn2,tai15_15_01,20,60.938,1275.000,1252.000
tsn2,tai15_15_01,21,56.391,1250.500,1250.500
tsn2,tai15_15_01,22,55.312,1275.000,1275.000
tsn2,tai15_15_01,23,56.250,1275.000,1275.000
tsn2,tai15_15_01,24,55.641,1275.000,1275.000
tsn2,tai15_15_01,25,60.344,1275.000,1275.000
tsn2,tai15_15_01,26,60.625,1251.500,1251.500
tsn2,tai15_15_01,27,60.797,1248.000,1248.000
tsn2,tai15_15_01,28,60.172,1275.000,1275.000
tsn2,tai15_15_01,29,60.312,1275.000,1248.000
tsn2,tai15_15_01,30,55.656,1248.000,1248.000
tsn2,tai15_15_02,1,55.938,1285.500,1285.500
tsn2,tai15_15_02,2,60.188,1275.000,1275.000
tsn2,tai15_15_02,3,56.141,1277.500,1277.500
tsn2,tai15_15_02,4,55.406,1274.000,1274.000
tsn2,tai15_15_02,5,55.078,1277.500,1277.500
tsn2,tai15_15_02,6,60.219,1272.000,1272.000
tsn2,tai15_15_02,7,60.078,1268.000,1268.000
tsn2,tai15_15_02,8,55.844,1272.000,1272.000
tsn2,tai15_15_02,9,55.562,1283.000,1283.000
tsn2,tai15_15_02,10,60.734,1269.500,1269.500
tsn2,tai15_15_02,11,60.547,1287.000,1287.000
tsn2,tai15_15_02,12,55.969,1285.500,1285.500
tsn2,tai15_15_02,13,60.391,1282.500,1282.500
tsn2,tai15_15_02,14,55.766,1277.500,1277.500
tsn2,tai15_15_02,15,60.109,1284.500,1284.500
tsn2,tai15_15_02,16,60.141,1282.000,1282.000
tsn2,tai15_15_02,17,60.500,1283.000,1283.000
tsn2,tai15_15_02,18,55.547,1273.500,1273.500
tsn2,tai15_15_02,19,55.203,1269.500,1269.500
tsn2,tai15_15_02,20,60.234,1274.000,1274.000
tsn2,tai15_15_02,21,60.078,1286.000,1286.000
tsn2,tai15_15_02,22,55.359,1277.500,1277.500
tsn2,tai15_15_02,23,55.234,1275.000,1275.000
tsn2,tai15_15_02,24,60.172,1273.000,1273.000
tsn2,tai15_15_02,25,55.531,1272.000,1269.500
tsn2,tai15_15_02,26,60.141,1277.500,1277.500
tsn2,tai15_15_02,27,60.125,1269.500,1269.500
tsn2,tai15_15_02,28,55.453,1273.500,1273.500
tsn2,tai15_15_02,29,60.094,1282.500,1282.500
tsn2,tai15_15_02,30,56.281,1277.500,1277.500
tsn2,tai15_15_03,1,55.891,1254.500,1254.500
tsn2,tai15_15_03,2,55.469,1259.000,1252.500
tsn2,tai15_15_03,3,60.516,1266.500,1266.500
tsn2,tai15_15_03,4,60.109,1251.500,1251.500
tsn2,tai15_15_03,5,60.156,1264.000,1264.000
tsn2,tai15_15_03,6,60.594,1264.000,1264.000
tsn2,tai15_15_03,7,55.906,1264.000,1264.000
tsn2,tai15_15_03,8,60.125,1264.000,1264.000
tsn2,tai15_15_03,9,60.562,1256.000,1256.000
tsn2,tai15_15_03,10,55.641,1254.500,1254.500
tsn2,tai15_15_03,11,55.531,1256.000,1256.000
tsn2,tai15_15_03,12,60.234,1266.500,1266.500
tsn2,tai15_15_03,13,60.484,1254.500,1254.500
tsn2,tai15_15_03,14,55.359,1259.000,1256.000
tsn2,tai15_15_03,15,56.234,1254.500,1254.500
tsn2,tai15_15_03,16,60.453,1254.500,1254.500
tsn2,tai15_15_03,17,55.938,1254.500,1254.500
tsn2,tai15_15_03,18,55.875,1251.500,1251.500
tsn2,tai15_15_03,19,60.297,1266.500,1260.500
tsn2,tai15_15_03,20,60.281,1266.500,1266.500
tsn2,tai15_15_03,21,55.703,1266.500,1266.500
tsn2,tai15_15_03,22,60.375,1266.500,1266.500
tsn2,tai15_15_03,23,55.250,1266.500,1266.500
tsn2,tai15_15_03,24,55.219,1256.000,1256.000
tsn2,tai15_15_03,25,55.094,1258.000,1258.000
tsn2,tai15_15_03,26,55.781,1260.500,1254.500
tsn2,tai15_15_03,27,60.484,1261.500,1261.500
tsn2,tai15_15_03,28,55.375,1256.000,1256.000
tsn2,tai15_15_03,29,56.281,1256.500,1256.500
tsn2,tai15_15_03,30,55.859,1256.000,1256.000
tsn2,tai15_15_04,1,60.234,1186.000,1186.000
tsn2,tai15_15_04,2,56.031,1188.500,1188.500
tsn2,tai15_15_04,3,60.031,1188.000,1188.000
tsn2,tai15_15_04,4,61.078,1188.000,1188.000
tsn2,tai15_15_04,5,60.328,1186.000,1186.000
tsn2,tai15_15_04,6,55.609,1195.000,1195.000
tsn2,tai15_15_04,7,56.234,1186.000,1186.000
tsn2,tai15_15_04,8,60.906,1188.000,1188.000
tsn2,tai15_15_04,9,60.312,1209.000,1209.000
tsn2,tai15_15_04,10,55.328,1186.000,1186.000
tsn2,tai15_15_04,11,60.359,1188.000,1188.000
tsn2,tai15_15_04,12,56.062,1188.000,1188.000
tsn2,tai15_15_04,13,55.766,1188.000,1188.000
tsn2,tai15_15_04,14,60.625,1188.500,1188.000
tsn2,tai15_15_04,15,55.781,1198.000,1198.000
tsn2,tai15_15_04,16,60.359,1209.000,1195.000
tsn2,tai15_15_04,17,56.078,1209.000,1209.000
tsn2,tai15_15_04,18,55.797,1188.000,1188.000
tsn2,tai15_15_04,19,60.578,1188.000,1188.000
tsn2,tai15_15_04,20,60.156,1188.500,1188.500
tsn2,tai15_15_04,21,56.109,1188.000,1188.000
tsn2,tai15_15_04,22,60.359,1186.000,1186.000
tsn2,tai15_15_04,23,60.125,1203.500,1203.500
tsn2,tai15_15_04,24,60.328,1186.000,1186.000
tsn2,tai15_15_04,25,55.141,1186.000,1186.000
tsn2,tai15_15_04,26,55.250,1196.500,1196.500
tsn2,tai15_15_04,27,55.531,1188.500,1188.000
tsn2,tai15_15_04,28,60.375,1188.000,1188.000
tsn2,tai15_15_04,29,55.500,1188.000,1188.000
tsn2,tai15_15_04,30,56.016,1188.000,1188.000
tsn2,tai15_15_05,1,55.609,1265.500,1265.500
tsn2,tai15_15_05,2,55.641,1250.000,1250.000
tsn2,tai15_15_05,3,56.203,1251.000,1251.000
tsn2,tai15_15_05,4,55.109,1251.000,1251.000
tsn2,tai15_15_05,5,55.531,1247.500,1247.500
tsn2,tai15_15_05,6,55.906,1256.000,1256.000
tsn2,tai15_15_05,7,55.625,1246.500,1246.500
tsn2,tai15_15_05,8,60.297,1251.000,1251.000
tsn2,tai15_15_05,9,56.250,1263.000,1263.000
tsn2,tai15_15_05,10,60.125,1247.000,1247.000
tsn2,tai15_15_05,11,55.000,1247.000,1247.000
tsn2,tai15_15_05,12,55.062,1251.000,1251.000
tsn2,tai15_15_05,13,60.250,1247.500,1247.500
tsn2,tai15_15_05,14,60.281,1249.500,1249.500
tsn2,tai15_15_05,15,55.344,1247.500,1247.500
tsn2,tai15_15_05,16,55.891,1257.000,1257.000
tsn2,tai15_15_05,17,60.234,1262.000,1262.000
tsn2,tai15_15_05,18,56.125,1265.000,1265.000
tsn2,tai15_15_05,19,55.672,1242.500,1242.500
tsn2,tai15_15_05,20,55.125,1251.000,1251.000
tsn2,tai15_15_05,21,60.375,1247.500,1247.500
tsn2,tai15_15_05,22,55.750,1252.000,1252.000
tsn2,tai15_15_05,23,55.750,1251.000,1251.000
tsn2,tai15_15_05,24,56.000,1248.000,1248.000
tsn2,tai15_15_05,25,60.125,1251.000,1251.000
tsn2,tai15_15_05,26,60.500,1257.000,1249.500
tsn2,tai15_15_05,27,60.359,1247.000,1247.000
tsn2,tai15_15_05,28,55.750,1248.000,1248.000
tsn2,tai15_15_05,29,60.828,1257.000,1257.000
tsn2,tai15_15_05,30,55.078,1254.500,1254.500
tsn2,tai15_15_06,1,55.047,1258.000,1258.000
tsn2,tai15_15_06,2,56.328,1270.000,1260.500
tsn2,tai15_15_06,3,55.297,1274.500,1274.500
tsn2,tai15_15_06,4,55.047,1260.500,1260.500
tsn2,tai15_15_06,5,55.875,1273.000,1273.000
tsn2,tai15_15_06,6,55.047,1261.500,1261.500
tsn2,tai15_15_06,7,55.969,1262.000,1262.000
tsn2,tai15_15_06,8,60.828,1272.000,1272.000
tsn2,tai15_15_06,9,55.406,1262.000,1262.000
tsn2,tai15_15_06,10,56.344,1249.500,1249.500
tsn2,tai15_15_06,11,60.109,1277.000,1277.000
tsn2,tai15_15_06,12,60.906,1265.000,1265.000
tsn2,tai15_15_06,13,55.125,1263.500,1263.500
tsn2,tai15_15_06,14,60.156,1265.000,1263.500
tsn2,tai15_15_06,15,55.172,1265.000,1265.000
tsn2,tai15_15_06,16,55.797,1266.000,1266.000
tsn2,tai15_15_06,17,55.609,1259.500,1259.500
tsn2,tai15_15_06,18,55.750,1263.500,1263.500
tsn2,tai15_15_06,19,60.125,1262.000,1262.000
tsn2,tai15_15_06,20,55.375,1273.000,1273.000
tsn2,tai15_15_06,21,55.203,1261.000,1261.000
tsn2,tai15_15_06,22,60.141,1262.000,1262.000
tsn2,tai15_15_06,23,60.141,1264.500,1264.500
tsn2,tai15_15_06,24,55.938,1262.000,1262.000
tsn2,tai15_15_06,25,55.656,1273.000,1273.000
tsn2,tai15_15_06,26,60.672,1277.000,1277.000
tsn2,tai15_15_06,27,55.484,1264.000,1264.000
tsn2,tai15_15_06,28,60.406,1262.000,1262.000
tsn2,tai15_15_06,29,56.312,1274.000,1274.000
tsn2,tai15_15_06,30,56.047,1262.000,1262.000
tsn2,tai15_15_07,1,55.094,1234.500,1234.500
tsn2,tai15_15_07,2,60.562,1264.500,1264.500
tsn2,tai15_15_07,3,60.250,1262.000,1262.000
tsn2,tai15_15_07,4,55.094,1234.500,1234.500
tsn2,tai15_15_07,5,55.609,1234.500,1234.500
tsn2,tai15_15_07,6,60.234,1260.000,1260.000
tsn2,tai15_15_07,7,56.172,1266.000,1266.000
tsn2,tai15_15_07,8,55.672,1265.000,1262.000
tsn2,tai15_15_07,9,60.562,1264.500,1264.500
tsn2,tai15_15_07,10,55.859,1234.500,1234.500
tsn2,tai15_15_07,11,60.109,1262.000,1262.000
tsn2,tai15_15_07,12,60.328,1234.500,1234.500
tsn2,tai15_15_07,13,55.375,1234.500,1234.500
tsn2,tai15_15_07,14,56.125,1265.500,1265.500
tsn2,tai15_15_07,15,55.766,1255.000,1255.000
tsn2,tai15_15_07,16,55.844,1256.000,1256.000
tsn2,tai15_15_07,17,55.219,1262.000,1262.000
tsn2,tai15_15_07,18,55.094,1234.500,1234.500
tsn2,tai15_15_07,19,60.172,1266.000,1266.000
tsn2,tai15_15_07,20,60.641,1259.000,1259.000
