algo,inst,run,t_fin,v90,v_fin
tsn2,ft10,1,55.203,940.000,940.000
tsn2,ft10,2,55.438,949.000,949.000
tsn2,ft10,3,60.109,946.000,946.000
tsn2,ft10,4,60.094,946.000,946.000
tsn2,ft10,5,55.297,946.000,946.000
tsn2,ft10,6,60.172,949.500,949.500
tsn2,ft10,7,60.000,946.000,946.000
tsn2,ft10,8,55.266,940.000,940.000
tsn2,ft10,9,60.125,940.000,940.000
tsn2,ft10,10,60.156,935.500,935.500
tsn2,ft10,11,55.078,949.000,940.000
tsn2,ft10,12,55.344,949.000,949.000
tsn2,ft10,13,55.234,940.000,940.000
tsn2,ft10,14,55.344,946.000,946.000
tsn2,ft10,15,60.203,946.000,946.000
tsn2,ft10,16,55.312,940.000,940.000
tsn2,ft10,17,55.469,946.000,946.000
tsn2,ft10,18,60.047,946.000,946.000
tsn2,ft10,19,55.391,949.500,949.500
tsn2,ft10,20,60.094,949.000,949.000
tsn2,ft10,21,60.141,940.000,940.000
tsn2,ft10,22,55.297,942.500,942.500
tsn2,ft10,23,55.094,940.000,940.000
tsn2,ft10,24,60.125,949.000,949.000
tsn2,ft10,25,60.062,949.000,949.000
tsn2,ft10,26,60.062,935.500,935.500
tsn2,ft10,27,60.281,949.500,949.500
tsn2,ft10,28,60.219,940.000,940.000
tsn2,ft10,29,55.375,949.000,949.000
tsn2,ft10,30,55.109,946.000,946.000
tsn2,tai15_15_01,1,56.422,1251.500,1251.500
tsn2,tai15_15_01,2,60.609,1251.500,1251.500
tsn2,tai15_15_01,3,60.328,1248.000,1248.000
tsn2,tai15_15_01,4,60.031,1248.000,1248.000
tsn2,tai15_15_01,5,55.719,1253.500,1253.500
tsn2,tai15_15_01,6,60.188,1251.500,1250.500
tsn2,tai15_15_01,7,55.609,1250.500,1250.500
tsn2,tai15_15_01,8,55.062,1251.500,1251.500
tsn2,tai15_15_01,9,60.297,1251.500,1251.500
tsn2,tai15_15_01,10,56.625,1251.500,1251.500
tsn2,tai15_15_01,11,55.312,1253.000,1253.000
tsn2,tai15_15_01,12,56.156,1248.000,1248.000
tsn2,tai15_15_01,13,60.422,1251.500,1251.500
tsn2,tai15_15_01,14,56.328,1248.000,1248.000
tsn2,tai15_15_01,15,60.328,1250.500,1250.500
tsn2,tai15_15_01,16,55.484,1248.000,1248.000
tsn2,tai15_15_01,17,60.375,1248.000,1248.000
tsn2,tai15_15_01,18,55.109,1251.500,1251.500
tsn2,tai15_15_01,19,60.031,1251.500,1251.500
tsn2,tai15_15_01,20,55.000,1251.500,1251.500
tsn2,tai15_15_01,21,60.484,1251.500,1251.500
tsn2,tai15_15_01,22,55.234,1251.500,1251.500
tsn2,tai15_15_01,23,60.656,1248.000,1248.000
tsn2,tai15_15_01,24,56.375,1251.500,1251.500
tsn2,tai15_15_01,25,60.078,1248.000,1248.000
tsn2,tai15_15_01,26,60.375,1251.500,1251.500
tsn2,tai15_15_01,27,56.047,1252.500,1252.500
tsn2,tai15_15_01,28,56.281,1251.500,1251.500
tsn2,tai15_15_01,29,60.828,1250.000,1250.000
tsn2,tai15_15_01,30,60.578,1249.500,1249.500
tsn2,tai15_15_02,1,60.484,1261.500,1261.500
tsn2,tai15_15_02,2,56.000,1268.000,1268.000
tsn2,tai15_15_02,3,60.469,1277.500,1277.500
tsn2,tai15_15_02,4,55.344,1269.500,1269.500
