algo,inst,run,t_fin,v90,v_fin
tsn2,ft10,1,55.125,940.000,940.000
tsn2,ft10,2,55.422,935.500,935.500
tsn2,ft10,3,60.156,946.000,946.000
tsn2,ft10,4,55.375,935.500,935.500
tsn2,ft10,5,55.156,935.500,935.500
tsn2,ft10,6,55.250,935.500,935.500
tsn2,ft10,7,60.172,949.000,949.000
tsn2,ft10,8,55.172,946.000,946.000
tsn2,ft10,9,55.266,940.000,940.000
tsn2,ft10,10,60.062,935.500,935.500
tsn2,ft10,11,60.156,935.500,935.500
tsn2,ft10,12,55.250,946.000,946.000
tsn2,ft10,13,60.109,946.000,946.000
tsn2,ft10,14,60.156,935.500,935.500
tsn2,ft10,15,55.266,946.000,946.000
tsn2,ft10,16,55.266,946.000,946.000
tsn2,ft10,17,60.125,940.000,940.000
tsn2,ft10,18,55.312,949.000,949.000
tsn2,ft10,19,55.266,935.500,935.500
tsn2,ft10,20,55.375,946.000,946.000
tsn2,ft10,21,55.031,935.500,935.500
tsn2,ft10,22,60.125,935.500,935.500
tsn2,ft10,23,60.047,946.000,946.000
tsn2,ft10,24,60.016,949.000,949.000
tsn2,ft10,25,55.203,946.000,946.000
tsn2,ft10,26,55.266,949.000,949.000
tsn2,ft10,27,55.062,946.000,946.000
tsn2,ft10,28,60.062,940.000,940.000
tsn2,ft10,29,60.078,946.000,946.000
tsn2,ft10,30,55.312,940.000,940.000
tsn2,tai15_15_01,1,55.797,1251.500,1251.500
tsn2,tai15_15_01,2,60.250,1248.000,1248.000
tsn2,tai15_15_01,3,60.016,1253.500,1253.500
tsn2,tai15_15_01,4,55.578,1262.500,1262.500
tsn2,tai15_15_01,5,60.375,1248.000,1248.000
tsn2,tai15_15_01,6,60.484,1253.500,1253.500
tsn2,tai15_15_01,7,55.734,1251.500,1251.500
tsn2,tai15_15_01,8,55.391,1252.000,1252.000
tsn2,tai15_15_01,9,56.047,1253.500,1253.500
tsn2,tai15_15_01,10,55.438,1253.500,1253.500
tsn2,tai15_15_01,11,60.641,1251.500,1251.500
tsn2,tai15_15_01,12,60.281,1251.500,1251.500
tsn2,tai15_15_01,13,55.453,1250.500,1250.500
tsn2,tai15_15_01,14,60.203,1248.000,1248.000
tsn2,tai15_15_01,15,60.281,1253.000,1253.000
tsn2,tai15_15_01,16,55.828,1251.500,1251.500
tsn2,tai15_15_01,17,55.516,1251.500,1251.500
tsn2,tai15_15_01,18,55.172,1248.000,1248.000
tsn2,tai15_15_01,19,55.734,1253.500,1253.500
tsn2,tai15_15_01,20,55.500,1248.000,1248.000
tsn2,tai15_15_01,21,55.531,1248.000,1248.000
tsn2,tai15_15_01,22,60.141,1251.000,1251.000
tsn2,tai15_15_01,23,55.969,1258.500,1258.500
tsn2,tai15_15_01,24,60.453,1248.000,1248.000
tsn2,tai15_15_01,25,60.531,1248.000,1248.000
tsn2,tai15_15_01,26,60.703,1251.500,1251.500
tsn2,tai15_15_01,27,55.688,1248.000,1248.000
tsn2,tai15_15_01,28,55.703,1253.500,1250.500
tsn2,tai15_15_01,29,60.516,1251.500,1251.500
tsn2,tai15_15_01,30,60.250,1248.000,1248.000
tsn2,tai15_15_02,1,60.328,1261.500,1261.500
tsn2,tai15_15_02,2,60.297,1259.000,1259.000
tsn2,tai15_15_02,3,60.109,1275.500,1275.500
tsn2,tai15_15_02,4,55.453,1275.500,1275.500
tsn2,tai15_15_02,5,60.062,1269.500,1269.500
tsn2,tai15_15_02,6,60.359,1261.500,1261.500
tsn2,tai15_15_02,7,56.578,1276.500,1276.500
tsn2,tai15_15_02,8,60.375,1270.500,1270.500
tsn2,tai15_15_02,9,55.000,1274.000,1274.000
tsn2,tai15_15_02,10,55.250,1268.000,1268.000
tsn2,tai15_15_02,11,55.812,1270.500,1269.500
tsn2,tai15_15_02,12,56.062,1269.500,1269.500
tsn2,tai15_15_02,13,55.672,1259.000,1259.000
tsn2,tai15_15_02,14,60.578,1271.500,1271.500
tsn2,tai15_15_02,15,56.359,1271.000,1271.000
tsn2,tai15_15_02,16,60.016,1268.000,1268.000
tsn2,tai15_15_02,17,60.328,1261.500,1261.500
tsn2,tai15_15_02,18,60.094,1275.500,1275.500
tsn2,tai15_15_02,19,55.000,1269.500,1269.500
tsn2,tai15_15_02,20,55.359,1276.500,1276.500
tsn2,tai15_15_02,21,60.156,1269.000,1269.000
tsn2,tai15_15_02,22,55.531,1272.000,1272.000
tsn2,tai15_15_02,23,55.578,1259.500,1259.500
tsn2,tai15_15_02,24,55.031,1268.500,1268.500
tsn2,tai15_15_02,25,60.281,1270.500,1270.500
tsn2,tai15_15_02,26,55.562,1269.500,1269.500
tsn2,tai15_15_02,27,55.500,1261.500,1261.500
tsn2,tai15_15_02,28,55.078,1269.000,1269.000
tsn2,tai15_15_02,29,55.703,1269.500,1269.500
tsn2,tai15_15_02,30,60.109,1268.500,1268.500
tsn2,tai15_15_03,1,60.109,1242.000,1242.000
tsn2,tai15_15_03,2,55.594,1237.500,1237.500
tsn2,tai15_15_03,3,55.156,1243.000,1243.000
tsn2,tai15_15_03,4,56.406,1246.000,1246.000
tsn2,tai15_15_03,5,60.219,1244.500,1244.500
tsn2,tai15_15_03,6,55.953,1242.000,1242.000
tsn2,tai15_15_03,7,55.703,1237.500,1237.500
tsn2,tai15_15_03,8,55.141,1262.000,1262.000
tsn2,tai15_15_03,9,55.344,1238.500,1238.500
tsn2,tai15_15_03,10,55.609,1238.500,1238.500
tsn2,tai15_15_03,11,55.516,1250.500,1250.500
tsn2,tai15_15_03,12,55.281,1238.500,1238.500
tsn2,tai15_15_03,13,60.328,1237.500,1237.500
tsn2,tai15_15_03,14,55.203,1249.000,1249.000
tsn2,tai15_15_03,15,55.516,1237.500,1237.500
tsn2,tai15_15_03,16,55.000,1241.000,1241.000
tsn2,tai15_15_03,17,55.047,1241.500,1241.500
tsn2,tai15_15_03,18,55.172,1239.000,1239.000
tsn2,tai15_15_03,19,60.234,1239.000,1239.000
tsn2,tai15_15_03,20,56.359,1244.000,1244.000
tsn2,tai15_15_03,21,55.812,1238.500,1238.500
tsn2,tai15_15_03,22,60.156,1242.000,1242.000
tsn2,tai15_15_03,23,55.234,1241.500,1241.500
tsn2,tai15_15_03,24,60.328,1244.500,1244.500
tsn2,tai15_15_03,25,55.109,1244.500,1244.500
tsn2,tai15_15_03,26,60.109,1237.500,1237.500
tsn2,tai15_15_03,27,60.422,1244.500,1244.500
tsn2,tai15_15_03,28,60.344,1244.500,1244.500
tsn2,tai15_15_03,29,55.109,1238.500,1238.500
tsn2,tai15_15_03,30,60.016,1239.000,1239.000
tsn2,tai15_15_04,1,56.328,1186.000,1186.000
tsn2,tai15_15_04,2,56.078,1186.000,1186.000
tsn2,tai15_15_04,3,60.828,1188.000,1188.000
tsn2,tai15_15_04,4,55.250,1188.000,1188.000
tsn2,tai15_15_04,5,60.375,1186.000,1186.000
tsn2,tai15_15_04,6,60.250,1188.000,1188.000
tsn2,tai15_15_04,7,60.422,1186.000,1186.000
tsn2,tai15_15_04,8,60.062,1186.000,1186.000
tsn2,tai15_15_04,9,55.438,1210.000,1210.000
tsn2,tai15_15_04,10,60.297,1196.500,1196.500
