algo,inst,run,t_fin,v90,v_fin
tsn2,ft10,1,60.141,940.000,940.000
tsn2,ft10,2,60.219,935.500,935.500
tsn2,ft10,3,55.156,940.000,940.000
tsn2,ft10,4,60.047,940.000,940.000
tsn2,ft10,5,55.500,945.500,940.000
tsn2,ft10,6,60.094,972.000,972.000
tsn2,ft10,7,60.016,935.500,935.500
tsn2,ft10,8,60.125,969.000,969.000
tsn2,ft10,9,60.172,969.000,969.000
tsn2,ft10,10,55.188,935.500,935.500
tsn2,ft10,11,60.219,940.000,940.000
tsn2,ft10,12,60.047,935.500,935.500
tsn2,ft10,13,55.031,940.000,940.000
tsn2,ft10,14,55.297,935.500,935.500
tsn2,ft10,15,55.219,956.000,956.000
tsn2,ft10,16,55.344,940.000,940.000
tsn2,ft10,17,60.078,946.000,946.000
tsn2,ft10,18,60.188,940.000,940.000
tsn2,ft10,19,60.031,940.000,940.000
tsn2,ft10,20,55.188,969.000,969.000
tsn2,ft10,21,60.016,940.000,940.000
tsn2,ft10,22,60.188,935.500,935.500
tsn2,ft10,23,55.281,969.000,963.000
tsn2,ft10,24,55.344,940.000,940.000
tsn2,ft10,25,60.078,940.000,940.000
tsn2,ft10,26,55.016,955.000,950.500
tsn2,ft10,27,60.031,949.000,949.000
tsn2,ft10,28,55.297,935.500,935.500
tsn2,ft10,29,55.250,972.000,972.000
tsn2,ft10,30,55.406,946.000,946.000
tsn2,tai15_15_01,1,60.188,1271.000,1271.000
tsn2,tai15_15_01,2,60.203,1268.500,1268.500
tsn2,tai15_15_01,3,60.016,1257.500,1257.500
tsn2,tai15_15_01,4,55.422,1257.000,1257.000
tsn2,tai15_15_01,5,55.031,1257.000,1257.000
tsn2,tai15_15_01,6,60.359,1268.500,1268.500
tsn2,tai15_15_01,7,55.594,1268.500,1268.500
tsn2,tai15_15_01,8,56.469,1273.500,1270.500
tsn2,tai15_15_01,9,56.062,1257.500,1257.500
tsn2,tai15_15_01,10,56.047,1268.500,1268.500
tsn2,tai15_15_01,11,55.531,1266.000,1266.000
tsn2,tai15_15_01,12,60.172,1268.500,1268.500
tsn2,tai15_15_01,13,60.125,1268.500,1268.500
tsn2,tai15_15_01,14,55.891,1268.500,1268.500
tsn2,tai15_15_01,15,60.453,1253.500,1253.500
tsn2,tai15_15_01,16,55.000,1271.000,1271.000
tsn2,tai15_15_01,17,60.406,1257.500,1257.500
tsn2,tai15_15_01,18,60.344,1268.500,1268.500
tsn2,tai15_15_01,19,60.375,1271.000,1271.000
tsn2,tai15_15_01,20,56.016,1255.500,1255.500
tsn2,tai15_15_01,21,55.172,1268.500,1268.500
tsn2,tai15_15_01,22,60.484,1269.000,1269.000
tsn2,tai15_15_01,23,60.094,1257.500,1257.500
tsn2,tai15_15_01,24,55.000,1268.500,1268.500
tsn2,tai15_15_01,25,60.234,1257.000,1257.000
tsn2,tai15_15_01,26,55.859,1257.000,1257.000
tsn2,tai15_15_01,27,60.375,1268.500,1268.500
tsn2,tai15_15_01,28,60.469,1257.000,1257.000
tsn2,tai15_15_01,29,55.969,1257.000,1257.000
tsn2,tai15_15_01,30,60.000,1268.500,1268.500
tsn2,tai15_15_02,1,56.453,1278.000,1278.000
tsn2,tai15_15_02,2,60.656,1274.000,1274.000
tsn2,tai15_15_02,3,60.438,1281.000,1281.000
tsn2,tai15_15_02,4,60.453,1282.500,1282.500
tsn2,tai15_15_02,5,55.391,1278.000,1278.000
tsn2,tai15_15_02,6,56.125,1264.500,1258.000
tsn2,tai15_15_02,7,55.656,1269.500,1269.500
tsn2,tai15_15_02,8,60.109,1268.000,1264.000
tsn2,tai15_15_02,9,60.281,1274.000,1274.000
tsn2,tai15_15_02,10,55.406,1272.000,1272.000
tsn2,tai15_15_02,11,55.125,1282.500,1282.500
tsn2,tai15_15_02,12,60.500,1282.500,1282.500
tsn2,tai15_15_02,13,60.672,1278.000,1278.000
tsn2,tai15_15_02,14,60.141,1258.000,1258.000
tsn2,tai15_15_02,15,60.391,1278.000,1278.000
tsn2,tai15_15_02,16,55.188,1278.000,1278.000
tsn2,tai15_15_02,17,55.547,1262.000,1262.000
tsn2,tai15_15_02,18,56.500,1278.000,1278.000
tsn2,tai15_15_02,19,60.594,1278.500,1278.500
tsn2,tai15_15_02,20,55.844,1271.000,1271.000
tsn2,tai15_15_02,21,60.469,1274.000,1274.000
tsn2,tai15_15_02,22,56.344,1270.500,1269.500
tsn2,tai15_15_02,23,56.203,1278.000,1278.000
tsn2,tai15_15_02,24,60.062,1277.000,1277.000
tsn2,tai15_15_02,25,60.047,1279.500,1279.500
tsn2,tai15_15_02,26,55.578,1278.000,1278.000
tsn2,tai15_15_02,27,55.422,1280.000,1280.000
tsn2,tai15_15_02,28,60.328,1272.500,1272.500
tsn2,tai15_15_02,29,55.781,1276.500,1276.500
tsn2,tai15_15_02,30,60.750,1277.000,1277.000
tsn2,tai15_15_03,1,55.641,1246.000,1246.000
tsn2,tai15_15_03,2,56.469,1272.500,1272.500
tsn2,tai15_15_03,3,60.078,1246.000,1246.000
tsn2,tai15_15_03,4,60.031,1272.500,1272.500
tsn2,tai15_15_03,5,60.344,1264.500,1264.500
tsn2,tai15_15_03,6,55.547,1253.500,1253.500
tsn2,tai15_15_03,7,60.062,1252.500,1252.500
tsn2,tai15_15_03,8,55.906,1238.000,1238.000
tsn2,tai15_15_03,9,60.016,1272.500,1272.500
tsn2,tai15_15_03,10,55.453,1271.500,1271.500
tsn2,tai15_15_03,11,55.109,1252.500,1252.500
tsn2,tai15_15_03,12,60.641,1272.500,1272.500
tsn2,tai15_15_03,13,60.656,1272.500,1272.500
tsn2,tai15_15_03,14,60.484,1272.500,1272.500
tsn2,tai15_15_03,15,60.156,1253.500,1253.500
tsn2,tai15_15_03,16,55.312,1256.000,1256.000
tsn2,tai15_15_03,17,56.281,1272.500,1272.500
tsn2,tai15_15_03,18,55.109,1246.000,1245.500
tsn2,tai15_15_03,19,55.828,1264.500,1264.500
tsn2,tai15_15_03,20,56.062,1272.500,1272.500
tsn2,tai15_15_03,21,55.375,1272.500,1272.500
tsn2,tai15_15_03,22,55.812,1255.000,1255.000
tsn2,tai15_15_03,23,56.188,1244.000,1244.000
tsn2,tai15_15_03,24,60.438,1272.500,1272.500
tsn2,tai15_15_03,25,60.047,1274.500,1274.500
tsn2,tai15_15_03,26,56.578,1272.500,1272.500
tsn2,tai15_15_03,27,60.078,1272.500,1272.500
tsn2,tai15_15_03,28,60.047,1238.500,1238.500
tsn2,tai15_15_03,29,56.688,1256.500,1256.500
tsn2,tai15_15_03,30,56.438,1247.000,1247.000
tsn2,tai15_15_04,1,56.109,1187.500,1186.000
tsn2,tai15_15_04,2,55.516,1186.000,1186.000
tsn2,tai15_15_04,3,60.141,1191.500,1191.500
tsn2,tai15_15_04,4,55.750,1212.500,1212.500
tsn2,tai15_15_04,5,60.125,1211.000,1211.000
tsn2,tai15_15_04,6,55.547,1186.000,1186.000
tsn2,tai15_15_04,7,55.641,1196.500,1196.500
tsn2,tai15_15_04,8,55.828,1220.500,1220.500
tsn2,tai15_15_04,9,60.203,1203.500,1203.500
tsn2,tai15_15_04,10,55.141,1186.000,1186.000
tsn2,tai15_15_04,11,60.172,1188.500,1188.000
tsn2,tai15_15_04,12,60.312,1193.000,1193.000
tsn2,tai15_15_04,13,60.375,1188.500,1188.000
tsn2,tai15_15_04,14,60.062,1186.000,1186.000
tsn2,tai15_15_04,15,60.094,1186.000,1186.000
tsn2,tai15_15_04,16,55.859,1186.000,1186.000
tsn2,tai15_15_04,17,55.312,1227.000,1227.000
tsn2,tai15_15_04,18,55.719,1189.000,1186.000
tsn2,tai15_15_04,19,55.609,1186.000,1186.000
tsn2,tai15_15_04,20,60.172,1186.000,1186.000
tsn2,tai15_15_04,21,55.984,1192.000,1192.000
tsn2,tai15_15_04,22,60.016,1188.500,1188.500
tsn2,tai15_15_04,23,60.547,1192.000,1192.000
tsn2,tai15_15_04,24,60.047,1186.000,1186.000
tsn2,tai15_15_04,25,56.531,1197.500,1197.500
tsn2,tai15_15_04,26,60.297,1192.000,1192.000
tsn2,tai15_15_04,27,60.406,1188.000,1188.000
tsn2,tai15_15_04,28,60.484,1186.000,1186.000
tsn2,tai15_15_04,29,55.172,1218.500,1218.500
tsn2,tai15_15_04,30,56.234,1186.000,1186.000
tsn2,tai15_15_05,1,55.766,1261.000,1261.000
tsn2,tai15_15_05,2,55.828,1252.000,1251.000
tsn2,tai15_15_05,3,60.500,1257.000,1249.500
tsn2,tai15_15_05,4,55.953,1269.000,1266.500
tsn2,tai15_15_05,5,56.188,1248.000,1248.000
tsn2,tai15_15_05,6,60.250,1258.500,1258.500
tsn2,tai15_15_05,7,60.062,1242.500,1242.500
tsn2,tai15_15_05,8,60.641,1247.000,1247.000
tsn2,tai15_15_05,9,60.469,1255.000,1255.000
tsn2,tai15_15_05,10,60.719,1255.000,1255.000
tsn2,tai15_15_05,11,60.438,1248.000,1248.000
tsn2,tai15_15_05,12,60.469,1267.000,1267.000
tsn2,tai15_15_05,13,60.438,1251.000,1251.000
tsn2,tai15_15_05,14,60.469,1255.000,1255.000
tsn2,tai15_15_05,15,60.516,1262.500,1262.500
tsn2,tai15_15_05,16,60.188,1247.500,1247.500
tsn2,tai15_15_05,17,55.250,1275.500,1275.500
tsn2,tai15_15_05,18,60.266,1257.000,1257.000
tsn2,tai15_15_05,19,56.172,1255.000,1255.000
tsn2,tai15_15_05,20,56.141,1262.500,1262.500
tsn2,tai15_15_05,21,60.562,1275.500,1275.500
tsn2,tai15_15_05,22,60.203,1257.500,1257.500
tsn2,tai15_15_05,23,60.453,1269.000,1269.000
tsn2,tai15_15_05,24,60.156,1251.000,1251.000
tsn2,tai15_15_05,25,56.078,1251.000,1251.000
tsn2,tai15_15_05,26,60.203,1247.000,1247.000
tsn2,tai15_15_05,27,55.906,1269.000,1269.000
tsn2,tai15_15_05,28,60.156,1264.000,1264.000
tsn2,tai15_15_05,29,56.188,1261.000,1261.000
tsn2,tai15_15_05,30,55.172,1257.000,1257.000
tsn2,tai15_15_06,1,55.281,1271.000,1271.000
tsn2,tai15_15_06,2,55.438,1260.500,1260.500
tsn2,tai15_15_06,3,60.172,1261.000,1261.000
tsn2,tai15_15_06,4,56.453,1273.000,1273.000
tsn2,tai15_15_06,5,56.547,1261.000,1261.000
tsn2,tai15_15_06,6,60.266,1269.000,1269.000
tsn2,tai15_15_06,7,60.203,1269.000,1269.000
tsn2,tai15_15_06,8,56.281,1261.000,1261.000
tsn2,tai15_15_06,9,56.016,1261.000,1261.000
tsn2,tai15_15_06,10,56.359,1271.000,1271.000
tsn2,tai15_15_06,11,60.609,1261.000,1261.000
tsn2,tai15_15_06,12,60.375,1268.500,1268.500
tsn2,tai15_15_06,13,55.422,1268.500,1268.500
tsn2,tai15_15_06,14,55.297,1271.000,1261.000
tsn2,tai15_15_06,15,60.609,1265.000,1265.000
tsn2,tai15_15_06,16,56.281,1261.000,1261.000
tsn2,tai15_15_06,17,56.516,1261.000,1261.000
tsn2,tai15_15_06,18,55.016,1271.000,1271.000
tsn2,tai15_15_06,19,56.328,1271.000,1271.000
tsn2,tai15_15_06,20,56.141,1265.500,1265.500
tsn2,tai15_15_06,21,55.812,1271.000,1271.000
tsn2,tai15_15_06,22,60.109,1261.000,1261.000
tsn2,tai15_15_06,23,55.406,1271.000,1261.000
tsn2,tai15_15_06,24,60.422,1268.500,1268.500
tsn2,tai15_15_06,25,55.859,1258.000,1258.000
tsn2,tai15_15_06,26,60.109,1261.000,1261.000
tsn2,tai15_15_06,27,60.234,1271.000,1271.000
tsn2,tai15_15_06,28,55.500,1268.000,1268.000
tsn2,tai15_15_06,29,55.344,1266.000,1263.500
tsn2,tai15_15_06,30,60.031,1258.000,1258.000
tsn2,tai15_15_07,1,55.406,1261.000,1261.000
tsn2,tai15_15_07,2,60.391,1266.000,1266.000
tsn2,tai15_15_07,3,60.281,1270.500,1270.500
tsn2,tai15_15_07,4,60.453,1269.500,1269.500
tsn2,tai15_15_07,5,55.750,1261.000,1261.000
tsn2,tai15_15_07,6,56.141,1265.500,1265.500
tsn2,tai15_15_07,7,60.172,1271.000,1271.000
tsn2,tai15_15_07,8,55.797,1267.000,1267.000
tsn2,tai15_15_07,9,60.109,1269.500,1268.500
tsn2,tai15_15_07,10,60.281,1261.000,1261.000
tsn2,tai15_15_07,11,60.594,1270.000,1270.000
tsn2,tai15_15_07,12,60.562,1271.000,1271.000
tsn2,tai15_15_07,13,55.203,1266.500,1266.500
tsn2,tai15_15_07,14,55.578,1261.000,1261.000
tsn2,tai15_15_07,15,60.031,1261.000,1261.000
tsn2,tai15_15_07,16,60.297,1261.000,1261.000
tsn2,tai15_15_07,17,60.672,1270.000,1270.000
tsn2,tai15_15_07,18,60.297,1261.000,1261.000
tsn2,tai15_15_07,19,60.125,1261.000,1261.000
tsn2,tai15_15_07,20,56.016,1260.000,1260.000
tsn2,tai15_15_07,21,60.172,1270.000,1270.000
tsn2,tai15_15_07,22,56.094,1269.000,1269.000
tsn2,tai15_15_07,23,60.484,1261.000,1261.000
tsn2,tai15_15_07,24,60.750,1269.500,1269.500
tsn2,tai15_15_07,25,55.766,1271.000,1271.000
tsn2,tai15_15_07,26,60.406,1271.000,1271.000
tsn2,tai15_15_07,27,60.078,1264.000,1264.000
tsn2,tai15_15_07,28,55.516,1261.000,1261.000
tsn2,tai15_15_07,29,55.844,1271.000,1271.000
tsn2,tai15_15_07,30,60.312,1261.000,1261.000
tsn2,tai15_15_08,1,55.812,1247.000,1247.000
tsn2,tai15_15_08,2,55.031,1247.000,1247.000
tsn2,tai15_15_08,3,60.328,1244.000,1244.000
tsn2,tai15_15_08,4,56.344,1244.000,1244.000
tsn2,tai15_15_08,5,60.766,1247.000,1247.000
tsn2,tai15_15_08,6,55.047,1244.000,1244.000
tsn2,tai15_15_08,7,60.375,1247.000,1247.000
