algo,inst,run,t_fin,v90,v_fin
tsn2,ft10,1,60.094,940.000,940.000
tsn2,ft10,2,60.156,940.000,940.000
tsn2,ft10,3,60.125,940.000,940.000
tsn2,ft10,4,60.172,940.000,940.000
tsn2,ft10,5,60.062,940.000,940.000
tsn2,ft10,6,60.188,940.000,940.000
tsn2,ft10,7,60.078,940.000,940.000
tsn2,ft10,8,60.031,940.000,940.000
tsn2,ft10,9,55.250,940.000,940.000
tsn2,ft10,10,60.172,940.000,940.000
tsn2,ft10,11,55.031,940.000,940.000
tsn2,ft10,12,60.094,940.000,940.000
tsn2,ft10,13,60.031,940.000,940.000
tsn2,ft10,14,55.078,940.000,940.000
tsn2,ft10,15,55.141,940.000,940.000
tsn2,ft10,16,60.094,940.000,940.000
tsn2,ft10,17,60.047,940.000,940.000
tsn2,ft10,18,55.438,940.000,940.000
tsn2,ft10,19,55.031,940.000,940.000
tsn2,ft10,20,60.031,940.000,940.000
tsn2,ft10,21,55.188,940.000,940.000
tsn2,ft10,22,60.203,940.000,940.000
tsn2,ft10,23,55.062,940.000,940.000
tsn2,ft10,24,60.250,940.000,940.000
tsn2,ft10,25,60.000,940.000,940.000
tsn2,ft10,26,55.047,940.000,940.000
tsn2,ft10,27,55.062,940.000,940.000
tsn2,ft10,28,60.172,940.000,940.000
tsn2,ft10,29,60.062,940.000,940.000
tsn2,ft10,30,55.422,940.000,940.000
tsn2,tai15_15_01,1,60.047,1249.500,1249.500
tsn2,tai15_15_01,2,60.484,1248.000,1248.000
tsn2,tai15_15_01,3,56.094,1250.500,1250.500
tsn2,tai15_15_01,4,60.438,1262.500,1262.500
tsn2,tai15_15_01,5,56.312,1258.500,1258.500
tsn2,tai15_15_01,6,56.391,1251.500,1251.500
tsn2,tai15_15_01,7,60.156,1251.500,1251.500
tsn2,tai15_15_01,8,60.516,1262.500,1262.500
tsn2,tai15_15_01,9,56.641,1260.500,1260.000
tsn2,tai15_15_01,10,60.188,1248.000,1248.000
tsn2,tai15_15_01,11,55.375,1248.000,1248.000
tsn2,tai15_15_01,12,60.250,1248.000,1248.000
tsn2,tai15_15_01,13,55.359,1251.500,1251.500
tsn2,tai15_15_01,14,60.234,1257.500,1257.500
tsn2,tai15_15_01,15,56.469,1262.500,1262.500
tsn2,tai15_15_01,16,55.328,1258.500,1258.500
tsn2,tai15_15_01,17,60.219,1262.500,1262.500
tsn2,tai15_15_01,18,60.000,1259.500,1259.500
tsn2,tai15_15_01,19,60.547,1257.500,1257.500
tsn2,tai15_15_01,20,56.016,1255.000,1255.000
tsn2,tai15_15_01,21,55.312,1251.500,1251.500
tsn2,tai15_15_01,22,55.719,1248.000,1248.000
tsn2,tai15_15_01,23,60.281,1251.500,1251.500
tsn2,tai15_15_01,24,56.422,1246.500,1246.500
tsn2,tai15_15_01,25,56.359,1248.000,1248.000
tsn2,tai15_15_01,26,60.594,1250.000,1250.000
tsn2,tai15_15_01,27,56.641,1248.000,1248.000
tsn2,tai15_15_01,28,56.188,1252.500,1248.000
tsn2,tai15_15_01,29,56.031,1249.500,1248.000
tsn2,tai15_15_01,30,60.312,1251.500,1251.500
tsn2,tai15_15_02,1,56.500,1271.000,1271.000
tsn2,tai15_15_02,2,60.312,1282.500,1282.500
tsn2,tai15_15_02,3,55.469,1281.500,1281.500
tsn2,tai15_15_02,4,55.766,1270.500,1270.500
tsn2,tai15_15_02,5,60.016,1271.000,1271.000
tsn2,tai15_15_02,6,60.375,1283.000,1283.000
tsn2,tai15_15_02,7,60.328,1273.000,1273.000
tsn2,tai15_15_02,8,55.156,1273.000,1273.000
tsn2,tai15_15_02,9,56.297,1267.000,1267.000
tsn2,tai15_15_02,10,60.594,1271.500,1271.500
tsn2,tai15_15_02,11,60.078,1277.000,1277.000
tsn2,tai15_15_02,12,55.906,1273.000,1273.000
tsn2,tai15_15_02,13,60.594,1282.500,1282.500
tsn2,tai15_15_02,14,55.391,1271.500,1271.500
tsn2,tai15_15_02,15,56.656,1275.000,1275.000
tsn2,tai15_15_02,16,56.359,1282.500,1282.500
tsn2,tai15_15_02,17,56.141,1267.500,1267.500
tsn2,tai15_15_02,18,55.438,1271.500,1271.500
tsn2,tai15_15_02,19,56.328,1271.000,1271.000
tsn2,tai15_15_02,20,55.812,1275.500,1275.500
tsn2,tai15_15_02,21,60.109,1271.000,1271.000
tsn2,tai15_15_02,22,60.312,1271.500,1271.500
tsn2,tai15_15_02,23,60.469,1272.000,1272.000
tsn2,tai15_15_02,24,55.219,1271.000,1271.000
tsn2,tai15_15_02,25,60.391,1276.500,1276.500
tsn2,tai15_15_02,26,56.469,1269.500,1268.500
tsn2,tai15_15_02,27,60.484,1273.000,1273.000
tsn2,tai15_15_02,28,60.453,1273.000,1273.000
tsn2,tai15_15_02,29,60.484,1282.500,1282.500
tsn2,tai15_15_02,30,60.266,1271.000,1271.000
tsn2,tai15_15_03,1,60.547,1256.500,1256.500
tsn2,tai15_15_03,2,60.234,1244.500,1244.500
tsn2,tai15_15_03,3,55.422,1251.500,1251.500
tsn2,tai15_15_03,4,55.094,1252.500,1252.500
tsn2,tai15_15_03,5,60.391,1256.000,1254.000
tsn2,tai15_15_03,6,60.406,1240.500,1240.500
tsn2,tai15_15_03,7,55.297,1249.500,1249.500
tsn2,tai15_15_03,8,55.938,1263.000,1263.000
tsn2,tai15_15_03,9,60.062,1250.000,1250.000
tsn2,tai15_15_03,10,55.547,1245.500,1242.500
tsn2,tai15_15_03,11,56.375,1244.000,1242.500
tsn2,tai15_15_03,12,55.297,1248.000,1248.000
tsn2,tai15_15_03,13,60.188,1238.500,1238.500
tsn2,tai15_15_03,14,55.781,1258.500,1258.500
tsn2,tai15_15_03,15,56.094,1258.500,1258.500
tsn2,tai15_15_03,16,55.969,1253.000,1253.000
tsn2,tai15_15_03,17,60.688,1248.000,1248.000
