algo,inst,run,t_fin,v90,v_fin
tsn2,ft10,1,55.203,940.000,940.000
tsn2,ft10,2,55.219,940.000,940.000
tsn2,ft10,3,60.266,940.000,940.000
tsn2,ft10,4,55.438,940.000,940.000
tsn2,ft10,5,55.047,940.000,940.000
tsn2,ft10,6,55.062,940.000,940.000
tsn2,ft10,7,60.281,940.000,940.000
tsn2,ft10,8,55.031,940.000,940.000
tsn2,ft10,9,55.406,940.000,940.000
tsn2,ft10,10,55.203,940.000,940.000
tsn2,ft10,11,55.391,940.000,940.000
tsn2,ft10,12,55.328,940.000,940.000
tsn2,ft10,13,60.078,940.000,940.000
tsn2,ft10,14,60.016,940.000,940.000
tsn2,ft10,15,60.094,940.000,940.000
tsn2,ft10,16,60.125,940.000,940.000
tsn2,ft10,17,60.188,940.000,940.000
tsn2,ft10,18,60.188,940.000,940.000
tsn2,ft10,19,60.078,940.000,940.000
tsn2,ft10,20,55.094,935.500,935.500
tsn2,ft10,21,60.203,940.000,940.000
tsn2,ft10,22,60.047,940.000,940.000
tsn2,ft10,23,55.172,940.000,940.000
tsn2,ft10,24,55.250,940.000,940.000
tsn2,ft10,25,55.062,940.000,940.000
tsn2,ft10,26,55.062,940.000,940.000
tsn2,ft10,27,60.125,940.000,940.000
tsn2,ft10,28,60.062,940.000,940.000
tsn2,ft10,29,60.047,940.000,940.000
tsn2,ft10,30,55.000,940.000,940.000
tsn2,tai15_15_01,1,56.219,1248.000,1248.000
tsn2,tai15_15_01,2,60.141,1248.000,1248.000
tsn2,tai15_15_01,3,60.047,1248.000,1248.000
tsn2,tai15_15_01,4,60.781,1250.500,1250.500
tsn2,tai15_15_01,5,56.094,1250.000,1250.000
tsn2,tai15_15_01,6,55.766,1247.000,1247.000
tsn2,tai15_15_01,7,60.047,1250.000,1250.000
tsn2,tai15_15_01,8,55.375,1248.000,1248.000
tsn2,tai15_15_01,9,55.062,1248.000,1248.000
tsn2,tai15_15_01,10,55.062,1251.500,1251.500
tsn2,tai15_15_01,11,60.250,1248.000,1248.000
tsn2,tai15_15_01,12,60.172,1257.500,1257.500
tsn2,tai15_15_01,13,55.000,1248.000,1248.000
tsn2,tai15_15_01,14,55.016,1248.000,1248.000
tsn2,tai15_15_01,15,60.094,1259.000,1259.000
tsn2,tai15_15_01,16,56.516,1248.000,1248.000
tsn2,tai15_15_01,17,60.375,1250.000,1250.000
tsn2,tai15_15_01,18,60.203,1251.000,1251.000
tsn2,tai15_15_01,19,55.016,1258.500,1258.500
tsn2,tai15_15_01,20,56.281,1253.500,1253.500
tsn2,tai15_15_01,21,55.188,1257.500,1257.500
tsn2,tai15_15_01,22,55.734,1250.500,1250.500
tsn2,tai15_15_01,23,56.062,1253.500,1253.500
tsn2,tai15_15_01,24,55.203,1258.500,1258.500
tsn2,tai15_15_01,25,56.000,1248.000,1248.000
tsn2,tai15_15_01,26,55.469,1248.000,1248.000
tsn2,tai15_15_01,27,56.172,1248.000,1248.000
tsn2,tai15_15_01,28,55.469,1258.500,1258.500
tsn2,tai15_15_01,29,55.062,1251.500,1251.500
tsn2,tai15_15_01,30,56.234,1251.500,1251.500
tsn2,tai15_15_02,1,55.906,1271.000,1271.000
tsn2,tai15_15_02,2,55.844,1272.000,1272.000
tsn2,tai15_15_02,3,60.000,1282.500,1282.500
tsn2,tai15_15_02,4,60.516,1267.000,1267.000
tsn2,tai15_15_02,5,55.703,1270.000,1270.000
tsn2,tai15_15_02,6,56.109,1282.500,1282.500
