algo,inst,clase,arm,run,ecmax
abce3,ft10,10x10,A0,1,940.0
abce3,ft10,10x10,A0,2,949.0
abce3,ft10,10x10,A0,3,960.5
abce3,ft10,10x10,A0,4,955.0
abce3,ft10,10x10,A0,5,945.0
abce3,ft10,10x10,A0,6,954.0
abce3,ft10,10x10,A0,7,949.0
abce3,ft10,10x10,A0,8,940.0
abce3,ft10,10x10,A0,9,939.0
abce3,ft10,10x10,A0,10,952.0
abce3,ft10,10x10,A0,11,950.0
abce3,ft10,10x10,A0,12,939.0
abce3,ft10,10x10,A0,13,939.0
abce3,ft10,10x10,A0,14,939.0
abce3,ft10,10x10,A0,15,955.0
abce3,ft10,10x10,A0,16,969.0
abce3,ft10,10x10,A0,17,969.0
abce3,ft10,10x10,A0,18,954.0
abce3,ft10,10x10,A0,19,950.5
abce3,ft10,10x10,A0,20,956.5
abce3,ft10,10x10,A0,21,957.0
abce3,ft10,10x10,A0,22,960.5
abce3,ft10,10x10,A0,23,954.0
abce3,ft10,10x10,A0,24,962.5
abce3,ft10,10x10,A0,25,939.0
abce3,ft10,10x10,A0,26,935.5
abce3,ft10,10x10,A0,27,963.0
abce3,ft10,10x10,A0,28,939.0
abce3,ft10,10x10,A0,29,969.0
abce3,ft10,10x10,A0,30,950.0
abce3,ft10,10x10,V2H,1,944.5
abce3,ft10,10x10,V2H,2,940.0
abce3,ft10,10x10,V2H,3,950.0
abce3,ft10,10x10,V2H,4,955.0
abce3,ft10,10x10,V2H,5,940.0
abce3,ft10,10x10,V2H,6,962.5
abce3,ft10,10x10,V2H,7,940.0
abce3,ft10,10x10,V2H,8,935.5
abce3,ft10,10x10,V2H,9,966.0
abce3,ft10,10x10,V2H,10,940.0
abce3,ft10,10x10,V2H,11,950.0
abce3,ft10,10x10,V2H,12,949.0
abce3,ft10,10x10,V2H,13,959.0
abce3,ft10,10x10,V2H,14,945.0
abce3,ft10,10x10,V2H,15,939.0
abce3,ft10,10x10,V2H,16,945.0
abce3,ft10,10x10,V2H,17,940.0
abce3,ft10,10x10,V2H,18,939.0
abce3,ft10,10x10,V2H,19,949.0
abce3,ft10,10x10,V2H,20,969.0
abce3,ft10,10x10,V2H,21,953.5
abce3,ft10,10x10,V2H,22,946.5
abce3,ft10,10x10,V2H,23,940.0
abce3,ft10,10x10,V2H,24,969.0
abce3,ft10,10x10,V2H,25,967.5
abce3,ft10,10x10,V2H,26,939.0
abce3,ft10,10x10,V2H,27,950.5
abce3,ft10,10x10,V2H,28,961.0
abce3,ft10,10x10,V2H,29,949.0
abce3,ft10,10x10,V2H,30,971.0
abce3,ft10,10x10,V2,1,960.0
abce3,ft10,10x10,V2,2,950.0
abce3,ft10,10x10,V2,3,951.5
abce3,ft10,10x10,V2,4,956.5
abce3,ft10,10x10,V2,5,963.0
abce3,ft10,10x10,V2,6,969.0
abce3,ft10,10x10,V2,7,971.0
abce3,ft10,10x10,V2,8,940.0
abce3,ft10,10x10,V2,9,939.0
abce3,ft10,10x10,V2,10,957.5
abce3,ft10,10x10,V2,11,970.0
abce3,ft10,10x10,V2,12,940.0
abce3,ft10,10x10,V2,13,957.5
abce3,ft10,10x10,V2,14,962.5
abce3,ft10,10x10,V2,15,969.0
abce3,ft10,10x10,V2,16,939.0
abce3,ft10,10x10,V2,17,946.5
abce3,ft10,10x10,V2,18,950.0
abce3,ft10,10x10,V2,19,939.0
abce3,ft10,10x10,V2,20,940.0
abce3,ft10,10x10,V2,21,958.0
abce3,ft10,10x10,V2,22,945.0
abce3,ft10,10x10,V2,23,969.0
abce3,ft10,10x10,V2,24,940.0
abce3,ft10,10x10,V2,25,949.0
abce3,ft10,10x10,V2,26,950.5
abce3,ft10,10x10,V2,27,935.5
abce3,ft10,10x10,V2,28,940.0
abce3,ft10,10x10,V2,29,961.5
abce3,ft10,10x10,V2,30,969.0
abce3,ft10,10x10,MOR,1,946.5
abce3,ft10,10x10,MOR,2,935.5
abce3,ft10,10x10,MOR,3,970.0
abce3,ft10,10x10,MOR,4,961.0
abce3,ft10,10x10,MOR,5,940.0
abce3,ft10,10x10,MOR,6,962.5
abce3,ft10,10x10,MOR,7,949.0
abce3,ft10,10x10,MOR,8,951.5
abce3,ft10,10x10,MOR,9,950.0
abce3,ft10,10x10,MOR,10,955.5
abce3,ft10,10x10,MOR,11,969.0
abce3,ft10,10x10,MOR,12,993.0
abce3,ft10,10x10,MOR,13,969.0
abce3,ft10,10x10,MOR,14,946.5
abce3,ft10,10x10,MOR,15,939.0
abce3,ft10,10x10,MOR,16,952.5
abce3,ft10,10x10,MOR,17,952.5
abce3,ft10,10x10,MOR,18,939.0
abce3,ft10,10x10,MOR,19,944.5
abce3,ft10,10x10,MOR,20,952.5
abce3,ft10,10x10,MOR,21,940.0
abce3,ft10,10x10,MOR,22,944.5
abce3,ft10,10x10,MOR,23,945.0
abce3,ft10,10x10,MOR,24,949.0
abce3,ft10,10x10,MOR,25,944.5
abce3,ft10,10x10,MOR,26,969.0
abce3,ft10,10x10,MOR,27,968.0
abce3,ft10,10x10,MOR,28,975.0
abce3,ft10,10x10,MOR,29,939.0
abce3,ft10,10x10,MOR,30,950.0
abce3,ft10,10x10,GT,1,940.0
abce3,ft10,10x10,GT,2,969.0
abce3,ft10,10x10,GT,3,952.0
abce3,ft10,10x10,GT,4,946.0
abce3,ft10,10x10,GT,5,960.0
abce3,ft10,10x10,GT,6,946.0
abce3,ft10,10x10,GT,7,965.5
abce3,ft10,10x10,GT,8,944.5
abce3,ft10,10x10,GT,9,950.0
abce3,ft10,10x10,GT,10,940.0
abce3,ft10,10x10,GT,11,935.5
abce3,ft10,10x10,GT,12,950.0
abce3,ft10,10x10,GT,13,946.0
abce3,ft10,10x10,GT,14,956.5
abce3,ft10,10x10,GT,15,952.0
abce3,ft10,10x10,GT,16,939.0
abce3,ft10,10x10,GT,17,965.0
abce3,ft10,10x10,GT,18,946.0
abce3,ft10,10x10,GT,19,946.0
abce3,ft10,10x10,GT,20,946.0
abce3,ft10,10x10,GT,21,946.0
abce3,ft10,10x10,GT,22,946.0
abce3,ft10,10x10,GT,23,954.0
abce3,ft10,10x10,GT,24,942.0
abce3,ft10,10x10,GT,25,939.0
abce3,ft10,10x10,GT,26,946.0
abce3,ft10,10x10,GT,27,955.0
abce3,ft10,10x10,GT,28,960.5
abce3,ft10,10x10,GT,29,946.0
abce3,ft10,10x10,GT,30,955.0
abce3,ft10,10x10,GP,1,967.0
abce3,ft10,10x10,GP,2,967.0
abce3,ft10,10x10,GP,3,942.5
abce3,ft10,10x10,GP,4,952.0
abce3,ft10,10x10,GP,5,958.0
abce3,ft10,10x10,GP,6,935.5
abce3,ft10,10x10,GP,7,968.0
abce3,ft10,10x10,GP,8,967.0
abce3,ft10,10x10,GP,9,949.0
abce3,ft10,10x10,GP,10,949.0
abce3,ft10,10x10,GP,11,958.5
abce3,ft10,10x10,GP,12,959.5
abce3,ft10,10x10,GP,13,935.5
abce3,ft10,10x10,GP,14,949.0
abce3,ft10,10x10,GP,15,951.5
abce3,ft10,10x10,GP,16,959.5
abce3,ft10,10x10,GP,17,966.0
abce3,ft10,10x10,GP,18,943.0
abce3,ft10,10x10,GP,19,953.5
abce3,ft10,10x10,GP,20,952.0
abce3,ft10,10x10,GP,21,962.0
abce3,ft10,10x10,GP,22,949.0
abce3,ft10,10x10,GP,23,966.0
abce3,ft10,10x10,GP,24,939.0
