algo,inst,clase,arm,run,ecmax
feabcls,ft10,10x10,A0,1,935.5
feabcls,ft10,10x10,A0,2,940.0
feabcls,ft10,10x10,A0,3,940.0
feabcls,ft10,10x10,A0,4,946.5
feabcls,ft10,10x10,A0,5,940.0
feabcls,ft10,10x10,A0,6,940.0
feabcls,ft10,10x10,A0,7,935.5
feabcls,ft10,10x10,A0,8,935.5
feabcls,ft10,10x10,A0,9,935.5
feabcls,ft10,10x10,A0,10,935.5
feabcls,ft10,10x10,A0,11,935.5
feabcls,ft10,10x10,A0,12,935.5
feabcls,ft10,10x10,A0,13,940.0
feabcls,ft10,10x10,A0,14,935.5
feabcls,ft10,10x10,A0,15,940.0
feabcls,ft10,10x10,A0,16,935.5
feabcls,ft10,10x10,A0,17,940.0
feabcls,ft10,10x10,A0,18,940.0
feabcls,ft10,10x10,A0,19,935.5
feabcls,ft10,10x10,A0,20,935.5
feabcls,ft10,10x10,A0,21,946.5
feabcls,ft10,10x10,A0,22,940.0
feabcls,ft10,10x10,A0,23,935.5
feabcls,ft10,10x10,A0,24,935.5
feabcls,ft10,10x10,A0,25,935.5
feabcls,ft10,10x10,A0,26,935.5
feabcls,ft10,10x10,A0,27,940.0
feabcls,ft10,10x10,A0,28,940.0
feabcls,ft10,10x10,A0,29,940.0
feabcls,ft10,10x10,A0,30,940.0
feabcls,ft10,10x10,V2H,1,940.0
feabcls,ft10,10x10,V2H,2,940.0
feabcls,ft10,10x10,V2H,3,940.0
feabcls,ft10,10x10,V2H,4,940.0
feabcls,ft10,10x10,V2H,5,940.0
feabcls,ft10,10x10,V2H,6,940.0
feabcls,ft10,10x10,V2H,7,940.0
feabcls,ft10,10x10,V2H,8,940.0
feabcls,ft10,10x10,V2H,9,940.0
feabcls,ft10,10x10,V2H,10,940.0
feabcls,ft10,10x10,V2H,11,940.0
feabcls,ft10,10x10,V2H,12,940.0
feabcls,ft10,10x10,V2H,13,940.0
feabcls,ft10,10x10,V2H,14,940.0
feabcls,ft10,10x10,V2H,15,940.0
feabcls,ft10,10x10,V2H,16,940.0
feabcls,ft10,10x10,V2H,17,940.0
feabcls,ft10,10x10,V2H,18,940.0
feabcls,ft10,10x10,V2H,19,940.0
feabcls,ft10,10x10,V2H,20,940.0
feabcls,ft10,10x10,V2H,21,940.0
feabcls,ft10,10x10,V2H,22,940.0
feabcls,ft10,10x10,V2H,23,940.0
feabcls,ft10,10x10,V2H,24,940.0
feabcls,ft10,10x10,V2H,25,940.0
feabcls,ft10,10x10,V2H,26,940.0
feabcls,ft10,10x10,V2H,27,946.0
feabcls,ft10,10x10,V2H,28,940.0
feabcls,ft10,10x10,V2H,29,940.0
feabcls,ft10,10x10,V2H,30,940.0
feabcls,ft10,10x10,V2,1,940.0
feabcls,ft10,10x10,V2,2,940.0
feabcls,ft10,10x10,V2,3,940.0
feabcls,ft10,10x10,V2,4,940.0
feabcls,ft10,10x10,V2,5,940.0
feabcls,ft10,10x10,V2,6,940.0
feabcls,ft10,10x10,V2,7,940.0
feabcls,ft10,10x10,V2,8,940.0
feabcls,ft10,10x10,V2,9,940.0
feabcls,ft10,10x10,V2,10,940.0
feabcls,ft10,10x10,V2,11,940.0
feabcls,ft10,10x10,V2,12,940.0
feabcls,ft10,10x10,V2,13,940.0
feabcls,ft10,10x10,V2,14,940.0
feabcls,ft10,10x10,V2,15,940.0
feabcls,ft10,10x10,V2,16,940.0
feabcls,ft10,10x10,V2,17,940.0
feabcls,ft10,10x10,V2,18,940.0
feabcls,ft10,10x10,V2,19,946.5
feabcls,ft10,10x10,V2,20,940.0
feabcls,ft10,10x10,V2,21,940.0
feabcls,ft10,10x10,V2,22,940.0
feabcls,ft10,10x10,V2,23,940.0
feabcls,ft10,10x10,V2,24,940.0
feabcls,ft10,10x10,V2,25,940.0
feabcls,ft10,10x10,V2,26,940.0
feabcls,ft10,10x10,V2,27,940.0
feabcls,ft10,10x10,V2,28,940.0
feabcls,ft10,10x10,V2,29,940.0
feabcls,ft10,10x10,V2,30,940.0
feabcls,ft10,10x10,MOR,1,940.0
feabcls,ft10,10x10,MOR,2,939.0
feabcls,ft10,10x10,MOR,3,940.0
feabcls,ft10,10x10,MOR,4,940.0
feabcls,ft10,10x10,MOR,5,950.0
feabcls,ft10,10x10,MOR,6,940.0
feabcls,ft10,10x10,MOR,7,951.5
feabcls,ft10,10x10,MOR,8,940.0
feabcls,ft10,10x10,MOR,9,940.0
feabcls,ft10,10x10,MOR,10,939.0
feabcls,ft10,10x10,MOR,11,969.0
feabcls,ft10,10x10,MOR,12,969.0
feabcls,ft10,10x10,MOR,13,940.0
feabcls,ft10,10x10,MOR,14,940.0
feabcls,ft10,10x10,MOR,15,950.0
feabcls,ft10,10x10,MOR,16,939.0
feabcls,ft10,10x10,MOR,17,946.0
feabcls,ft10,10x10,MOR,18,969.0
feabcls,ft10,10x10,MOR,19,940.0
feabcls,ft10,10x10,MOR,20,987.0
feabcls,ft10,10x10,MOR,21,946.5
feabcls,ft10,10x10,MOR,22,935.5
feabcls,ft10,10x10,MOR,23,969.0
feabcls,ft10,10x10,MOR,24,940.0
feabcls,ft10,10x10,MOR,25,950.0
feabcls,ft10,10x10,MOR,26,969.0
feabcls,ft10,10x10,MOR,27,946.5
feabcls,ft10,10x10,MOR,28,969.0
feabcls,ft10,10x10,MOR,29,940.0
feabcls,ft10,10x10,MOR,30,940.0
feabcls,ft10,10x10,GT,1,942.5
feabcls,ft10,10x10,GT,2,946.0
feabcls,ft10,10x10,GT,3,946.0
feabcls,ft10,10x10,GT,4,946.0
feabcls,ft10,10x10,GT,5,946.0
feabcls,ft10,10x10,GT,6,942.5
feabcls,ft10,10x10,GT,7,935.5
feabcls,ft10,10x10,GT,8,942.5
feabcls,ft10,10x10,GT,9,942.5
feabcls,ft10,10x10,GT,10,942.5
feabcls,ft10,10x10,GT,11,942.5
feabcls,ft10,10x10,GT,12,942.5
feabcls,ft10,10x10,GT,13,942.5
feabcls,ft10,10x10,GT,14,942.5
feabcls,ft10,10x10,GT,15,946.0
feabcls,ft10,10x10,GT,16,942.5
feabcls,ft10,10x10,GT,17,946.0
feabcls,ft10,10x10,GT,18,942.5
feabcls,ft10,10x10,GT,19,935.5
feabcls,ft10,10x10,GT,20,946.0
feabcls,ft10,10x10,GT,21,935.5
feabcls,ft10,10x10,GT,22,942.5
feabcls,ft10,10x10,GT,23,946.0
feabcls,ft10,10x10,GT,24,942.5
feabcls,ft10,10x10,GT,25,935.5
feabcls,ft10,10x10,GT,26,942.5
feabcls,ft10,10x10,GT,27,946.0
feabcls,ft10,10x10,GT,28,942.5
feabcls,ft10,10x10,GT,29,946.0
feabcls,ft10,10x10,GT,30,942.5
feabcls,ft10,10x10,GP,1,942.5
feabcls,ft10,10x10,GP,2,942.5
feabcls,ft10,10x10,GP,3,942.5
feabcls,ft10,10x10,GP,4,942.5
feabcls,ft10,10x10,GP,5,946.0
feabcls,ft10,10x10,GP,6,946.0
feabcls,ft10,10x10,GP,7,946.0
feabcls,ft10,10x10,GP,8,942.5
feabcls,ft10,10x10,GP,9,946.0
feabcls,ft10,10x10,GP,10,946.0
feabcls,ft10,10x10,GP,11,942.5
feabcls,ft10,10x10,GP,12,946.0
feabcls,ft10,10x10,GP,13,946.0
feabcls,ft10,10x10,GP,14,946.0
feabcls,ft10,10x10,GP,15,946.0
feabcls,ft10,10x10,GP,16,946.0
feabcls,ft10,10x10,GP,17,942.5
feabcls,ft10,10x10,GP,18,946.0
feabcls,ft10,10x10,GP,19,942.5
feabcls,ft10,10x10,GP,20,942.5
feabcls,ft10,10x10,GP,21,946.0
feabcls,ft10,10x10,GP,22,946.0
feabcls,ft10,10x10,GP,23,946.0
feabcls,ft10,10x10,GP,24,946.0
feabcls,ft10,10x10,GP,25,942.5
feabcls,ft10,10x10,GP,26,935.5
feabcls,ft10,10x10,GP,27,946.0
feabcls,ft10,10x10,GP,28,946.0
feabcls,ft10,10x10,GP,29,946.0
feabcls,ft10,10x10,GP,30,946.0
feabcls,ft10,10x10,MIX,1,946.0
feabcls,ft10,10x10,MIX,2,942.5
feabcls,ft10,10x10,MIX,3,940.0
feabcls,ft10,10x10,MIX,4,942.5
feabcls,ft10,10x10,MIX,5,942.5
feabcls,ft10,10x10,MIX,6,940.0
feabcls,ft10,10x10,MIX,7,946.0
feabcls,ft10,10x10,MIX,8,940.0
feabcls,ft10,10x10,MIX,9,946.0
