algo,inst,clase,arm,run,ecmax
ga,ft10,10x10,A0,1,939.0
ga,ft10,10x10,A0,2,939.0
ga,ft10,10x10,A0,3,950.0
ga,ft10,10x10,A0,4,959.5
ga,ft10,10x10,A0,5,946.5
ga,ft10,10x10,A0,6,939.0
ga,ft10,10x10,A0,7,939.0
ga,ft10,10x10,A0,8,948.0
ga,ft10,10x10,A0,9,935.5
ga,ft10,10x10,A0,10,952.5
ga,ft10,10x10,A0,11,939.0
ga,ft10,10x10,A0,12,952.5
ga,ft10,10x10,A0,13,935.5
ga,ft10,10x10,A0,14,939.0
ga,ft10,10x10,A0,15,950.0
ga,ft10,10x10,A0,16,939.0
ga,ft10,10x10,A0,17,962.5
ga,ft10,10x10,A0,18,961.0
ga,ft10,10x10,A0,19,939.0
ga,ft10,10x10,A0,20,950.0
ga,ft10,10x10,A0,21,939.0
ga,ft10,10x10,A0,22,940.0
ga,ft10,10x10,A0,23,947.0
ga,ft10,10x10,A0,24,935.5
ga,ft10,10x10,A0,25,952.5
ga,ft10,10x10,A0,26,939.0
ga,ft10,10x10,A0,27,952.5
ga,ft10,10x10,A0,28,935.5
ga,ft10,10x10,A0,29,939.0
ga,ft10,10x10,A0,30,950.0
ga,ft10,10x10,V2H,1,940.0
ga,ft10,10x10,V2H,2,940.0
ga,ft10,10x10,V2H,3,950.0
ga,ft10,10x10,V2H,4,940.0
ga,ft10,10x10,V2H,5,940.0
ga,ft10,10x10,V2H,6,940.0
ga,ft10,10x10,V2H,7,940.0
ga,ft10,10x10,V2H,8,940.0
ga,ft10,10x10,V2H,9,940.0
ga,ft10,10x10,V2H,10,940.0
ga,ft10,10x10,V2H,11,950.0
ga,ft10,10x10,V2H,12,950.0
ga,ft10,10x10,V2H,13,970.0
ga,ft10,10x10,V2H,14,969.0
ga,ft10,10x10,V2H,15,940.0
ga,ft10,10x10,V2H,16,940.0
ga,ft10,10x10,V2H,17,940.0
ga,ft10,10x10,V2H,18,940.0
ga,ft10,10x10,V2H,19,940.0
ga,ft10,10x10,V2H,20,940.0
ga,ft10,10x10,V2H,21,940.0
ga,ft10,10x10,V2H,22,950.0
ga,ft10,10x10,V2H,23,940.0
ga,ft10,10x10,V2H,24,950.0
ga,ft10,10x10,V2H,25,950.0
ga,ft10,10x10,V2H,26,940.0
ga,ft10,10x10,V2H,27,950.0
ga,ft10,10x10,V2H,28,940.0
ga,ft10,10x10,V2H,29,950.0
ga,ft10,10x10,V2H,30,940.0
ga,ft10,10x10,V2,1,940.0
ga,ft10,10x10,V2,2,940.0
ga,ft10,10x10,V2,3,969.0
ga,ft10,10x10,V2,4,940.0
ga,ft10,10x10,V2,5,940.0
ga,ft10,10x10,V2,6,950.0
ga,ft10,10x10,V2,7,969.0
ga,ft10,10x10,V2,8,940.0
ga,ft10,10x10,V2,9,940.0
ga,ft10,10x10,V2,10,950.0
ga,ft10,10x10,V2,11,950.0
ga,ft10,10x10,V2,12,940.0
ga,ft10,10x10,V2,13,940.0
ga,ft10,10x10,V2,14,950.0
ga,ft10,10x10,V2,15,941.0
ga,ft10,10x10,V2,16,940.0
ga,ft10,10x10,V2,17,940.0
ga,ft10,10x10,V2,18,950.0
ga,ft10,10x10,V2,19,950.0
ga,ft10,10x10,V2,20,940.0
ga,ft10,10x10,V2,21,940.0
ga,ft10,10x10,V2,22,950.0
ga,ft10,10x10,V2,23,940.0
ga,ft10,10x10,V2,24,969.0
ga,ft10,10x10,V2,25,940.0
ga,ft10,10x10,V2,26,950.0
ga,ft10,10x10,V2,27,940.0
ga,ft10,10x10,V2,28,950.0
ga,ft10,10x10,V2,29,940.0
ga,ft10,10x10,V2,30,940.0
ga,ft10,10x10,MOR,1,990.5
ga,ft10,10x10,MOR,2,1008.0
ga,ft10,10x10,MOR,3,1014.0
ga,ft10,10x10,MOR,4,998.0
ga,ft10,10x10,MOR,5,1012.0
ga,ft10,10x10,MOR,6,993.0
ga,ft10,10x10,MOR,7,1010.5
ga,ft10,10x10,MOR,8,989.5
ga,ft10,10x10,MOR,9,1012.0
ga,ft10,10x10,MOR,10,978.0
ga,ft10,10x10,MOR,11,958.0
ga,ft10,10x10,MOR,12,999.0
ga,ft10,10x10,MOR,13,1008.0
ga,ft10,10x10,MOR,14,990.5
ga,ft10,10x10,MOR,15,1010.5
ga,ft10,10x10,MOR,16,1001.5
ga,ft10,10x10,MOR,17,999.0
ga,ft10,10x10,MOR,18,990.5
ga,ft10,10x10,MOR,19,969.0
ga,ft10,10x10,MOR,20,972.5
ga,ft10,10x10,MOR,21,969.0
ga,ft10,10x10,MOR,22,980.0
ga,ft10,10x10,MOR,23,1005.0
ga,ft10,10x10,MOR,24,969.0
ga,ft10,10x10,MOR,25,990.5
ga,ft10,10x10,MOR,26,1013.0
ga,ft10,10x10,MOR,27,999.0
ga,ft10,10x10,MOR,28,974.5
ga,ft10,10x10,MOR,29,1014.0
ga,ft10,10x10,MOR,30,969.0
ga,ft10,10x10,GT,1,960.5
ga,ft10,10x10,GT,2,960.5
ga,ft10,10x10,GT,3,960.5
ga,ft10,10x10,GT,4,946.0
ga,ft10,10x10,GT,5,946.0
ga,ft10,10x10,GT,6,946.0
ga,ft10,10x10,GT,7,960.5
ga,ft10,10x10,GT,8,960.5
ga,ft10,10x10,GT,9,946.0
ga,ft10,10x10,GT,10,960.5
ga,ft10,10x10,GT,11,946.0
ga,ft10,10x10,GT,12,957.0
ga,ft10,10x10,GT,13,946.0
ga,ft10,10x10,GT,14,960.5
ga,ft10,10x10,GT,15,946.0
ga,ft10,10x10,GT,16,960.5
ga,ft10,10x10,GT,17,960.5
ga,ft10,10x10,GT,18,960.5
ga,ft10,10x10,GT,19,946.0
ga,ft10,10x10,GT,20,960.5
ga,ft10,10x10,GT,21,960.5
ga,ft10,10x10,GT,22,960.5
ga,ft10,10x10,GT,23,960.5
ga,ft10,10x10,GT,24,946.0
ga,ft10,10x10,GT,25,946.0
ga,ft10,10x10,GT,26,963.0
ga,ft10,10x10,GT,27,960.5
ga,ft10,10x10,GT,28,960.5
ga,ft10,10x10,GT,29,946.0
ga,ft10,10x10,GT,30,960.5
ga,ft10,10x10,GP,1,946.0
ga,ft10,10x10,GP,2,946.0
ga,ft10,10x10,GP,3,946.0
ga,ft10,10x10,GP,4,946.0
ga,ft10,10x10,GP,5,946.0
ga,ft10,10x10,GP,6,946.0
ga,ft10,10x10,GP,7,967.0
ga,ft10,10x10,GP,8,966.0
ga,ft10,10x10,GP,9,946.0
ga,ft10,10x10,GP,10,946.0
ga,ft10,10x10,GP,11,946.0
ga,ft10,10x10,GP,12,946.0
ga,ft10,10x10,GP,13,946.0
ga,ft10,10x10,GP,14,946.0
ga,ft10,10x10,GP,15,946.0
ga,ft10,10x10,GP,16,946.0
ga,ft10,10x10,GP,17,946.0
ga,ft10,10x10,GP,18,946.0
ga,ft10,10x10,GP,19,946.0
ga,ft10,10x10,GP,20,946.0
ga,ft10,10x10,GP,21,946.0
ga,ft10,10x10,GP,22,946.0
ga,ft10,10x10,GP,23,946.0
ga,ft10,10x10,GP,24,957.5
ga,ft10,10x10,GP,25,946.0
ga,ft10,10x10,GP,26,959.5
ga,ft10,10x10,GP,27,946.0
ga,ft10,10x10,GP,28,967.0
ga,ft10,10x10,GP,29,946.0
ga,ft10,10x10,GP,30,957.0
ga,ft10,10x10,MIX,1,946.0
ga,ft10,10x10,MIX,2,942.5
ga,ft10,10x10,MIX,3,957.0
ga,ft10,10x10,MIX,4,957.0
ga,ft10,10x10,MIX,5,957.5
ga,ft10,10x10,MIX,6,946.0
ga,ft10,10x10,MIX,7,946.0
ga,ft10,10x10,MIX,8,946.0
ga,ft10,10x10,MIX,9,957.0
ga,ft10,10x10,MIX,10,946.0
ga,ft10,10x10,MIX,11,946.0
ga,ft10,10x10,MIX,12,946.0
ga,ft10,10x10,MIX,13,946.0
ga,ft10,10x10,MIX,14,946.0
ga,ft10,10x10,MIX,15,946.0
ga,ft10,10x10,MIX,16,946.0
ga,ft10,10x10,MIX,17,946.0
ga,ft10,10x10,MIX,18,946.0
ga,ft10,10x10,MIX,19,946.0
ga,ft10,10x10,MIX,20,952.0
ga,ft10,10x10,MIX,21,946.0
ga,ft10,10x10,MIX,22,957.0
