inst,gen,pool_mean,pool_best,pool_sd
ft10,v2,1079.86,988.50,38.09
ft10,graspmor,1366.26,1245.00,66.68
ft10,gtmwkr,1218.00,1125.50,37.59
ft10,gp,1110.38,991.00,48.59
ft10,mix,1131.93,988.50,72.38
tai15_15_01,v2,1474.29,1380.00,47.07
tai15_15_01,graspmor,1658.04,1558.50,68.91
tai15_15_01,gtmwkr,1561.89,1436.00,42.83
tai15_15_01,gp,1494.78,1402.50,45.29
tai15_15_01,mix,1513.62,1380.00,57.82
tai15_15_02,v2,1436.59,1326.00,45.44
tai15_15_02,graspmor,1730.56,1564.00,71.25
tai15_15_02,gtmwkr,1563.76,1468.00,47.02
tai15_15_02,gp,1452.57,1332.00,49.83
tai15_15_02,mix,1481.82,1330.50,73.47
tai15_15_03,v2,1442.86,1346.00,43.46
tai15_15_03,graspmor,1781.07,1584.50,76.57
tai15_15_03,gtmwkr,1592.49,1445.50,43.56
tai15_15_03,gp,1469.56,1337.00,52.16
tai15_15_03,mix,1501.00,1346.00,79.75
tai15_15_04,v2,1409.47,1278.00,40.55
tai15_15_04,graspmor,1933.27,1833.00,44.36
tai15_15_04,gtmwkr,1529.15,1423.00,46.39
tai15_15_04,gp,1420.06,1308.00,46.63
tai15_15_04,mix,1448.62,1292.00,69.01
tai15_15_05,v2,1410.69,1331.00,40.39
tai15_15_05,graspmor,1840.84,1632.50,70.18
tai15_15_05,gtmwkr,1608.60,1481.50,47.98
tai15_15_05,gp,1455.04,1349.00,56.33
tai15_15_05,mix,1495.22,1331.00,97.25
tai15_15_06,v2,1414.11,1329.50,39.91
tai15_15_06,graspmor,1765.82,1645.00,65.86
tai15_15_06,gtmwkr,1512.06,1421.00,38.99
tai15_15_06,gp,1441.19,1344.00,43.66
tai15_15_06,mix,1454.83,1330.00,58.43
tai15_15_07,v2,1405.26,1324.50,35.60
tai15_15_07,graspmor,1774.90,1555.00,89.14
tai15_15_07,gtmwkr,1584.49,1436.50,53.77
tai15_15_07,gp,1486.69,1371.00,55.24
tai15_15_07,mix,1492.61,1324.50,89.79
tai15_15_08,v2,1425.95,1328.00,38.35
tai15_15_08,graspmor,1775.04,1616.50,70.03
tai15_15_08,gtmwkr,1557.50,1453.00,43.96
tai15_15_08,gp,1456.94,1364.00,44.84
tai15_15_08,mix,1478.64,1328.00,68.56
tai15_15_09,v2,1523.02,1414.00,42.97
tai15_15_09,graspmor,1805.56,1647.00,70.25
tai15_15_09,gtmwkr,1652.19,1571.50,42.52
tai15_15_09,gp,1559.59,1449.00,59.60
tai15_15_09,mix,1577.50,1434.50,70.97
tai15_15_10,v2,1461.07,1368.50,38.63
tai15_15_10,graspmor,1814.84,1634.00,99.69
tai15_15_10,gtmwkr,1575.27,1472.00,42.82
tai15_15_10,gp,1502.34,1390.00,55.05
tai15_15_10,mix,1513.03,1386.00,62.51
tai20_20_01,v2,1941.24,1825.00,46.81
tai20_20_01,graspmor,2414.36,2218.00,91.13
tai20_20_01,gtmwkr,2128.88,1973.50,54.89
tai20_20_01,gp,2025.21,1880.00,63.88
tai20_20_01,mix,2031.70,1825.00,92.47
tai20_20_02,v2,1902.28,1783.50,43.45
tai20_20_02,graspmor,2443.07,2256.00,116.98
tai20_20_02,gtmwkr,2071.46,1948.00,50.23
tai20_20_02,gp,1915.78,1804.00,55.88
tai20_20_02,mix,1958.61,1812.00,88.28
tai20_20_03,v2,1829.12,1715.50,50.23
tai20_20_03,graspmor,2321.72,2130.00,95.99
tai20_20_03,gtmwkr,2071.51,1971.50,39.63
tai20_20_03,gp,1891.90,1764.50,55.72
tai20_20_03,mix,1932.12,1726.00,111.21
tai20_20_04,v2,1903.05,1814.00,37.97
tai20_20_04,graspmor,2398.98,2201.00,104.94
tai20_20_04,gtmwkr,2098.88,2002.00,42.32
tai20_20_04,gp,1965.99,1845.00,57.99
tai20_20_04,mix,1988.45,1825.50,91.79
tai20_20_05,v2,1886.75,1774.00,47.32
