inst,best_known
F0.15.0.abz7_06,673.5
F0.15.0.abz8_05,684.5
F0.15.0.abz9_10,699
ft10,935.5
F0.15.0.ft20_05,1164.5
F0.15.0.la21_04,1052
F0.15.0.la24_03,940.5
F0.15.0.la25_04,979
F0.15.0.la27_09,1246
F0.15.0.la29_03,1172.5
F0.15.0.la38_06,1204.5
F0.15.0.la40_05,1229.5
tai15_15_01,1247
tai15_15_02,1257
tai15_15_03,1234
tai15_15_04,1186
tai15_15_05,1237
tai15_15_06,1258
tai15_15_07,1234.5
tai15_15_08,1231.5
tai15_15_09,1304
tai15_15_10,1244
tai20_15_01,1392
tai20_15_02,1398.5
tai20_15_03,1385.5
tai20_15_04,1361.5
tai20_15_05,1387.5
tai20_15_06,1396
tai20_15_07,1497.5
tai20_15_08,1443
tai20_15_09,1389.5
tai20_15_10,1385.5
tai20_20_01,1696
tai20_20_02,1644
tai20_20_03,1598
tai20_20_04,1693
tai20_20_05,1654
tai20_20_06,1706
tai20_20_07,1718.5
tai20_20_08,1650.5
tai20_20_09,1656
tai20_20_10,1628.5
tai30_15_01,1798.5
tai30_15_02,1880.5
tai30_15_03,1885
tai30_15_04,1912.5
tai30_15_05,2007
tai30_15_06,1872.5
tai30_15_07,1841.5
tai30_15_08,1752
tai30_15_09,1851.5
tai30_15_10,1772
tai30_20_01,2145
tai30_20_02,2038
tai30_20_03,1976
tai30_20_04,2091
tai30_20_05,2091
tai30_20_06,2118
tai30_20_07,2025
tai30_20_08,2080
tai30_20_09,2055.5
tai30_20_10,2067
tai50_15_01,2770
tai50_15_02,2765.5
tai50_15_03,2718
tai50_15_04,2839
tai50_15_05,2726
tai50_15_06,2800.5
tai50_15_07,2943
tai50_15_08,2905
tai50_15_09,2680.5
tai50_15_10,2744
tai50_20_01,2964
tai50_20_02,3048
tai50_20_03,2836
tai50_20_04,2789
tai50_20_05,2811
tai50_20_06,2952.5
tai50_20_07,2915.5
tai50_20_08,2845
tai50_20_09,3123.5
tai50_20_10,3119.5
