inst,ta,lb,ub
ft10,ft10,930,930
tai15_15_01,ta01,1231,1231
tai15_15_02,ta02,1244,1244
tai15_15_03,ta03,1218,1218
tai15_15_04,ta04,1175,1175
tai15_15_05,ta05,1224,1224
tai15_15_06,ta06,1238,1238
tai15_15_07,ta07,1227,1227
tai15_15_08,ta08,1217,1217
tai15_15_09,ta09,1274,1274
tai15_15_10,ta10,1241,1241
tai20_20_01,ta21,1642,1642
tai20_20_02,ta22,1581,1600
tai20_20_03,ta23,1544,1557
tai20_20_04,ta24,1644,1644
tai20_20_05,ta25,1586,1595
tai20_20_06,ta26,1616,1643
tai20_20_07,ta27,1673,1680
tai20_20_08,ta28,1603,1603
tai20_20_09,ta29,1607,1625
tai20_20_10,ta30,1552,1584
tai30_15_01,ta31,1764,1764
tai30_15_02,ta32,1774,1784
tai30_15_03,ta33,1791,1791
tai30_15_04,ta34,1828,1828
tai30_15_05,ta35,2007,2007
tai30_15_06,ta36,1819,1819
tai30_15_07,ta37,1771,1771
tai30_15_08,ta38,1673,1673
tai30_15_09,ta39,1795,1795
tai30_15_10,ta40,1653,1670
tai30_20_01,ta41,1915,2006
tai30_20_02,ta42,1888,1939
tai30_20_03,ta43,1809,1846
tai30_20_04,ta44,1952,1979
tai30_20_05,ta45,1997,1997
tai30_20_06,ta46,1967,2006
tai30_20_07,ta47,1819,1889
tai30_20_08,ta48,1915,1937
tai30_20_09,ta49,1934,1960
tai30_20_10,ta50,1837,1923
tai50_15_01,ta51,2760,2760
tai50_15_02,ta52,2756,2756
tai50_15_03,ta53,2717,2717
tai50_15_04,ta54,2839,2839
tai50_15_05,ta55,2679,2679
tai50_15_06,ta56,2781,2781
tai50_15_07,ta57,2943,2943
tai50_15_08,ta58,2885,2885
tai50_15_09,ta59,2655,2655
tai50_15_10,ta60,2723,2723
tai50_20_01,ta61,2868,2868
tai50_20_02,ta62,2869,2869
tai50_20_03,ta63,2755,2755
tai50_20_04,ta64,2702,2702
tai50_20_05,ta65,2725,2725
tai50_20_06,ta66,2845,2845
tai50_20_07,ta67,2825,2825
tai50_20_08,ta68,2784,2784
tai50_20_09,ta69,3071,3071
tai50_20_10,ta70,2995,2995
