"inst","clase","arm","t_meseta","t_objA0","ref_meseta","ref_obj","ahorroA","ahorroB"
"ft10","10x10","A0",15.2,20.2,15.2,20.2,0,0
"ft10","10x10","V2H",5.2,20.2,15.2,20.2,65.7894736842105,0
"ft10","10x10","V2",5,20.2,15.2,20.2,67.1052631578947,0
"ft10","10x10","MOR",15.2,25.2,15.2,20.2,0,-24.7524752475248
"ft10","10x10","GT",5,5.2,15.2,20.2,67.1052631578947,74.2574257425743
"ft10","10x10","GP",5,20.2,15.2,20.2,67.1052631578947,0
"ft10","10x10","MIX",5,5.2,15.2,20.2,67.1052631578947,74.2574257425743
"tai15_15_01","15x15","A0",5.2,50,5.2,50,0,0
"tai15_15_01","15x15","V2H",5.2,5.2,5.2,50,0,89.6
"tai15_15_01","15x15","V2",5.2,5.2,5.2,50,0,89.6
"tai15_15_01","15x15","MOR",45.2,50.2,5.2,50,-769.230769230769,-0.400000000000006
"tai15_15_01","15x15","GT",10.2,50.2,5.2,50,-96.1538461538461,-0.400000000000006
"tai15_15_01","15x15","GP",5.2,50,5.2,50,0,0
"tai15_15_01","15x15","MIX",5.2,10.2,5.2,50,0,79.6
"tai15_15_02","15x15","A0",5.2,45.2,5.2,45.2,0,0
"tai15_15_02","15x15","V2H",5.2,50.2,5.2,45.2,0,-11.0619469026549
"tai15_15_02","15x15","V2",5.2,45,5.2,45.2,0,0.442477876106201
"tai15_15_02","15x15","MOR",5.2,50,5.2,45.2,0,-10.6194690265487
"tai15_15_02","15x15","GT",5.2,45.2,5.2,45.2,0,0
"tai15_15_02","15x15","GP",5.2,5.2,5.2,45.2,0,88.4955752212389
"tai15_15_02","15x15","MIX",5.2,50.2,5.2,45.2,0,-11.0619469026549
"tai15_15_03","15x15","A0",10.2,50.2,10.2,50.2,0,0
"tai15_15_03","15x15","V2H",5.2,50,10.2,50.2,49.0196078431372,0.398406374501998
"tai15_15_03","15x15","V2",5.2,5.2,10.2,50.2,49.0196078431372,89.6414342629482
"tai15_15_03","15x15","MOR",5.2,NA,10.2,50.2,49.0196078431372,NA
"tai15_15_03","15x15","GT",5.2,10.2,10.2,50.2,49.0196078431372,79.6812749003984
"tai15_15_03","15x15","GP",5.2,5.2,10.2,50.2,49.0196078431372,89.6414342629482
"tai15_15_03","15x15","MIX",5.2,5.2,10.2,50.2,49.0196078431372,89.6414342629482
"tai15_15_04","15x15","A0",5.2,10.2,5.2,10.2,0,0
"tai15_15_04","15x15","V2H",5.2,50,5.2,10.2,0,-390.196078431373
"tai15_15_04","15x15","V2",5.2,45,5.2,10.2,0,-341.176470588235
"tai15_15_04","15x15","MOR",10.2,55.2,5.2,10.2,-96.1538461538461,-441.176470588235
"tai15_15_04","15x15","GT",5.2,5.2,5.2,10.2,0,49.0196078431372
"tai15_15_04","15x15","GP",5.2,5.2,5.2,10.2,0,49.0196078431372
"tai15_15_04","15x15","MIX",5.2,5.2,5.2,10.2,0,49.0196078431372
"tai15_15_05","15x15","A0",10.2,45,10.2,45,0,0
"tai15_15_05","15x15","V2H",5.2,5.2,10.2,45,49.0196078431372,88.4444444444444
"tai15_15_05","15x15","V2",5.2,5.2,10.2,45,49.0196078431372,88.4444444444444
"tai15_15_05","15x15","MOR",45.2,50.2,10.2,45,-343.137254901961,-11.5555555555556
"tai15_15_05","15x15","GT",5.2,5.2,10.2,45,49.0196078431372,88.4444444444444
"tai15_15_05","15x15","GP",5.2,5.2,10.2,45,49.0196078431372,88.4444444444444
"tai15_15_05","15x15","MIX",5.2,5.2,10.2,45,49.0196078431372,88.4444444444444
