"inst","clase","arm","frac","rpd"
"tai30_15_01","30x15","A0",0.05,7.65082012788434
"tai30_15_01","30x15","V2H",0.05,7.58409785932722
"tai30_15_01","30x15","V2",0.05,7.7008618293022
"tai30_15_01","30x15","MOR",0.05,6.38309702529886
"tai30_15_01","30x15","GT",0.05,9.19655268279122
"tai30_15_01","30x15","GP",0.05,8.81845982763413
"tai30_15_01","30x15","MIX",0.05,7.20044481512371
"tai30_15_01","30x15","A0",0.1,3.54184042257437
"tai30_15_01","30x15","V2H",0.1,3.93661384487072
"tai30_15_01","30x15","V2",0.1,6.42201834862385
"tai30_15_01","30x15","MOR",0.1,3.39727550736725
"tai30_15_01","30x15","GT",0.1,4.17014178482068
"tai30_15_01","30x15","GP",0.1,3.86989157631359
"tai30_15_01","30x15","MIX",0.1,4.00333611342786
"tai30_15_01","30x15","A0",0.25,1.23436196830692
"tai30_15_01","30x15","V2H",0.25,1.26772310258549
"tai30_15_01","30x15","V2",0.25,1.17876007784265
"tai30_15_01","30x15","MOR",0.25,0.872949680289132
"tai30_15_01","30x15","GT",0.25,1.79038087294968
"tai30_15_01","30x15","GP",0.25,1.48457047539617
"tai30_15_01","30x15","MIX",0.25,0.989713650264106
"tai30_15_01","30x15","A0",0.5,0.455935501807064
"tai30_15_01","30x15","V2H",0.5,0.333611342785655
"tai30_15_01","30x15","V2",0.5,0.300250208507094
"tai30_15_01","30x15","MOR",0.5,0.233527939949961
"tai30_15_01","30x15","GT",0.5,0.984153461217684
"tai30_15_01","30x15","GP",0.5,1.21768140116764
"tai30_15_01","30x15","MIX",0.5,0.250208507089241
"tai30_15_01","30x15","A0",1,-0.0166805671392802
"tai30_15_01","30x15","V2H",1,-0.0889630247428362
"tai30_15_01","30x15","V2",1,-0.0611620795106983
"tai30_15_01","30x15","MOR",1,0.0778426466499912
"tai30_15_01","30x15","GT",1,1.49013066444259
"tai30_15_01","30x15","GP",1,0.278009452321379
"tai30_15_01","30x15","MIX",1,0.350291909924935
"tai30_15_02","30x15","A0",0.05,7.65753788885935
"tai30_15_02","30x15","V2H",0.05,9.23690507843658
"tai30_15_02","30x15","V2",0.05,12.1031640521138
"tai30_15_02","30x15","MOR",0.05,8.73172028715767
"tai30_15_02","30x15","GT",0.05,5.90800319064078
"tai30_15_02","30x15","GP",0.05,5.57830364264824
"tai30_15_02","30x15","MIX",0.05,6.81733581494284
"tai30_15_02","30x15","A0",0.1,3.74368519010902
"tai30_15_02","30x15","V2H",0.1,5.16352034033501
"tai30_15_02","30x15","V2",0.1,4.88168040414783
"tai30_15_02","30x15","MOR",0.1,5.33900558362138
"tai30_15_02","30x15","GT",0.1,4.29141185854826
"tai30_15_02","30x15","GP",0.1,3.27040680670035
"tai30_15_02","30x15","MIX",0.1,3.99893645307099
"tai30_15_02","30x15","A0",0.25,0.292475405477267
"tai30_15_02","30x15","V2H",0.25,0.579633076309497
"tai30_15_02","30x15","V2",0.25,1.03695825578304
"tai30_15_02","30x15","MOR",0.25,2.86625897367722
"tai30_15_02","30x15","GT",0.25,2.04201010369583
"tai30_15_02","30x15","GP",0.25,1.15926615261898
"tai30_15_02","30x15","MIX",0.25,1.05291145971816
"tai30_15_02","30x15","A0",0.5,-0.207391651156612
"tai30_15_02","30x15","V2H",0.5,-0.377559159797921
"tai30_15_02","30x15","V2",0.5,-0.526455729859085
"tai30_15_02","30x15","MOR",0.5,2.73331560755119
"tai30_15_02","30x15","GT",0.5,1.37729327306568
"tai30_15_02","30x15","GP",0.5,0.340335017282642
"tai30_15_02","30x15","MIX",0.5,0.393512363733055
"tai30_15_02","30x15","A0",1,-0.356288221217764
"tai30_15_02","30x15","V2H",1,-0.632810422759909
"tai30_15_02","30x15","V2",1,0.0372241425152909
"tai30_15_02","30x15","MOR",1,2.49933528316937
"tai30_15_02","30x15","GT",1,1.38792874235575
"tai30_15_02","30x15","GP",1,0.632810422759909
"tai30_15_02","30x15","MIX",1,0.345652751927679
"tai30_15_03","30x15","A0",0.05,10.5729442970822
"tai30_15_03","30x15","V2H",0.05,13.5225464190981
"tai30_15_03","30x15","V2",0.05,12.6525198938992
"tai30_15_03","30x15","MOR",0.05,6.3607427055703
"tai30_15_03","30x15","GT",0.05,10.9814323607427
"tai30_15_03","30x15","GP",0.05,7.76657824933687
"tai30_15_03","30x15","MIX",0.05,7.09283819628647
"tai30_15_03","30x15","A0",0.1,4.52519893899204
"tai30_15_03","30x15","V2H",0.1,4.49336870026525
"tai30_15_03","30x15","V2",0.1,3.07161803713528
"tai30_15_03","30x15","MOR",0.1,3.70822281167109
"tai30_15_03","30x15","GT",0.1,5.81962864721486
"tai30_15_03","30x15","GP",0.1,4.53050397877985
