"inst","clase","arm","t_meseta","t_objA0","ref_meseta","ref_obj","ahorroA","ahorroB"
"ft10","10x10","A0",15,15,15,15,0,0
"ft10","10x10","V2H",10,20,15,15,33.3333333333333,-33.3333333333333
"ft10","10x10","V2",15,15,15,15,0,0
"ft10","10x10","MOR",25,50,15,15,-66.6666666666667,-233.333333333333
"ft10","10x10","GT",10,NA,15,15,33.3333333333333,NA
"ft10","10x10","GP",10,NA,15,15,33.3333333333333,NA
"ft10","10x10","MIX",15,15,15,15,0,0
"tai15_15_01","15x15","A0",15,25,15,25,0,0
"tai15_15_01","15x15","V2H",10,10,15,25,33.3333333333333,60
"tai15_15_01","15x15","V2",10,10,15,25,33.3333333333333,60
"tai15_15_01","15x15","MOR",10,NA,15,25,33.3333333333333,NA
"tai15_15_01","15x15","GT",20,NA,15,25,-33.3333333333333,NA
"tai15_15_01","15x15","GP",10,40,15,25,33.3333333333333,-60
"tai15_15_01","15x15","MIX",10,10,15,25,33.3333333333333,60
"tai15_15_02","15x15","A0",10,10,10,10,0,0
"tai15_15_02","15x15","V2H",10,35,10,10,0,-250
"tai15_15_02","15x15","V2",10,20,10,10,0,-100
"tai15_15_02","15x15","MOR",15,NA,10,10,-50,NA
"tai15_15_02","15x15","GT",10,NA,10,10,0,NA
"tai15_15_02","15x15","GP",10,10,10,10,0,0
"tai15_15_02","15x15","MIX",10,10,10,10,0,0
"tai15_15_03","15x15","A0",10,10,10,10,0,0
"tai15_15_03","15x15","V2H",10,25,10,10,0,-150
"tai15_15_03","15x15","V2",20,35,10,10,-100,-250
"tai15_15_03","15x15","MOR",20,NA,10,10,-100,NA
"tai15_15_03","15x15","GT",10,30,10,10,0,-200
"tai15_15_03","15x15","GP",10,10,10,10,0,0
"tai15_15_03","15x15","MIX",10,10,10,10,0,0
"tai15_15_04","15x15","A0",25,25,25,25,0,0
"tai15_15_04","15x15","V2H",15,30,25,25,40,-20
"tai15_15_04","15x15","V2",10,30,25,25,60,-20
"tai15_15_04","15x15","MOR",15,NA,25,25,40,NA
"tai15_15_04","15x15","GT",15,NA,25,25,40,NA
"tai15_15_04","15x15","GP",10,NA,25,25,60,NA
"tai15_15_04","15x15","MIX",10,NA,25,25,60,NA
"tai15_15_05","15x15","A0",10,15,10,15,0,0
"tai15_15_05","15x15","V2H",15,15,10,15,-50,0
"tai15_15_05","15x15","V2",10,10,10,15,0,33.3333333333333
"tai15_15_05","15x15","MOR",15,NA,10,15,-50,NA
"tai15_15_05","15x15","GT",10,10,10,15,0,33.3333333333333
"tai15_15_05","15x15","GP",10,10,10,15,0,33.3333333333333
"tai15_15_05","15x15","MIX",15,15,10,15,-50,0
"tai15_15_06","15x15","A0",10,10,10,10,0,0
"tai15_15_06","15x15","V2H",10,10,10,10,0,0
