"inst","clase","arm","t_meseta","t_objA0","ref_meseta","ref_obj","ahorroA","ahorroB"
"ft10","10x10","A0",6,6,6,6,0,0
"ft10","10x10","V2H",6,6,6,6,0,0
"ft10","10x10","V2",6,6,6,6,0,0
"ft10","10x10","MOR",6,NA,6,6,0,NA
"ft10","10x10","GT",6,NA,6,6,0,NA
"ft10","10x10","GP",6,46,6,6,0,-666.666666666667
"ft10","10x10","MIX",6,46,6,6,0,-666.666666666667
"tai15_15_01","15x15","A0",6,10,6,10,0,0
"tai15_15_01","15x15","V2H",6,6,6,10,0,40
"tai15_15_01","15x15","V2",6,6,6,10,0,40
"tai15_15_01","15x15","MOR",10,NA,6,10,-66.6666666666667,NA
"tai15_15_01","15x15","GT",10,NA,6,10,-66.6666666666667,NA
"tai15_15_01","15x15","GP",6,NA,6,10,0,NA
"tai15_15_01","15x15","MIX",6,6,6,10,0,40
"tai15_15_02","15x15","A0",6,10,6,10,0,0
"tai15_15_02","15x15","V2H",6,NA,6,10,0,NA
"tai15_15_02","15x15","V2",6,NA,6,10,0,NA
"tai15_15_02","15x15","MOR",6,NA,6,10,0,NA
"tai15_15_02","15x15","GT",6,NA,6,10,0,NA
"tai15_15_02","15x15","GP",6,6,6,10,0,40
"tai15_15_02","15x15","MIX",6,10,6,10,0,0
"tai15_15_03","15x15","A0",6,6,6,6,0,0
"tai15_15_03","15x15","V2H",6,26,6,6,0,-333.333333333333
"tai15_15_03","15x15","V2",6,16,6,6,0,-166.666666666667
"tai15_15_03","15x15","MOR",6,NA,6,6,0,NA
"tai15_15_03","15x15","GT",6,10,6,6,0,-66.6666666666667
"tai15_15_03","15x15","GP",6,6,6,6,0,0
"tai15_15_03","15x15","MIX",6,6,6,6,0,0
"tai15_15_04","15x15","A0",10,10,10,10,0,0
"tai15_15_04","15x15","V2H",6,10,10,10,40,0
"tai15_15_04","15x15","V2",6,20,10,10,40,-100
"tai15_15_04","15x15","MOR",10,NA,10,10,0,NA
"tai15_15_04","15x15","GT",10,16,10,10,0,-60
"tai15_15_04","15x15","GP",10,6,10,10,0,40
"tai15_15_04","15x15","MIX",10,6,10,10,0,40
"tai15_15_05","15x15","A0",6,6,6,6,0,0
"tai15_15_05","15x15","V2H",10,10,6,6,-66.6666666666667,-66.6666666666667
"tai15_15_05","15x15","V2",10,10,6,6,-66.6666666666667,-66.6666666666667
"tai15_15_05","15x15","MOR",6,NA,6,6,0,NA
"tai15_15_05","15x15","GT",6,20,6,6,0,-233.333333333333
"tai15_15_05","15x15","GP",6,6,6,6,0,0
"tai15_15_05","15x15","MIX",10,10,6,6,-66.6666666666667,-66.6666666666667
"tai15_15_06","15x15","A0",6,10,6,10,0,0
"tai15_15_06","15x15","V2H",6,6,6,10,0,40
"tai15_15_06","15x15","V2",6,6,6,10,0,40
"tai15_15_06","15x15","MOR",6,NA,6,10,0,NA
"tai15_15_06","15x15","GT",6,6,6,10,0,40
"tai15_15_06","15x15","GP",6,6,6,10,0,40
"tai15_15_06","15x15","MIX",6,6,6,10,0,40
"tai15_15_07","15x15","A0",6,6,6,6,0,0
"tai15_15_07","15x15","V2H",6,6,6,6,0,0
"tai15_15_07","15x15","V2",6,6,6,6,0,0
"tai15_15_07","15x15","MOR",10,NA,6,6,-66.6666666666667,NA
"tai15_15_07","15x15","GT",6,NA,6,6,0,NA
"tai15_15_07","15x15","GP",6,NA,6,6,0,NA
"tai15_15_07","15x15","MIX",6,6,6,6,0,0
"tai15_15_08","15x15","A0",10,16,10,16,0,0
"tai15_15_08","15x15","V2H",10,NA,10,16,0,NA
"tai15_15_08","15x15","V2",10,NA,10,16,0,NA
"tai15_15_08","15x15","MOR",10,NA,10,16,0,NA
