"inst","clase","arm","t_meseta","t_objA0","ref_meseta","ref_obj","ahorroA","ahorroB"
"ft10","10x10","A0",10,10,10,10,0,0
"ft10","10x10","V2H",10,10,10,10,0,0
"ft10","10x10","V2",10,10,10,10,0,0
"ft10","10x10","MOR",25,NA,10,10,-150,NA
"ft10","10x10","GT",10,NA,10,10,0,NA
"ft10","10x10","GP",10,NA,10,10,0,NA
"ft10","10x10","MIX",10,NA,10,10,0,NA
"tai15_15_01","15x15","A0",20,25,20,25,0,0
"tai15_15_01","15x15","V2H",20,25,20,25,0,0
"tai15_15_01","15x15","V2",20,30,20,25,0,-20
"tai15_15_01","15x15","MOR",15,NA,20,25,25,NA
"tai15_15_01","15x15","GT",20,NA,20,25,0,NA
"tai15_15_01","15x15","GP",15,55,20,25,25,-120
"tai15_15_01","15x15","MIX",15,20,20,25,25,20
"tai15_15_02","15x15","A0",20,25,20,25,0,0
"tai15_15_02","15x15","V2H",15,NA,20,25,25,NA
"tai15_15_02","15x15","V2",15,NA,20,25,25,NA
"tai15_15_02","15x15","MOR",10,NA,20,25,50,NA
"tai15_15_02","15x15","GT",15,NA,20,25,25,NA
"tai15_15_02","15x15","GP",10,NA,20,25,50,NA
"tai15_15_02","15x15","MIX",15,NA,20,25,25,NA
"tai15_15_03","15x15","A0",20,30,20,30,0,0
"tai15_15_03","15x15","V2H",20,30,20,30,0,0
"tai15_15_03","15x15","V2",20,55,20,30,0,-83.3333333333333
"tai15_15_03","15x15","MOR",15,NA,20,30,25,NA
"tai15_15_03","15x15","GT",15,NA,20,30,25,NA
"tai15_15_03","15x15","GP",15,30,20,30,25,0
"tai15_15_03","15x15","MIX",20,35,20,30,0,-16.6666666666667
"tai15_15_04","15x15","A0",20,30,20,30,0,0
"tai15_15_04","15x15","V2H",20,30,20,30,0,0
"tai15_15_04","15x15","V2",20,25,20,30,0,16.6666666666667
"tai15_15_04","15x15","MOR",20,NA,20,30,0,NA
"tai15_15_04","15x15","GT",20,25,20,30,0,16.6666666666667
"tai15_15_04","15x15","GP",15,NA,20,30,25,NA
"tai15_15_04","15x15","MIX",20,25,20,30,0,16.6666666666667
"tai15_15_05","15x15","A0",20,25,20,25,0,0
"tai15_15_05","15x15","V2H",20,20,20,25,0,20
"tai15_15_05","15x15","V2",20,20,20,25,0,20
"tai15_15_05","15x15","MOR",15,NA,20,25,25,NA
"tai15_15_05","15x15","GT",10,20,20,25,50,20
"tai15_15_05","15x15","GP",15,15,20,25,25,40
"tai15_15_05","15x15","MIX",15,20,20,25,25,20
"tai15_15_06","15x15","A0",20,25,20,25,0,0
"tai15_15_06","15x15","V2H",15,20,20,25,25,20
"tai15_15_06","15x15","V2",15,15,20,25,25,40
"tai15_15_06","15x15","MOR",15,35,20,25,25,-40
"tai15_15_06","15x15","GT",15,30,20,25,25,-20
"tai15_15_06","15x15","GP",15,15,20,25,25,40
"tai15_15_06","15x15","MIX",15,20,20,25,25,20
"tai15_15_07","15x15","A0",20,25,20,25,0,0
"tai15_15_07","15x15","V2H",15,25,20,25,25,0
"tai15_15_07","15x15","V2",10,NA,20,25,50,NA
"tai15_15_07","15x15","MOR",10,NA,20,25,50,NA
"tai15_15_07","15x15","GT",20,45,20,25,0,-80
"tai15_15_07","15x15","GP",15,50,20,25,25,-100
"tai15_15_07","15x15","MIX",15,25,20,25,25,0
"tai15_15_08","15x15","A0",15,20,15,20,0,0
"tai15_15_08","15x15","V2H",20,NA,15,20,-33.3333333333333,NA
"tai15_15_08","15x15","V2",15,NA,15,20,0,NA
"tai15_15_08","15x15","MOR",15,20,15,20,0,0
"tai15_15_08","15x15","GT",15,25,15,20,0,-25
"tai15_15_08","15x15","GP",20,25,15,20,-33.3333333333333,-25
"tai15_15_08","15x15","MIX",20,25,15,20,-33.3333333333333,-25
"tai15_15_09","15x15","A0",20,25,20,25,0,0
"tai15_15_09","15x15","V2H",20,25,20,25,0,0
"tai15_15_09","15x15","V2",20,20,20,25,0,20
"tai15_15_09","15x15","MOR",15,20,20,25,25,20
"tai15_15_09","15x15","GT",20,25,20,25,0,0
"tai15_15_09","15x15","GP",20,30,20,25,0,-20
"tai15_15_09","15x15","MIX",20,25,20,25,0,0
"tai15_15_10","15x15","A0",20,25,20,25,0,0
"tai15_15_10","15x15","V2H",25,20,20,25,-25,20
"tai15_15_10","15x15","V2",25,20,20,25,-25,20
"tai15_15_10","15x15","MOR",15,NA,20,25,25,NA
"tai15_15_10","15x15","GT",15,NA,20,25,25,NA
"tai15_15_10","15x15","GP",15,NA,20,25,25,NA
"tai15_15_10","15x15","MIX",20,25,20,25,0,0
"tai20_20_01","20x20","A0",95,120,95,120,0,0
"tai20_20_01","20x20","V2H",110,120,95,120,-15.7894736842105,0
"tai20_20_01","20x20","V2",100,115,95,120,-5.26315789473684,4.16666666666667
"tai20_20_01","20x20","MOR",95,NA,95,120,0,NA
"tai20_20_01","20x20","GT",75,NA,95,120,21.0526315789474,NA
"tai20_20_01","20x20","GP",100,100,95,120,-5.26315789473684,16.6666666666667
"tai20_20_01","20x20","MIX",105,105,95,120,-10.5263157894737,12.5
"tai20_20_02","20x20","A0",110,145,110,145,0,0
"tai20_20_02","20x20","V2H",105,195,110,145,4.54545454545455,-34.4827586206897
"tai20_20_02","20x20","V2",100,275,110,145,9.09090909090909,-89.6551724137931
"tai20_20_02","20x20","MOR",80,NA,110,145,27.2727272727273,NA
"tai20_20_02","20x20","GT",80,NA,110,145,27.2727272727273,NA
"tai20_20_02","20x20","GP",65,NA,110,145,40.9090909090909,NA
"tai20_20_02","20x20","MIX",85,195,110,145,22.7272727272727,-34.4827586206897
"tai20_20_03","20x20","A0",125,155,125,155,0,0
"tai20_20_03","20x20","V2H",105,100,125,155,16,35.4838709677419
"tai20_20_03","20x20","V2",95,100,125,155,24,35.4838709677419
"tai20_20_03","20x20","MOR",70,NA,125,155,44,NA
"tai20_20_03","20x20","GT",80,NA,125,155,36,NA
"tai20_20_03","20x20","GP",75,NA,125,155,40,NA
"tai20_20_03","20x20","MIX",90,100,125,155,28,35.4838709677419
"tai20_20_04","20x20","A0",100,130,100,130,0,0
"tai20_20_04","20x20","V2H",105,NA,100,130,-5,NA
"tai20_20_04","20x20","V2",90,NA,100,130,10,NA
"tai20_20_04","20x20","MOR",60,NA,100,130,40,NA
"tai20_20_04","20x20","GT",80,NA,100,130,20,NA
"tai20_20_04","20x20","GP",90,NA,100,130,10,NA
"tai20_20_04","20x20","MIX",100,NA,100,130,0,NA
"tai20_20_05","20x20","A0",125,170,125,170,0,0
"tai20_20_05","20x20","V2H",120,175,125,170,4,-2.94117647058824
"tai20_20_05","20x20","V2",130,210,125,170,-4,-23.5294117647059
"tai20_20_05","20x20","MOR",70,NA,125,170,44,NA
"tai20_20_05","20x20","GT",75,295,125,170,40,-73.5294117647059
"tai20_20_05","20x20","GP",85,275,125,170,32,-61.7647058823529
"tai20_20_05","20x20","MIX",105,140,125,170,16,17.6470588235294
"tai20_20_06","20x20","A0",95,120,95,120,0,0
"tai20_20_06","20x20","V2H",75,55,95,120,21.0526315789474,54.1666666666667
"tai20_20_06","20x20","V2",70,55,95,120,26.3157894736842,54.1666666666667
"tai20_20_06","20x20","MOR",70,NA,95,120,26.3157894736842,NA
"tai20_20_06","20x20","GT",60,330,95,120,36.8421052631579,-175
"tai20_20_06","20x20","GP",65,70,95,120,31.5789473684211,41.6666666666667
"tai20_20_06","20x20","MIX",60,60,95,120,36.8421052631579,50
"tai20_20_07","20x20","A0",100,130,100,130,0,0
"tai20_20_07","20x20","V2H",90,165,100,130,10,-26.9230769230769
"tai20_20_07","20x20","V2",90,140,100,130,10,-7.69230769230769
"tai20_20_07","20x20","MOR",75,245,100,130,25,-88.4615384615385
"tai20_20_07","20x20","GT",110,NA,100,130,-10,NA
"tai20_20_07","20x20","GP",55,NA,100,130,45,NA
"tai20_20_07","20x20","MIX",100,185,100,130,0,-42.3076923076923
"tai20_20_08","20x20","A0",95,130,95,130,0,0
"tai20_20_08","20x20","V2H",105,125,95,130,-10.5263157894737,3.84615384615385
"tai20_20_08","20x20","V2",90,120,95,130,5.26315789473684,7.69230769230769
"tai20_20_08","20x20","MOR",60,100,95,130,36.8421052631579,23.0769230769231
"tai20_20_08","20x20","GT",40,NA,95,130,57.8947368421053,NA
"tai20_20_08","20x20","GP",65,NA,95,130,31.5789473684211,NA
"tai20_20_08","20x20","MIX",115,210,95,130,-21.0526315789474,-61.5384615384615
"tai20_20_09","20x20","A0",85,110,85,110,0,0
"tai20_20_09","20x20","V2H",65,75,85,110,23.5294117647059,31.8181818181818
"tai20_20_09","20x20","V2",65,70,85,110,23.5294117647059,36.3636363636364
"tai20_20_09","20x20","MOR",40,70,85,110,52.9411764705882,36.3636363636364
"tai20_20_09","20x20","GT",45,90,85,110,47.0588235294118,18.1818181818182
"tai20_20_09","20x20","GP",55,60,85,110,35.2941176470588,45.4545454545455
"tai20_20_09","20x20","MIX",60,65,85,110,29.4117647058824,40.9090909090909
"tai20_20_10","20x20","A0",135,170,135,170,0,0
"tai20_20_10","20x20","V2H",110,NA,135,170,18.5185185185185,NA
"tai20_20_10","20x20","V2",120,370,135,170,11.1111111111111,-117.647058823529
"tai20_20_10","20x20","MOR",95,NA,135,170,29.6296296296296,NA
"tai20_20_10","20x20","GT",75,NA,135,170,44.4444444444444,NA
"tai20_20_10","20x20","GP",85,185,135,170,37.037037037037,-8.82352941176471
"tai20_20_10","20x20","MIX",95,205,135,170,29.6296296296296,-20.5882352941176
"tai30_15_01","30x15","A0",225,295,225,295,0,0
"tai30_15_01","30x15","V2H",235,330,225,295,-4.44444444444444,-11.864406779661
"tai30_15_01","30x15","V2",215,345,225,295,4.44444444444444,-16.9491525423729
"tai30_15_01","30x15","MOR",165,255,225,295,26.6666666666667,13.5593220338983
"tai30_15_01","30x15","GT",180,NA,225,295,20,NA
"tai30_15_01","30x15","GP",175,475,225,295,22.2222222222222,-61.0169491525424
"tai30_15_01","30x15","MIX",205,260,225,295,8.88888888888889,11.864406779661
"tai30_15_02","30x15","A0",285,355,285,355,0,0
"tai30_15_02","30x15","V2H",285,410,285,355,0,-15.4929577464789
"tai30_15_02","30x15","V2",290,430,285,355,-1.75438596491228,-21.1267605633803
"tai30_15_02","30x15","MOR",215,NA,285,355,24.5614035087719,NA
"tai30_15_02","30x15","GT",210,NA,285,355,26.3157894736842,NA
"tai30_15_02","30x15","GP",230,NA,285,355,19.2982456140351,NA
"tai30_15_02","30x15","MIX",250,390,285,355,12.280701754386,-9.85915492957746
"tai30_15_03","30x15","A0",230,305,230,305,0,0
"tai30_15_03","30x15","V2H",255,275,230,305,-10.8695652173913,9.83606557377049
"tai30_15_03","30x15","V2",235,255,230,305,-2.17391304347826,16.3934426229508
"tai30_15_03","30x15","MOR",170,NA,230,305,26.0869565217391,NA
"tai30_15_03","30x15","GT",245,NA,230,305,-6.52173913043478,NA
"tai30_15_03","30x15","GP",285,NA,230,305,-23.9130434782609,NA
"tai30_15_03","30x15","MIX",245,360,230,305,-6.52173913043478,-18.0327868852459
"tai30_15_04","30x15","A0",195,270,195,270,0,0
"tai30_15_04","30x15","V2H",215,260,195,270,-10.2564102564103,3.7037037037037
"tai30_15_04","30x15","V2",205,260,195,270,-5.12820512820513,3.7037037037037
"tai30_15_04","30x15","MOR",120,NA,195,270,38.4615384615385,NA
"tai30_15_04","30x15","GT",145,275,195,270,25.6410256410256,-1.85185185185185
"tai30_15_04","30x15","GP",170,185,195,270,12.8205128205128,31.4814814814815
