"algo","arm","p_holm"
"ga","V2H",5.4695723046283e-06
"ga","V2",4.16014724891056e-08
"ga","MOR",0
"ga","GT",9.94762550110551e-09
"ga","GP",1.68180437376542e-06
"ga","MIX",0.000438216086905752
"abce3","V2H",5.10134934295081e-08
"abce3","V2",2.85615864292765e-09
"abce3","MOR",0.00519363965759567
"abce3","GT",0.77913335295637
"abce3","GP",0.0136378036578979
"abce3","MIX",6.30453361960548e-06
"feabcls","V2H",0.0196961546010666
"feabcls","V2",0.00451752044196374
"feabcls","MOR",0
"feabcls","GT",1.45994327738208e-13
"feabcls","GP",4.79889075144513e-08
"feabcls","MIX",0.00979602542281066
"tsn2","V2H",7.91346699389184e-05
"tsn2","V2",2.19843520925522e-05
"tsn2","MOR",7.92749865752285e-10
"tsn2","GT",1.42079886744639e-08
"tsn2","GP",0.00134985144529476
"tsn2","MIX",0.178015180835965
