"algo","arm","n","reach","antes","desp","emp","med_dif","rmtt","rmtt_a0","dif","lo","hi","p_signos","p_perm","p_signos_holm","p_perm_holm"
"ga","V2H",61,0.409836065573771,21,26,14,0,0.853612923685504,0.957442155993587,-0.103829232308083,-0.170938653250765,-0.0443309243844658,0.560064629580213,0.00199990000499975,1,0.007999600019999
"ga","V2",61,0.344262295081967,16,28,17,0,0.860485945002612,0.957442155993587,-0.0969562109909757,-0.164085910465072,-0.0364601872642318,0.0961417544206144,0.00324983750812459,0.480708772103072,0.00974951252437378
"ga","MOR",61,0.147540983606557,8,34,19,0.0173913043478261,0.953528493364559,0.957442155993587,-0.00391366262902838,-0.0447552243676738,0.0328033774952815,6.87711149112149e-05,0.850707464626769,0.000412626689467289,0.850707464626769
"ga","GT",61,0.311475409836066,16,28,17,0,0.917916280233191,0.957442155993587,-0.0395258757603964,-0.0822998965265646,0.000762217513365431,0.0961417544206144,0.0645467726613669,0.480708772103072,0.129093545322734
"ga","GP",61,0.39344262295082,19,26,16,0,0.839831245029196,0.957442155993587,-0.117610910964391,-0.188380656578852,-0.0540928462333752,0.371298034471012,0.000499975001249937,1,0.00249987500624969
"ga","MIX",61,0.508196721311475,25,24,12,0,0.817311189309878,0.957442155993587,-0.14013096668371,-0.215328328920775,-0.0702813915515023,1,0.000199990000499975,1,0.00119994000299985
"abce3","V2H",61,0.934426229508197,51,9,1,-0.496666666666667,0.363744893364311,0.826447527030496,-0.462702633666186,-0.555301053379848,-0.370981548737112,3.08503560943891e-08,4.99975001249937e-05,1.23401424377556e-07,0.000299985000749962
"abce3","V2",61,0.918032786885246,55,5,1,-0.560909090909091,0.298849813927835,0.826447527030496,-0.527597713102661,-0.613529425333307,-0.437990849918352,1.03826634789694e-11,4.99975001249937e-05,6.22959808738166e-11,0.000299985000749962
"abce3","MOR",61,0.60655737704918,25,27,9,0,0.780394831309979,0.826447527030496,-0.0460526957205172,-0.118826314654771,0.0225292422392133,0.889883965276538,0.213939303034848,0.889883965276538,0.213939303034848
"abce3","GT",61,0.721311475409836,38,16,7,-0.099601593625498,0.664349710389761,0.826447527030496,-0.162097816640735,-0.24618955038362,-0.0804208390739049,0.0038382658803261,0.000499975001249937,0.00767653176065221,0.000999950002499875
"abce3","GP",61,0.819672131147541,48,9,4,-0.505420289855073,0.36153114027632,0.826447527030496,-0.464916386754176,-0.567286176575366,-0.356469171430324,1.52019522914326e-07,4.99975001249937e-05,4.56058568742978e-07,0.000299985000749962
"abce3","MIX",61,0.885245901639344,52,6,3,-0.636363636363636,0.286672191400495,0.826447527030496,-0.539775335630002,-0.632134496592151,-0.445151156528541,3.15818982077333e-10,4.99975001249937e-05,1.57909491038666e-09,0.000299985000749962
"feabcls","V2H",61,0.573770491803279,33,20,8,-0.038888888888889,0.751239558545996,0.904510887501429,-0.153271328955434,-0.220801097233565,-0.0857310332815356,0.0983706484404921,4.99975001249937e-05,0.295111945321476,0.000299985000749962
"feabcls","V2",61,0.524590163934426,28,22,11,0,0.783006294543467,0.904510887501429,-0.121504592957962,-0.189557196233269,-0.0564323490432606,0.479887661698328,0.000699965001749912,0.479887661698328,0.00279986000699965
"feabcls","MOR",61,0.147540983606557,6,41,14,0.0222222222222223,0.959258088317526,0.904510887501429,0.0547472008160966,0.0200886755983066,0.0901263513447854,1.77169866333316e-07,0.00164991750412479,1.0630191979999e-06,0.00494975251237438
"feabcls","GT",61,0.229508196721311,10,38,13,0.0166666666666667,0.912286684152114,0.904510887501429,0.00777579665068475,-0.0373229699410161,0.0513744341358052,6.16964077764238e-05,0.739713014349282,0.000308482038882119,0.739713014349282
"feabcls","GP",61,0.360655737704918,18,33,10,0.0111731843575419,0.846368189642446,0.904510887501429,-0.0581426978589839,-0.123456671038665,0.00198582314314566,0.0488738923182705,0.0781460926953652,0.195495569273082,0.15629218539073
"feabcls","MIX",61,0.540983606557377,33,20,8,-0.0416331994645247,0.743374957394959,0.904510887501429,-0.16113593010647,-0.234410383595769,-0.0904891991004813,0.0983706484404921,9.99950002499875e-05,0.295111945321476,0.000499975001249937
"tsn2","V2H",61,0.508196721311475,24,33,4,0.0163934426229508,0.8183482755004,0.872203136867276,-0.0538548613668764,-0.119609731347865,0.00754495961527477,0.289243747109022,0.107794610269487,0.867731241327065,0.410779461026949
"tsn2","V2",61,0.459016393442623,24,33,4,0.011049723756906,0.824606855869164,0.872203136867276,-0.0475962809981119,-0.109634045178739,0.0113823884513476,0.289243747109022,0.135993200339983,0.867731241327065,0.410779461026949
"tsn2","MOR",61,0.311475409836066,18,37,6,0.0634920634920635,0.833265307505965,0.872203136867276,-0.0389378293613106,-0.10249998558245,0.0213899909838626,0.0144538335338278,0.223038848057597,0.072269167669139,0.410779461026949
"tsn2","GT",61,0.344262295081967,21,34,6,0.0271739130434783,0.819262879705267,0.872203136867276,-0.0529402571620091,-0.117506348060582,0.00785170346610213,0.104789482426604,0.102694865256737,0.419157929706415,0.410779461026949
"tsn2","GP",61,0.557377049180328,32,24,5,-0.0277777777777778,0.758444402155433,0.872203136867276,-0.113758734711843,-0.183530847297674,-0.046355451758401,0.349681952983685,0.00134993250337483,0.867731241327065,0.00674966251687416
"tsn2","MIX",61,0.655737704918033,38,18,5,-0.194444444444444,0.710196307499974,0.872203136867276,-0.162006829367302,-0.229609053733806,-0.0928276193203756,0.0104548183218922,4.99975001249937e-05,0.0627289099313532,0.000299985000749962
