Genetic Algorithm
Problem to solve:;tai50_15_01.F.15_01
;Objective Function:;Makespan
;;Maximum:;Component
;;Comparisons:;Expected Value
;Population Size:;250
;Stopping criteria:
;;Max.Generations:;100000
;;Max.Generations without improvement:;none
;;Max.Evaluations:;none
;;Time Limit:;233
;Codification:;Job Permutation
;Decodification:;Job Permutation
;;SGS:;Insertion
;Initial Popul.:;Random
;;SGS:;Insertion
;Selection:;Shuffle
;Crossover:;JOX
;;Probability:;1
;Mutation:;Insertion
;;Probability:;0.15
;Replacement:;Parents-Offspring
;;Allow repeat;No


Runtimes
------------------------------------------------
Time;Average;Best;Worst;Std.Dev.;Run 1;Run 2;Run 3;Run 4;Run 5
Total runtime;232.981;232.969;233;0.0130728;232.969;232.969;232.984;233;232.984
Creation;0.0617;0.0536517;0.0737661;0.00874231;0.0670691;0.0536553;0.0603581;0.0737661;0.0536517
Selection;3.18963;2.82361;3.36664;0.212409;3.29309;2.82361;3.36664;3.25241;3.21239
Crossover;7.7407;7.51073;8.39649;0.370306;7.54527;7.64588;8.39649;7.51073;7.60512
Mutation;0.158274;0.127431;0.194474;0.0290718;0.127431;0.154259;0.181074;0.194474;0.134129
Replacement;0.725643;0.523139;1.02609;0.199906;0.570087;0.523139;1.02609;0.791309;0.717591
Evaluation;87.9014;86.7346;88.5446;0.686725;88.1757;88.5446;86.7346;87.9761;88.0759
Others;0.222658;0.20118;0.254863;0.0229486;0.221328;0.254863;0.234726;0.20118;0.201194


Basic statistics
------------------------------------------------
Field;Average;Best;Worst;Std.Dev.;Run 1;Run 2;Run 3;Run 4;Run 5
Number of Generations;3020.4;2798;3191;159.806;3191;3125;2798;2919;3069
Theoretical Evaluations;755100;699500;797750;39951.4;797750;781250;699500;729750;767250
Best solution;2907.9;2887;2927.5;15.5459;2916.5;2909;2887;2927.5;2899.5


Objective function values
------------------------------------------------
Average;Best;Worst;Std.Dev.;Run 1;Run 2;Run 3;Run 4;Run 5
2907.9;(2676, 3098);(2697, 3158);15.5459;(2683, 3150);(2684, 3134);(2676, 3098);(2697, 3158);(2674, 3125)


Evolution
------------------------------------------------
Average Evolution;;;;;;Run 1;;;;;;Run 2;;;;;;Run 3;;;;;;Run 4;;;;;;Run 5
Step;Runtime;Best;Avg;Best Cmax;Avg Cmax;Generation;Runtime;Best;Avg;Best Cmax;Avg Cmax;Generation;Runtime;Best;Avg;Best Cmax;Avg Cmax;Generation;Runtime;Best;Avg;Best Cmax;Avg Cmax;Generation;Runtime;Best;Avg;Best Cmax;Avg Cmax;Generation;Runtime;Best;Avg;Best Cmax;Avg Cmax
0;0.15;3410.1;3685.31;3410.1;3685.31;0;0.171875;3401;3686.22;3401;3686.22;0;0.125;3475;3683.25;3475;3683.25;0;0.140625;3387.5;3698.92;3387.5;3698.92;0;0.1875;3383;3679.4;3383;3679.4;0;0.125;3404;3678.75;3404;3678.75
49.8;5.05938;3143;3232.84;3143;3232.84;47;5.09375;3148;3245.04;3148;3245.04;56;5.04688;3140.5;3222.24;3140.5;3222.24;49;5.0625;3169.5;3231.15;3169.5;3231.15;45;5.07812;3130.5;3239.01;3130.5;3239.01;52;5.01562;3126.5;3226.77;3126.5;3226.77
103.6;10.0312;3096.1;3163.01;3096.1;3163.01;97;10.0938;3114;3180.45;3114;3180.45;116;10;3099.5;3157.42;3099.5;3157.42;106;10.0312;3077.5;3151.37;3077.5;3151.37;90;10.0156;3106;3171.03;3106;3171.03;109;10.0156;3083.5;3154.78;3083.5;3154.78
160;15.0469;3064.7;3127.19;3064.7;3127.19;147;15.0781;3089.5;3146.32;3089.5;3146.32;177;15.0469;3067;3124.39;3067;3124.39;169;15;3042;3105.54;3042;3105.54;139;15.0781;3073;3140.68;3073;3140.68;168;15.0312;3052;3119;3052;3119
216.8;20.0469;3055.7;3107.49;3055.7;3107.49;198;20.0312;3059;3129.32;3059;3129.32;240;20.0469;3061.5;3107.43;3061.5;3107.43;233;20.0469;3033;3082.74;3033;3082.74;187;20.0938;3073;3119.86;3073;3119.86;226;20.0156;3052;3098.11;3052;3098.11
276.2;25.025;3039.9;3093.51;3039.9;3093.51;250;25.0156;3045.5;3113.19;3045.5;3113.19;304;25.0312;3038;3095.67;3038;3095.67;296;25.0312;3021;3070.1;3021;3070.1;245;25.0156;3059.5;3104.95;3059.5;3104.95;286;25.0312;3035.5;3083.64;3035.5;3083.64
335.4;30.0281;3033.9;3081.66;3033.9;3081.66;300;30.0625;3040.5;3098.44;3040.5;3098.44;367;30.0469;3029.5;3083.5;3029.5;3083.5;360;30;3021;3061.57;3021;3061.57;304;30.0312;3044.5;3091.65;3044.5;3091.65;346;30;3034;3073.15;3034;3073.15
396.4;35.0438;3021.3;3072.48;3021.3;3072.48;352;35.0781;3037;3088.72;3037;3088.72;432;35.0625;3029.5;3072.84;3029.5;3072.84;427;35.0469;2990.5;3053.76;2990.5;3053.76;364;35.0156;3037;3082.3;3037;3082.3;407;35.0156;3012.5;3064.8;3012.5;3064.8
457.2;40.0375;3012.7;3064.72;3012.7;3064.72;404;40;3032.5;3081.29;3032.5;3081.29;497;40.0469;3013;3062.51;3013;3062.51;492;40.0625;2987;3046.32;2987;3046.32;425;40.0625;3018.5;3075.69;3018.5;3075.69;468;40.0156;3012.5;3057.79;3012.5;3057.79
518.4;45.0281;3007.1;3056.79;3007.1;3056.79;459;45.0312;3028;3075.82;3028;3075.82;563;45.0469;3001;3052.49;3001;3052.49;556;45.0469;2987;3040.77;2987;3040.77;485;45;3018.5;3065.46;3018.5;3065.46;529;45.0156;3001;3049.4;3001;3049.4
